name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-intersection_emptiness;automata-runtime;automata-result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-construction;mata-interall;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-interall;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-interall;awali-emptiness_check;awali-emptiness_check_result;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-emptiness;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-emptiness;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-emptiness
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;0.12; 0.0480729; 0.00401103; 0.0825;0.27; EMPTY;0.17; 0.144049; 0.0327407;0.0014363499999999996; 2.638e-05; 6.614e-06; true;TO; 0.115327; 0.0224071;0.013937070000000001;MISSING;MISSING;MISSING;0.2; 0.154832; 0.0325072;0.001472479; 0.000787105; 0.00053522; true;TO; 0.103935; 0.02375;1.17; 0.0581; 0.0000; 0.0738; 0.0096;1.41; 0.0646; 0.0202; 0.3288; 0.0000;1.53; 0.0651; 0.0309; 0.3607; 0.0019
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;0.37; 0.136075; 0.00905286; 0.2582;0.44; EMPTY;0.62; 0.178341; 0.0375939;0.001561768; 0.353718; 0.0414905; false;TO; 0.120902; 0.0264687;0.01672852;MISSING;MISSING;MISSING;0.71; 0.177574; 0.0382026;0.0018133160000000001; 0.204122; 0.288605; false;TO; 0.191586; 0.0386604;0.95; 0.0409; 0.0000; 0.1267; 0.0256;1.53; 0.0715; 0.0236; 0.4251; 0.0000;1.32; 0.0403; 0.0197; 0.4968; 0.0070
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;0.46; 0.0663046; 0.00572962; 0.4137;0.62; EMPTY;0.28; 0.234445; 0.0443582;0.001791162; 2.8669e-05; 6.259e-06; true;TO; 0.230661; 0.0438553;0.030923429999999995;MISSING;MISSING;MISSING;0.27; 0.219844; 0.042589;0.002120245; 0.000823249; 0.000491238; true;TO; 0.223247; 0.0430186;1.65; 0.0877; 0.0000; 0.4729; 0.0922;1.71; 0.0802; 0.0293; 0.5532; 0.0000;2.96; 0.0895; 0.0468; 1.7650; 0.0155
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;1.24; 0.11682; 0.00683742; 1.1567;1.2; EMPTY;0.31; 0.258193; 0.0488261;0.001991783; 0.000318997; 6.436e-06; true;TO; 0.246371; 0.049489;0.03176345;MISSING;MISSING;MISSING;0.25; 0.207545; 0.0339963;0.0016879509999999998; 0.000698878; 0.000348496; true;TO; 0.240361; 0.054824;2.37; 0.0950; 0.0000; 1.1237; 0.2234;1.66; 0.0602; 0.0211; 0.5841; 0.0000;3.59; 0.0824; 0.0287; 2.5034; 0.0228
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;2.79; 0.172523; 0.0155662; 2.7361;2.65; EMPTY;4.89; 0.278153; 0.056528;0.002350829; 3.75773; 0.546648; false;TO; 0.210827; 0.0401878;0.02735475;MISSING;MISSING;MISSING;5.06; 0.27012; 0.0392086;0.001986746; 1.77731; 2.78063; false;TO; 0.295475; 0.058106;4.26; 0.1005; 0.0000; 2.5962; 0.6626;2.33; 0.1030; 0.0464; 1.1846; 0.0000;9.24; 0.1131; 0.0652; 8.0683; 0.0826
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;6.74; 0.232939; 0.015219; 6.9409;3.5; EMPTY;12.9; 0.326903; 0.0657417;0.0040452479999999996; 10.0886; 1.63248; false;TO; 0.225954; 0.0451356;0.03144054;MISSING;MISSING;MISSING;13.4; 0.341124; 0.0653105;0.0036622650000000005; 5.89077; 6.63438; false;TO; 0.317189; 0.0641479;8.77; 0.1308; 0.0000; 6.0059; 1.6802;2.74; 0.1213; 0.0558; 1.5615; 0.0000;12.57; 0.1129; 0.0703; 11.4457; 0.1632
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;14.81; 0.194247; 0.0112864; 14.9766;9.48; EMPTY;24.82; 0.389826; 0.0761993;0.0044735730000000015; 19.7207; 3.12997; false;TO; 0.377016; 0.0710944;0.05100041999999999;MISSING;MISSING;MISSING;27.96; 0.335911; 0.0712602;0.003320206; 13.3309; 13.1613; false;TO; 0.357454; 0.0738956;16.79; 0.1474; 0.0000; 12.9321; 3.0811;2.09; 0.0868; 0.0371; 1.1731; 0.0000;33.23; 0.1369; 0.0863; 32.4622; 0.2333
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;29.03; 0.13967; 0.0126402; 28.8942;23.0; EMPTY;TO; 0.316362; 0.0584893;0.002255168; 45.9947;MISSING;MISSING;TO; 0.453659; 0.0858383;0.05712235;MISSING;MISSING;MISSING;TO; 0.316546; 0.0581928;0.002963625; 31.1652;MISSING;MISSING;TO; 0.472749; 0.0877869;36.52; 0.1636; 0.0000; 28.8495; 6.7886;2.65; 0.1180; 0.0440; 1.4908; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;ERR;ERR;ERR;ERR;52.72; EMPTY;TO; 0.519778; 0.0969493;0.004242706000000001;MISSING;MISSING;MISSING;TO; 0.351957; 0.0658021;0.04575717000000001;MISSING;MISSING;MISSING;TO; 0.504739; 0.0900107;0.005136858;MISSING;MISSING;MISSING;TO; 0.525422; 0.0966889;ERR;ERR;ERR;ERR;ERR;4.65; 0.1950; 0.0973; 3.2474; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;TO; 0.337232; 0.0295491;MISSING;TO;MISSING;TO; 0.411463; 0.0783011;0.0029557559999999995;MISSING;MISSING;MISSING;TO; 0.575609; 0.110494;0.07857510999999999;MISSING;MISSING;MISSING;TO; 0.420769; 0.0746534;0.0037468540000000004;MISSING;MISSING;MISSING;TO; 0.599284; 0.108043;TO;MISSING;MISSING;MISSING;MISSING;4.86; 0.1956; 0.1080; 3.4886; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
