name;automata-runtime;mata-runtime;mata-mataparsing;mata-construction;mata-compl;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;mona-runtime;mona-mataparsing;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-emptiness;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-complement;pyfado-emptiness;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-complement;pyautomata-lib-emptiness
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;ERR;0.14; 0.104524; 0.0162722; 0.00663397; 5.041e-06; false;0.56; 0.141894; 0.227972; 0.22066; 0.00579479; false;ERR;TO; 0.182597;0.97; 0.0507; 0.0000; 0.0036; 0.0000;1.22; 0.0891; 0.2066; 0.0014; 0.0082;1.25; 0.0872; 0.0685; 0.0015; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;ERR;0.14; 0.100351; 0.0129753; 0.00889454; 7.043e-06; false;0.39; 0.100341; 0.138942; 0.125235; 0.00347457; false;ERR;TO; 0.101393;0.91; 0.0529; 0.0000; 0.0031; 0.0000;1.01; 0.0393; 0.0552; 0.0006; 0.0029;1.04; 0.0375; 0.0275; 0.0006; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;ERR;0.06; 0.0417883; 0.00739195; 0.00997148; 5.044e-06; false;0.15; 0.0412908; 0.0659441; 0.0276258; 0.00271305; false;ERR;TO; 0.0418184;1.05; 0.0329; 0.0000; 0.0038; 0.0000;1.18; 0.0321; 0.0515; 0.0009; 0.0019;0.79; 0.0188; 0.0158; 0.0005; 0.0000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;ERR;20.61; 8.65601; 2.38603; 8.63267; 8.442e-06; false;33.81; 8.55043; 17.2047; 4.59392; 0.0596965; false;ERR;TO; 5.19537;4.64; 2.8288; 0.0000; 1.5541; 0.0000;TO;MISSING;MISSING;MISSING;MISSING;36.6; 5.1246; 31.3541; 0.0068; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;ERR;1.64; 0.76547; 0.243346; 0.528734; 8.702e-06; false;2.91; 0.735779; 1.38593; 0.428539; 0.0179396; false;ERR;TO; 0.460217;1.48; 0.4544; 0.0000; 0.0800; 0.0000;5.58; 0.4678; 4.0242; 0.0120; 0.1164;2.74; 0.4676; 1.3089; 0.0043; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;ERR;0.25; 0.149313; 0.0167984; 0.0605938; 6.481e-06; false;0.53; 0.14835; 0.257417; 0.0878222; 0.00255115; false;ERR;TO; 0.151232;1.09; 0.0912; 0.0000; 0.0204; 0.0000;1.44; 0.0524; 0.4266; 0.0016; 0.0134;1.17; 0.0875; 0.1343; 0.0005; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;ERR;0.65; 0.344128; 0.0628871; 0.19319; 8.412e-06; false;0.83; 0.213414; 0.401383; 0.142497; 0.00361425; false;ERR;TO; 0.244159;1.28; 0.2223; 0.0000; 0.0475; 0.0000;3.41; 0.2182; 2.1934; 0.0066; 0.0623;1.16; 0.1189; 0.3112; 0.0009; 0.0000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;ERR;0.01; 0.00636184; 0.000781689; 0.00168751; 2.6e-06; false;0.02; 0.00645298; 0.0104241; 0.00499962; 0.000454512; false;ERR;TO; 0.00644639;0.96; 0.0127; 0.0000; 0.0012; 0.0000;0.98; 0.0132; 0.0165; 0.0004; 0.0007;1.03; 0.0126; 0.0109; 0.0003; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;ERR;0.24; 0.147495; 0.0162464; 0.0595661; 5.772e-06; false;0.51; 0.144285; 0.24962; 0.0840565; 0.00249289; false;ERR;TO; 0.146187;1.04; 0.0907; 0.0000; 0.0199; 0.0000;1.97; 0.0942; 0.8914; 0.0030; 0.0257;1.32; 0.0924; 0.2799; 0.0008; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;ERR;0.67; 0.371606; 0.0706947; 0.172073; 5.712e-06; false;1.34; 0.350849; 0.651895; 0.208533; 0.00856921; false;ERR;TO; 0.364915;1.2; 0.2260; 0.0000; 0.0401; 0.0000;3.15; 0.2266; 1.9435; 0.0062; 0.0600;1.52; 0.2214; 0.4324; 0.0011; 0.0001
