name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-inclusion_check;awali-inclusion_check_result;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-inclusion;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-inclusion;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-inclusion;java-automatalib-runtime;java-automatalib-construction;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-brics-runtime;java-brics-construction;java-brics-inclusion_check;java-brics-inclusion_result
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;1.07; 0.766039; 0.212625; 0.0805; 0.0017;0.95; EMPTY;2.74; 2.05272; 0.67463; 0.00199798; false;3.66; 1.78069; 0.697266;0.730743; 0.485731; false;3.1; 2.14136; 0.696022;0.054216; 0.21109; false;TO; 2.07835; 0.467531;1.99; 1.0449; 0.0000; 0.0026;TO;MISSING;MISSING;MISSING;2.81; 1.1940; 0.9700; 0.0093;4.58;1.074036668; 0.206678395; false;3.41;0.49285083399999996; 0.245226026; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;1.13; 0.791899; 0.264725; 0.1289; 0.0022;0.95; EMPTY;2.82; 2.18315; 0.625358; 0.00116097; false;3.91; 1.9244; 0.695439;0.855409; 0.378167; false;3.45; 2.48516; 0.706041;0.0553096; 0.169978; false;TO; 2.44282; 0.499029;2.14; 1.1675; 0.0000; 0.0032;TO;MISSING;MISSING;MISSING;2.43; 0.7569; 0.7941; 0.0102;4.65;1.040760115; 0.089497338; false;3.36;0.451211825; 0.200465006; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;1.02; 0.729753; 0.209207; 0.0545; 0.0011;0.94; EMPTY;3.0; 2.29732; 0.668991; 0.00178097; false;3.04; 1.61118; 0.439026;0.699837; 0.259303; false;3.18; 2.26825; 0.659269;0.0518971; 0.173575; false;TO; 1.47623; 0.448769;2.0; 1.0192; 0.0000; 0.0022;TO;MISSING;MISSING;MISSING;2.94; 0.9803; 0.8157; 0.0094;5.0;1.103586908; 0.139408367; false;3.78;0.477242948; 0.232866243; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.1; 0.72395; 0.241502; 0.0987; 0.0028;1.04; EMPTY;3.05; 2.27982; 0.705345; 0.00307584; false;4.3; 2.18425; 0.719833;0.8934960000000001; 0.450601; false;2.53; 1.81779; 0.475674;0.038342799999999996; 0.162902; false;TO; 2.13143; 0.50523;2.06; 1.1369; 0.0000; 0.0030;TO;MISSING;MISSING;MISSING;3.0; 1.1097; 0.8214; 0.0102;5.3;1.096502452; 0.135829302; false;3.44;0.480534892; 0.209092383; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-rhs.mata;1.16; 0.790086; 0.236602; 0.1047; 0.0025;0.73; EMPTY;2.28; 1.77437; 0.458394; 0.00140463; false;3.68; 2.27914; 0.542006;0.561185; 0.279456; false;2.99; 2.14727; 0.647825;0.0383193; 0.162046; false;TO; 2.45703; 0.72048;1.41; 0.6332; 0.0000; 0.0019;TO;MISSING;MISSING;MISSING;2.33; 0.6585; 0.7826; 0.0099;4.72;0.933579659; 0.08807852; false;3.52;0.453164868; 0.239014995; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-rhs.mata;1.17; 0.657282; 0.173338; 0.4424; 0.0004;0.46; EMPTY;1.77; 1.39778; 0.328756; 0.00035944; false;3.38; 2.2044; 0.488036;0.4577928; 0.203824; false;2.91; 1.682; 0.322415;0.01733051; 0.898377; false;TO; 2.25445; 0.489691;1.2; 0.4659; 0.0000; 0.0008;TO;MISSING;MISSING;MISSING;11.91; 0.8229; 10.2946; 0.0004;11.02;5.111789091; 0.088036874; false;4.44;0.30827147299999996; 0.554597192; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-rhs.mata;13.89; 0.130061; 0.0271039; 14.1848; 0.0020;TO;MISSING;0.49; 0.373482; 0.11626; 0.00238901; false;0.69; 0.350686; 0.10489;0.1060902; 0.139894; false;18.55; 0.369275; 0.115114;0.00663936; 18.6824; false;TO; 0.349546; 0.104361;1.36; 0.1485; 0.0000; 0.0027;TO;MISSING;MISSING;MISSING;9.37; 0.1630; 8.3829; 0.0208;7.99;3.312044694; 0.188226645; false;9.27;0.096233384; 5.688085235; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-rhs.mata;16.14; 0.123526; 0.0318268; 16.5048; 0.0014;10.21; EMPTY;0.49; 0.383199; 0.114118; 0.00285216; false;0.83; 0.385557; 0.115004;0.1234912; 0.212638; false;25.7; 0.380936; 0.112421;0.00698727; 26.035; false;TO; 0.380276; 0.11088;1.29; 0.1797; 0.0000; 0.0034;TO;MISSING;MISSING;MISSING;13.09; 0.1747; 11.9594; 0.0350;7.83;4.179327912; 0.202611321; false;8.77;0.12020407999999999; 4.83121982; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-rhs.mata;15.01; 0.115294; 0.0305302; 15.2939; 0.0027;11.56; EMPTY;0.5; 0.388046; 0.115673; 0.00315335; false;0.89; 0.409316; 0.128751;0.1259246; 0.235926; false;26.54; 0.398973; 0.128844;0.00746167; 26.8783; false;TO; 0.38521; 0.123119;1.34; 0.1787; 0.0000; 0.0031;TO;MISSING;MISSING;MISSING;8.84; 0.1770; 7.7173; 0.0156;9.03;4.5775103139999995; 0.300219374; false;8.41;0.137731554; 4.794643692; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-rhs.mata;21.34; 0.107687; 0.03163; 21.7096; 0.0012;11.61; EMPTY;0.49; 0.381301; 0.121105; 0.00267282; false;0.66; 0.304235; 0.10829;0.1139941; 0.138066; false;36.77; 0.356318; 0.104385;0.00702373; 37.4701; false;TO; 0.361553; 0.11136;1.19; 0.1660; 0.0000; 0.0029;TO;MISSING;MISSING;MISSING;7.36; 0.0955; 6.5372; 0.0216;6.86;3.1765039049999997; 0.188238824; false;8.88;0.154905438; 5.130037752; false
