name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;automata-runtime;mata-runtime;mata-mataparsing;mata-mataminterm;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-compl;vata-intersection;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;TO; 0.0286135; 0.00392996;TO;TO; 0.0823098; 0.0173987;0.13; 0.0963117; 0.0247624;0.00843298; 0.00282089; 0.000806893; 0.00109523; false;TO; 0.0955214; 0.0237265;0.000628553;TO; 0.0817519; 0.0169125;ERR;TO;TO;TO;TO;0.042353827
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;TO; 0.0480508; 0.00532982;TO;TO; 0.190276; 0.0635609;0.24; 0.200889; 0.0461131;0.01686767; 0.00576563; 0.00154297; 0.00207877; false;TO; 0.187501; 0.0478934;0.001396935;TO; 0.197801; 0.0489673;TO;TO;TO;TO;TO;0.090724041
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;TO; 0.363547; 0.0592846;TO;TO; 1.58773; 0.382788;2.43; 1.77707; 0.379819;0.2084187; 0.0865708; 0.0216107; 0.0318274; false;TO; 1.8747; 0.448141;0.01700652;TO; 1.84862; 0.331776;TO;TO;TO;TO;TO;0.135921288
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;TO; 0.106509; 0.0251698;TO;TO; 0.42642; 0.0646632;0.38; 0.316901; 0.0613436;0.0272858; 0.00932579; 0.00278941; 0.00340953; false;TO; 0.398283; 0.0695388;0.002018295;TO; 0.33068; 0.0606571;TO;TO;TO;TO;TO;0.08539118999999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;TO; 0.103388; 0.0164621;TO;TO; 0.556533; 0.119431;0.47; 0.519318; 0.114574;0.0476949; 0.0120443; 0.00353173; 0.00487173; false;TO; 0.382956; 0.081775;0.00268699;TO; 0.374784; 0.0818296;TO;TO;TO;TO;TO;0.078016409
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;TO; 0.134412; 0.0227555;TO;TO; 0.541387; 0.155268;0.62; 0.645048; 0.106703;0.0476638; 0.0159649; 0.00440419; 0.00602769; false;TO; 0.552148; 0.0988753;0.00359893;ERR;ERR;ERR;ERR;TO;TO;TO;TO;0.050692616999999995
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;TO; 0.18225; 0.0294538;TO;TO; 0.790094; 0.184037;0.76; 0.900232; 0.132838;0.0636247; 0.0183421; 0.00516185; 0.00679496; false;TO; 1.02099; 0.118983;0.00381168;TO; 0.579147; 0.119821;TO;TO;TO;TO;TO;0.129912918
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;ERR;ERR;ERR;TO;TO; 0.665337; 0.137486;0.8; 0.635062; 0.215003;0.0655897; 0.0207627; 0.00602496; 0.00838834; false;TO; 0.752851; 0.135108;0.00355321;TO; 0.795874; 0.142608;TO;TO;TO;TO;TO;0.202558604
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;TO; 0.201163; 0.0354462;TO;TO; 0.75432; 0.164509;0.95; 0.902507; 0.156767;0.0736883; 0.0247328; 0.00695862; 0.00950026; false;TO; 0.841929; 0.15053;0.00559457;TO; 0.828659; 0.153917;ERR;TO;TO;TO;TO;0.098313761
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;TO; 0.241802; 0.0390756;TO;TO; 1.18772; 0.201319;1.15; 1.08739; 0.219081;0.0971976; 0.0374783; 0.00825698; 0.0117377; false;TO; 0.874057; 0.175564;0.0061503600000000005;TO; 0.868493; 0.180778;TO;TO;TO;TO;TO;0.087187166
