name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-inclusion_check;awali-inclusion_check_result;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-inclusion;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-inclusion;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-inclusion;java-automatalib-runtime;java-automatalib-construction;java-automatalib-intersection;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-inclusion_check;java-brics-inclusion_result
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata;0.18; 0.14337; 0.0352226; 0.0058; 0.0050;0.21; NOT EMPTY;0.53; 0.492477; 0.0866856;0.002784421; 3.2513e-05; true;1.24; 0.502568; 0.141103;0.10192100000000001;0.4578964; 0.0164751; true;0.67; 0.556356; 0.127997;0.006070615999999999;0.010937561; 0.00865187; true;TO; 0.572985; 0.130241;1.0; 0.1187; 0.0000; 0.0007; 0.0003;1.62; 0.1785; 0.3268; 0.0402; 0.0004;1.17; 0.1987; 0.0963; 0.0017; 0.0006;2.12;0.301676958;0.056982276; 0.017104263; true;1.26;0.153453551;0.011543458000000001; 0.007371423; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata;ERR;ERR;ERR;ERR;ERR;0.21; NOT EMPTY;0.24; 0.197472; 0.0474048;0.000259215; 6.4564e-05; true;0.83; 0.214285; 0.0458361;0.024216220000000004;0.34867136; 0.257016; true;0.22; 0.196987; 0.0326652;0.000979451;0.000747633; 0.00171075; true;TO; 0.244167; 0.0490706;1.11; 0.0722; 0.0000; 0.0004; 0.0001;1.13; 0.0453; 0.0100; 0.0203; 0.0004;1.16; 0.0685; 0.0225; 0.0009; 0.0001;1.57;0.141753142;0.032831953000000004; 0.009234307; true;1.09;0.043908301;0.0033876400000000004; 0.00268071; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut10.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata;0.19; 0.136697; 0.038829; 0.0126; 0.0116;0.25; NOT EMPTY;0.65; 0.526237; 0.130692;0.012058244000000001; 0.000787824; true;3.09; 0.532115; 0.132285;0.13311104999999998;1.86157; 0.30963; true;0.52; 0.400411; 0.0877303;0.004047453;0.03233419; 0.00400322; true;TO; 0.534527; 0.139318;0.93; 0.1097; 0.0000; 0.0015; 0.0002;4.81; 0.1913; 0.3891; 3.2564; 0.0005;0.86; 0.1081; 0.0434; 0.0009; 0.0004;1.94;0.310569669;0.068341702; 0.019318774; true;1.53;0.066123399;0.08476070299999999; 0.001780086; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;ERR;ERR;ERR;ERR;ERR;0.24; NOT EMPTY;0.53; 0.411685; 0.122012;0.001985208; 2.9536e-05; true;0.76; 0.409623; 0.122753;0.14789746799999998;0.041754024; 0.0299269; true;0.58; 0.407274; 0.121352;0.007618248000000001;0.004366829; 0.0281369; true;TO; 0.420223; 0.132587;1.17; 0.1670; 0.0000; 0.0006; 0.0001;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;TO;0.141966922;MISSING;MISSING;MISSING;1.63;0.098156834;0.0037274829999999998; 0.062629304; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata;ERR;ERR;ERR;ERR;ERR;0.21; NOT EMPTY;0.1; 0.0941707; 0.0216148;5.981e-06; 1.7763e-05; true;0.11; 0.116131; 0.0214594;0.007795285;0.000294343; 0.000268998; true;0.12; 0.094893; 0.021911;0.0004900559999999999;0.000759467; 0.00145988; true;TO; 0.094119; 0.0223216;0.85; 0.0249; 0.0000; 0.0000; 0.0000;1.16; 0.0402; 0.0082; 0.0054; 0.0001;0.88; 0.0232; 0.0055; 0.0000; 0.0000;1.62;0.215429987;0.090923348; 0.013818207; true;1.18;0.045488182;0.0027508949999999997; 9.09615E-4; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata;ERR;ERR;ERR;ERR;ERR;0.15; NOT EMPTY;0.07; 0.06107; 0.0150076;0.00024756699999999997; 1.5003e-05; true;0.08; 0.0610985; 0.0149569;0.006326028000000001;0.004695368; 0.000137755; true;0.11; 0.0853792; 0.0221198;0.000525863;0.001575678; 0.00139299; true;TO; 0.0913285; 0.0224536;0.99; 0.0376; 0.0000; 0.0006; 0.0001;1.15; 0.0357; 0.0102; 0.0333; 0.0001;1.03; 0.0416; 0.0102; 0.0009; 0.0001;1.36;0.11590658799999999;0.050981832000000005; 0.012967741; true;1.04;0.026231426;0.003045666; 7.00784E-4; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata;ERR;ERR;ERR;ERR;ERR;0.22; NOT EMPTY;0.38; 0.319395; 0.0823812;0.0045563290000000005; 0.000262278; true;1.36; 0.381024; 0.0782083;0.04595919;0.48738296999999997; 0.341295; true;0.34; 0.26302; 0.054124;0.002595307;0.011498907000000001; 0.00446838; true;TO; 0.389489; 0.116826;1.03; 0.1156; 0.0000; 0.0006; 0.0009;1.35; 0.1323; 0.0633; 0.0369; 0.0013;0.99; 0.0942; 0.0449; 0.0012; 0.0007;1.86;0.21359866500000002;0.051120088999999994; 0.045941255; true;1.08;0.044766554;0.002931964; 0.006992185; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;ERR;ERR;ERR;ERR;ERR;0.19; NOT EMPTY;0.1; 0.164189; 0.0242517;1.2227e-05; 1.1081e-05; true;0.11; 0.0720831; 0.0270119;0.0204687;0.001823948; 0.00233371; true;0.13; 0.10144; 0.0631656;0.001116368;0.0007150160000000001; 0.00223739; true;TO; 0.09053; 0.0302539;1.08; 0.0412; 0.0000; 0.0001; 0.0000;1.2; 0.0404; 0.0163; 0.0500; 0.0005;1.08; 0.0406; 0.0172; 0.0001; 0.0001;1.33;0.17168066999999998;0.054061994; 0.009319725; true;1.07;0.04281064800000001;0.002155537; 0.001837925; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;ERR;ERR;ERR;ERR;ERR;0.23; NOT EMPTY;0.45; 0.404504; 0.101988;2.0262e-05; 2.295e-05; true;0.58; 0.311362; 0.101848;0.14910746;0.002707194; 0.0361928; true;0.64; 0.394714; 0.160379;0.012053519;0.0008497000000000001; 0.0463698; true;TO; 0.447897; 0.157556;1.13; 0.1805; 0.0000; 0.0003; 0.0000;2.76; 0.1764; 1.5346; 0.0391; 0.0563;1.45; 0.1826; 0.2598; 0.0003; 0.0001;3.18;0.6115948499999999;0.05363723; 0.079076936; true;1.97;0.092508702;0.002732423; 0.124344211; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.2; 0.153701; 0.0397287; 0.0024; 0.0015;0.23; NOT EMPTY;0.7; 0.546157; 0.158396;0.0012814789999999999; 0.00089328; true;13.08; 0.355403; 0.103782;0.10844796999999999;7.2637151; 4.34181; true;0.72; 0.537092; 0.151927;0.008702362;0.002818925; 0.00556776; true;TO; 0.539681; 0.159179;0.83; 0.1234; 0.0000; 0.0004; 0.0001;1.11; 0.1206; 0.2349; 0.0416; 0.0007;0.98; 0.1587; 0.0754; 0.0003; 0.0001;2.13;0.302793716;0.067068045; 0.02880229; true;1.28;0.07049421599999998;0.0046313710000000004; 0.002459959; true
