name;automata-runtime;mata-runtime;mata-mataparsing;mata-compl;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-emptiness_check;awali-emptiness_check_result;mona-runtime;mona-mataparsing;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-complement;pyfado-emptiness;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-complement;pyautomata-lib-emptiness;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;ERR;0.16; 0.120048; 0.0159358; 9.509e-06; false;0.57; 0.147308; 0.275629; 0.217902; 0.00550469; false;0.17; 0.11884; 0.0110992; 0.0121902; 0.00304332; false;TO; 0.146644;ERR;ERR;ERR;ERR;1.36; 0.0974; 0.1597; 0.0013; 0.0104;1.28; 0.0911; 0.0902; 0.0135; 0.0001;2.07; 0.281150146; 0.041203174; 0.002201948; false;1.87; 0.11229674; 0.036202788; 4.7674E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;ERR;0.11; 0.099216; 0.0126519; 7.173e-06; false;0.45; 0.0981595; 0.152199; 0.270675; 0.00515893; false;0.13; 0.0989937; 0.00651895; 0.00428559; 0.0015487; false;TO; 0.153256;ERR;ERR;ERR;ERR;1.34; 0.0669; 0.1128; 0.0011; 0.0052;0.96; 0.0386; 0.0276; 0.0006; 0.0000;2.12; 0.238835121; 0.041605064; 0.002010922; false;1.63; 0.080218885; 0.046257691; 3.8445E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;ERR;0.06; 0.0403343; 0.0154328; 8.225e-06; false;0.15; 0.0434866; 0.0693721; 0.0305496; 0.00305189; false;0.06; 0.0536081; 0.00325477; 0.00529381; 0.00202756; false;TO; 0.043365;ERR;ERR;ERR;ERR;0.99; 0.0204; 0.0248; 0.0005; 0.0010;0.93; 0.0325; 0.0341; 0.0011; 0.0001;1.58; 0.251402733; 0.029244733; 0.001800823; false;1.08; 0.046515667; 0.014618495; 2.6587E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;ERR;26.19; 8.54681; 15.4348; 9.375e-06; false;29.77; 8.63818; 15.9585; 3.00137; 0.0427603; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 8.59994;TO; 5.1821; 0.0000; 2.8066;TO;MISSING;MISSING;MISSING;MISSING;48.31; 3.9251; 45.0271; 0.0063; 0.0001;30.52; 20.678413186; 0.104992914; 0.002465243; false;10.65; 2.312478799; 0.747300364; 9.2235E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;ERR;2.12; 0.8969; 0.973363; 1.5039e-05; false;3.17; 0.913269; 1.51486; 0.509428; 0.0327605; false;1.43; 0.907022; 0.127481; 0.109584; 0.0322289; false;TO; 0.611841;ERR;ERR;ERR;ERR;6.31; 0.5380; 4.2028; 0.0125; 0.1204;3.33; 0.4987; 1.4390; 0.0046; 0.0001;4.89; 1.452673651; 0.061751822; 0.003167735; false;3.9; 0.677711762; 0.10674792; 6.5114E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;ERR;0.15; 0.0947789; 0.0466645; 9.695e-06; false;0.49; 0.151462; 0.244142; 0.084284; 0.00249141; false;0.16; 0.118131; 0.0119161; 0.0191743; 0.00602035; false;TO; 0.123779;ERR;ERR;ERR;ERR;2.24; 0.0991; 1.0524; 0.0030; 0.0255;0.93; 0.0539; 0.1317; 0.0004; 0.0001;2.64; 0.489305469; 0.054996871; 0.002117968; false;1.69; 0.121386919; 0.060855775; 3.1782E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;ERR;0.43; 0.219312; 0.176165; 7.921e-06; false;1.21; 0.322352; 0.607782; 0.224123; 0.0058746; false;0.49; 0.342521; 0.033256; 0.0422093; 0.0126549; false;TO; 0.208551;ERR;ERR;ERR;ERR;2.82; 0.2259; 1.4488; 0.0035; 0.0316;1.16; 0.1224; 0.3101; 0.0009; 0.0001;3.38; 0.896811217; 0.048722221; 0.002149871; false;2.59; 0.306993787; 0.079232481; 2.8425E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;ERR;0.01; 0.0135175; 0.00247146; 3.365e-06; false;0.02; 0.00648258; 0.0102788; 0.0140129; 0.000503271; false;0.02; 0.0101094; 0.000735438; 0.00237258; 0.00106101; false;TO; 0.00652244;ERR;ERR;ERR;ERR;1.08; 0.0137; 0.0173; 0.0004; 0.0007;1.05; 0.0133; 0.0112; 0.0003; 0.0001;1.22; 0.119059535; 0.028012854; 0.001671795; false;1.01; 0.029119426; 0.010493935; 3.1212E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;ERR;0.23; 0.149975; 0.0710395; 7.945e-06; false;0.51; 0.152243; 0.255613; 0.0873308; 0.00254007; false;0.21; 0.151939; 0.0123567; 0.0187348; 0.00585683; false;TO; 0.151995;ERR;ERR;ERR;ERR;1.96; 0.0914; 0.8868; 0.0031; 0.0263;1.33; 0.0951; 0.2810; 0.0008; 0.0001;2.42; 0.44913378; 0.036250963; 0.001642071; false;1.69; 0.139972349; 0.074278384; 2.4081E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;ERR;0.65; 0.359949; 0.228945; 6.25e-06; false;1.26; 0.360415; 0.63905; 0.203005; 0.00827173; false;0.5; 0.355944; 0.0350789; 0.0385392; 0.0113412; false;TO; 0.37392;ERR;ERR;ERR;ERR;3.11; 0.2282; 1.9038; 0.0064; 0.0610;1.79; 0.2369; 0.5956; 0.0021; 0.0001;3.27; 0.795089701; 0.047938431; 0.001783344; false;2.33; 0.229929813; 0.054244993; 2.622E-5; false
