name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-construction;automata-inclusion_check;automata-inclusion_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-inclusion_check;awali-inclusion_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-inclusion;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-inclusion;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-inclusion;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-brics-runtime;java-brics-construction;java-brics-inclusion_check;java-brics-inclusion_result
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;1.01; 0.744036; 0.19203; 0.0723; 0.0020;0.61;0.4934987; 0.0938751000; False;0.93; 0.75593; 0.192752; 0.00108562; false;1.88; 0.810236; 0.231261;0.2277421; 0.663366; false;0.87; 0.477241; 0.147023;0.01759174; 0.239993; false;1.74; 0.9302; 0.0000; 0.0029; False;TO;MISSING;MISSING;MISSING;MISSING;3.0; 1.2083; 0.8589; 0.0094; False;4.88;1.092520805; 0.106966806; false;3.2;0.6524579189999999; 0.184843225; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;1.09; 0.790269; 0.314511; 0.0834; 0.0023;0.5;0.5231763; 0.0892485000; False;1.03; 0.885329; 0.240673; 0.00171721; false;1.69; 0.673728; 0.192332;0.1569589; 0.665914; false;1.23; 0.791092; 0.24025;0.0218174; 0.208251; false;1.98; 1.0739; 0.0000; 0.0036; False;TO;MISSING;MISSING;MISSING;MISSING;2.77; 1.3081; 1.1101; 0.0105; False;4.82;0.878348587; 0.103463351; false;3.4;0.42253640700000006; 0.176095737; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.91; 0.971392; 0.169531; 0.0454; 0.0013;0.6;0.4360393; 0.1072697000; False;0.66; 0.491269; 0.1537; 0.00164242; false;1.14; 0.460128; 0.209018;0.1001765; 0.354423; false;1.17; 0.758505; 0.227296;0.02078831; 0.17819; false;2.19; 1.1004; 0.0000; 0.0032; False;TO;MISSING;MISSING;MISSING;MISSING;2.29; 0.6831; 0.8730; 0.0099; False;4.81;1.108143692; 0.088748504; false;3.26;0.477879946; 0.181393294; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.08; 0.821576; 0.222868; 0.0715; 0.0018;0.51;0.4007291; 0.0921887000; False;0.77; 0.692734; 0.14275; 0.00142401; false;1.78; 0.793396; 0.23882;0.1651786; 0.577918; false;1.21; 0.773599; 0.227928;0.0217326; 0.186114; false;1.71; 0.9273; 0.0000; 0.0024; False;TO;MISSING;MISSING;MISSING;MISSING;2.94; 1.1390; 0.8720; 0.0092; False;5.3;1.087189581; 0.108907841; false;3.63;0.53679687; 0.188685162; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-rhs.mata;1.15; 0.781266; 0.240618; 0.1016; 0.0026;0.65;0.4301335; 0.1089022000; False;0.87; 0.719287; 0.145459; 0.00131125; false;1.85; 0.798183; 0.234782;0.1711888; 0.616755; false;1.27; 0.790096; 0.23214;0.0219998; 0.238173; false;2.31; 1.1485; 0.0000; 0.0030; False;TO;MISSING;MISSING;MISSING;MISSING;3.24; 1.1832; 0.8768; 0.0106; False;5.88;1.191186637; 0.187588225; false;5.14;0.6722725390000001; 0.263715104; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-rhs.mata;1.61; 0.657415; 0.195462; 0.7816; 0.0009;0.47;0.3609075; 0.0664800000; False;0.94; 0.730641; 0.22921; 0.00087583; false;1.19; 0.716689; 0.225105;0.0931887; 0.161802; false;2.73; 0.721296; 0.232489;0.012439470000000001; 1.8505; false;2.95; 1.0295; 0.0000; 0.0024; False;TO;MISSING;MISSING;MISSING;MISSING;13.03; 1.0801; 10.5820; 0.0002; False;11.63;5.509846559; 0.077878105; false;5.06;0.415531506; 0.740726668; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-rhs.mata;15.53; 0.130226; 0.0277916; 15.8731; 0.0012;TO;0.1199499;MISSING;MISSING;0.15; 0.117763; 0.0356877; 0.00210866; false;0.17; 0.114181; 0.0374812;0.01774595; 0.0163958; false;20.92; 0.112901; 0.0337256;0.00246035; 21.5669; false;1.15; 0.1472; 0.0000; 0.0019; False;TO;MISSING;MISSING;MISSING;MISSING;6.84; 0.1002; 5.8693; 0.0413; False;7.48;3.5359959329999997; 0.124908653; false;10.06;0.11780212300000001; 6.043545478; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-rhs.mata;18.67; 0.0671828; 0.0187828; 19.0823; 0.0026;11.53;0.1270771; 11.3809229000; False;0.08; 0.0710522; 0.023793; 0.00134789; false;0.18; 0.123084; 0.0382534;0.018387519999999997; 0.0154943; false;28.85; 0.125013; 0.041259;0.00252888; 29.7042; false;1.23; 0.1768; 0.0000; 0.0028; False;TO;MISSING;MISSING;MISSING;MISSING;11.82; 0.1779; 10.7643; 0.0172; False;9.25;4.3988156290000004; 0.167802607; false;8.71;0.09840896099999999; 4.60327089; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-rhs.mata;18.84; 0.0678435; 0.018784; 19.4018; 0.0031;11.09;0.0790052; 11.0287458000; False;0.14; 0.123865; 0.039085; 0.00244573; false;0.19; 0.131693; 0.0387468;0.019001999999999998; 0.0140776; false;29.19; 0.122728; 0.0412696;0.00258374; 30.1195; false;0.97; 0.1067; 0.0000; 0.0021; False;TO;MISSING;MISSING;MISSING;MISSING;11.23; 0.1869; 10.1221; 0.0216; False;8.78;4.521996484; 0.140131064; false;10.19;0.144008577; 6.129387415; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-rhs.mata;25.27; 0.113544; 0.0337093; 25.8281; 0.0030;11.52;0.1129799; 11.3920609000; False;0.15; 0.119941; 0.041023; 0.00242231; false;0.17; 0.120746; 0.038182;0.01734482; 0.0121966; false;37.55; 0.115314; 0.0408362;0.00251194; 38.433; false;1.35; 0.1675; 0.0000; 0.0030; False;TO;MISSING;MISSING;MISSING;MISSING;12.38; 0.1659; 11.2233; 0.0487; False;7.54;3.687889948; 0.262348431; false;8.7;0.136098454; 4.520474934; false
