name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;automata-runtime;automata-construction;mata-runtime;mata-mataparsing;mata-mataminterm;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;pymata-runtime;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;TO; 0.0170284; 0.00377994;TO;0.0661682;TO; 0.0169653; 0.00936499;TO; 0.0271895; 0.0134055;0.001600576;TO; 0.0373903; 0.0124651;0.000281566;ERR;TO;TO;TO;TO;0.03572669
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;ERR;ERR;ERR;TO;0.0984554;TO; 0.0896132; 0.036527;TO; 0.0424099; 0.013301;0.0026906530000000003;TO; 0.0679924; 0.021753;0.000474318;TO;TO;TO;TO;TO;0.038427753
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;TO; 0.530106; 0.138735;TO;0.3321518;TO; 0.781417; 0.130129;TO; 0.59634; 0.117474;0.0758699;TO; 0.712812; 0.114097;0.005907320000000001;TO;TO;TO;TO;TO;0.143645533
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;ERR;ERR;ERR;TO;0.1883356;TO; 0.0860098; 0.0231667;TO; 0.136024; 0.0234951;0.01219751;TO; 0.084182; 0.0194544;0.000687718;TO;TO;TO;TO;TO;0.044889466
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;ERR;ERR;ERR;TO;0.18037140000000002;TO; 0.0677524; 0.0250801;TO; 0.128941; 0.0277314;0.00624262;TO; 0.212971; 0.0543872;0.000986368;TO;TO;TO;TO;TO;0.07096529
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;TO; 0.188902; 0.0596665;TO;0.1712154;ERR;ERR;ERR;TO; 0.208403; 0.0503237;0.00808358;TO; 0.150285; 0.0404872;0.001290772;TO;TO;TO;TO;TO;0.06725335
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;TO; 0.173746; 0.028551;TO;0.24171920000000002;TO; 0.352232; 0.0693283;TO; 0.241208; 0.035884;0.009203969999999999;TO; 0.312758; 0.0720201;0.0014243340000000002;TO;TO;TO;TO;TO;0.079686167
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;ERR;ERR;ERR;TO;0.1259163;TO; 0.263604; 0.0425546;TO; 0.329413; 0.114706;0.0254237;TO; 0.449922; 0.10259;0.001860748;TO;TO;TO;TO;TO;0.093299389
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;ERR;ERR;ERR;TO;0.20875169999999998;TO; 0.284231; 0.104977;TO; 0.230395; 0.0466483;0.01355093;TO; 0.45769; 0.116838;0.001293237;TO;TO;TO;TO;TO;0.100498978
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;TO; 0.327043; 0.0596586;TO;0.1666631;TO; 0.416277; 0.0663319;TO; 0.296926; 0.0798859;0.01505318;TO; 0.525961; 0.101407;0.00230239;TO;TO;TO;TO;TO;0.090142835
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;ERR;ERR;ERR;TO;0.1915324;TO; 0.432408; 0.103175;TO; 0.314611; 0.0711389;0.01739826;TO; 0.288977; 0.0989585;0.00246224;TO;TO;TO;TO;TO;0.132491798
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;ERR;ERR;ERR;TO;0.1929382;TO; 0.259847; 0.0620346;TO; 0.316263; 0.104297;0.01774692;TO; 0.324835; 0.0613624;0.0028366199999999998;TO;TO;TO;TO;TO;0.107821834
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-rhs.mata;ERR;ERR;ERR;TO;0.1778254;TO; 0.380962; 0.0674207;TO; 0.514358; 0.137755;0.0329459;TO; 0.663923; 0.133881;0.0030412399999999997;TO;TO;TO;TO;TO;0.107802801
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;TO; 0.439565; 0.0382092;TO;0.2233659;TO; 0.53502; 0.102041;TO; 0.403767; 0.0786139;0.0228761;TO; 0.495146; 0.0726393;0.0036631800000000003;TO;TO;TO;TO;TO;0.101950137
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;TO; 0.387775; 0.0671699;TO;0.2286261;ERR;ERR;ERR;TO; 0.404908; 0.0690621;0.0212432;TO; 0.32088; 0.0918793;0.00470141;TO;TO;TO;TO;TO;0.117149741
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;ERR;ERR;ERR;TO;0.300076;TO; 0.621572; 0.0948718;TO; 0.475177; 0.0830184;0.029774000000000002;TO; 0.550261; 0.0742528;0.00386331;TO;TO;TO;TO;TO;0.142519079
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;ERR;ERR;ERR;TO;0.26176540000000004;TO; 0.430582; 0.100007;TO; 0.750718; 0.146156;0.035041100000000006;TO; 0.603837; 0.086258;0.00460401;TO;TO;TO;TO;TO;0.22242383400000001
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;TO; 0.63467; 0.102468;TO;0.3642238;ERR;ERR;ERR;TO; 0.777013; 0.0931313;0.0303171;TO; 0.556175; 0.085634;0.00490292;TO;TO;TO;TO;TO;0.151706066
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;TO; 0.591006; 0.133531;TO;0.33991930000000004;TO; 0.730738; 0.104284;TO; 0.540183; 0.0919569;0.0339743;TO; 0.740243; 0.15598;0.009232170000000001;TO;TO;TO;TO;TO;0.11797949299999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;TO; 0.74583; 0.101626;TO;0.3389947;TO; 0.70043; 0.133854;TO; 0.917589; 0.105408;0.0356555;TO; 0.561849; 0.120237;0.00578012;TO;TO;TO;TO;TO;0.16728172
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;TO; 0.0561847; 0.00917406;TO;0.1428479;TO; 0.0755574; 0.0185111;TO; 0.0386898; 0.0130469;0.0020364650000000003;TO; 0.0830791; 0.0354942;0.000529351;TO;TO;TO;TO;TO;0.042332441
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;TO; 0.701075; 0.0845581;TO;0.388049;TO; 0.733763; 0.106699;TO; 1.08506; 0.218953;0.037859199999999996;TO; 1.00626; 0.0978037;0.00485112;TO;TO;TO;TO;TO;0.247603968
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;TO; 0.0943552; 0.0144422;TO;0.0954421;TO; 0.0980616; 0.0256156;TO; 0.095714; 0.0214082;0.00394667;TO; 0.0889501; 0.0212597;0.000736268;TO;TO;TO;TO;TO;0.036196241
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;TO; 0.159617; 0.0215523;TO;0.0750302;TO; 0.0718446; 0.018227;TO; 0.249103; 0.0516783;0.01886686;TO; 0.2291; 0.0366135;0.000931091;TO;TO;TO;TO;TO;0.053272223
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;TO; 0.223804; 0.0213671;TO;0.1277318;TO; 0.242594; 0.028265;TO; 0.272143; 0.058702;0.01986603;TO; 0.225079; 0.0271231;0.001120321;TO;TO;TO;TO;TO;0.048430276
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;TO; 0.214224; 0.027883;TO;0.11529690000000001;TO; 0.185256; 0.0362854;TO; 0.192294; 0.0369409;0.009413620000000001;TO; 0.315727; 0.0727876;0.001367652;TO;TO;TO;TO;TO;0.062690256
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;TO; 0.247575; 0.0340472;TO;0.1680187;TO; 0.228803; 0.0423745;TO; 0.206613; 0.054389;0.01631428;TO; 0.200376; 0.126331;0.0018403270000000001;TO;TO;TO;TO;TO;0.062306428
