name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-construction;automata-intersection;automata-trim;automata-inclusion_check;automata-inclusion_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-inclusion_check;awali-inclusion_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-inclusion;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-trimming;pyfado-inclusion;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-trimming;pyautomata-lib-inclusion;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-intersection;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-inclusion_check;java-brics-inclusion_result
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata;0.19; 0.141671; 0.0400161; 0.0061; 0.0054;0.23;0.14811939999999998;0.029085100000000003; 0.0000930000; 0.0412693000; True;0.14; 0.103565; 0.0451409;0.00147972;0.000369683; 9.152e-06; true;0.21; 0.144472; 0.0440275;0.013417060000000001;0.007261342;0.009230799; 0.00454428; true;0.19; 0.139347; 0.0447889;0.0022800949999999998;0.005665557999999999;0.004767633; 0.00436749; true;1.36; 0.2154; 0.0000; 0.0011; 0.0002; 0.0003; True;1.81; 0.1897; 0.4776; 0.1323; 0.0000; 0.0007; True;1.6; 0.2267; 0.1297; 0.0017; 0.0000; 0.0006; True;2.58;0.41449693499999996;0.136862808; 0.028834991; true;2.01;0.165979645;0.10386877100000001; 0.006068497; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata;0.06; 0.0548611; 0.0105697; 0.0007; 0.0004;0.16;0.0695866;0.0088736; 0.0000534000; 0.0297634000; True;0.05; 0.0497987; 0.0167387;0.000187021;3.8862e-05; 6.89e-06; true;0.06; 0.0496851; 0.0158576;0.003911249;0.000443972;0.0005615640000000001; 0.000651099; true;0.06; 0.0487715; 0.0171499;0.0006827370000000001;0.0010263420000000002;0.0008471590000000001; 0.00173868; true;1.34; 0.0808; 0.0000; 0.0005; 0.0001; 0.0001; False;1.39; 0.0866; 0.0185; 0.0367; 0.0000; 0.0008; True;1.26; 0.0744; 0.0229; 0.0006; 0.0000; 0.0001; False;1.5;0.14813129;0.036908402; 0.009456805; true;1.3;0.055856913999999994;0.003789287; 0.00242988; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut10.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata;0.2; 0.138528; 0.0414132; 0.0156; 0.0144;0.26;0.11213590000000001;0.0634352; 0.0002132000; 0.0483109000; True;0.11; 0.0818104; 0.0247477;0.005961605;0.0010317249999999998; 0.000135133; true;0.32; 0.082584; 0.0296856;0.01208475;0.035720550000000004;0.14938771; 0.00479195; true;0.18; 0.115588; 0.030406;0.001588627;0.017538078;0.023564367; 0.00225263; true;1.3; 0.1451; 0.0000; 0.0028; 0.0004; 0.0002; False;4.61; 0.1955; 0.3802; 3.2256; 0.0000; 0.0003; True;1.54; 0.2529; 0.2144; 0.0022; 0.0000; 0.0012; False;3.08;0.44424786399999994;0.11263211199999999; 0.04372475; true;1.77;0.082020874;0.133788814; 0.00255096; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.1; 0.090169; 0.0170796; 0.0022; 0.0015;0.13;0.0629977;0.0112681; 0.0000570000; 0.0257162000; True;0.14; 0.114034; 0.037822;0.00068901;0.00019904800000000004; 5.849e-06; true;0.17; 0.108521; 0.0375209;0.021012986999999997;0.001278068;0.001448312; 0.00808189; true;0.17; 0.112016; 0.0361232;0.002873765;0.0023110910000000004;0.002217017; 0.0226766; true;1.37; 0.1776; 0.0000; 0.0006; 0.0001; 0.0001; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.264865848;MISSING;MISSING;MISSING;2.05;0.134500158;0.010679719; 0.176187956; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata;0.03; 0.0247097; 0.00361305; 0.0001; 0.0000;0.16;0.06739239999999999;0.014006900000000001; 0.0000789000; 0.0372631000; True;0.02; 0.0365857; 0.00986906;3.55e-06;4.819e-06; 8.148e-06; true;0.03; 0.0237813; 0.00939797;0.001143189;3.98e-06;5.4159999999999995e-06; 5.0947e-05; true;0.02; 0.018711; 0.0103317;0.000217067;0.000597658;0.00048059400000000004; 0.000678918; true;1.26; 0.0409; 0.0000; 0.0000; 0.0001; 0.0000; True;1.2; 0.0439; 0.0077; 0.0070; 0.0000; 0.0001; True;1.24; 0.0330; 0.0105; 0.0001; 0.0000; 0.0000; True;1.13;0.14855814800000003;0.048430677000000005; 0.008632053; true;1.08;0.03938506599999999;0.002565817; 0.001139165; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata;0.02; 0.0208206; 0.00445183; 0.0003; 0.0005;0.15;0.0731458;0.0165283; 0.0000841000; 0.0368227000; True;0.02; 0.0223908; 0.00653465;0.00031286599999999997;4.8586999999999994e-05; 5.138e-06; true;0.03; 0.0237631; 0.0102947;0.001384651;0.000908224;0.0012846020000000001; 4.592e-05; true;0.01; 0.0127879; 0.00725696;0.000181617;0.0009908470000000002;0.0008084499999999999; 0.000757989; true;1.16; 0.0434; 0.0000; 0.0008; 0.0001; 0.0001; False;0.89; 0.0223; 0.0052; 0.0171; 0.0000; 0.0001; True;1.21; 0.0374; 0.0100; 0.0009; 0.0000; 0.0001; False;1.14;0.10212961799999999;0.032160839; 0.005459291; true;0.96;0.022092685999999997;0.008233465; 7.37374E-4; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata;0.12; 0.0991641; 0.0168605; 0.0058; 0.0053;0.2;0.097269;0.018713999999999998; 0.0000844000; 0.0412742000; True;0.11; 0.100679; 0.0247224;0.001828403;0.000298769; 7.792e-06; true;0.15; 0.102444; 0.0252694;0.0065429519999999994;0.005834619;0.01400948; 0.00300718; true;0.08; 0.0568556; 0.0211304;0.000580544;0.002302797;0.002311683; 0.00161635; true;1.25; 0.1241; 0.0000; 0.0007; 0.0001; 0.0007; False;1.14; 0.0924; 0.0320; 0.0179; 0.0000; 0.0006; True;1.37; 0.1435; 0.0477; 0.0011; 0.0000; 0.0007; False;2.1;0.277624033;0.043692859; 0.029639949; true;1.43;0.081444243;0.024580885; 0.009112292; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.03; 0.0273818; 0.0174604; 0.0002; 0.0000;0.11;0.0438184;0.0090812; 0.0000554000; 0.0238817000; True;0.02; 0.012771; 0.00860869;5.915e-06;3.368e-06; 6.001e-06; true;0.01; 0.0127647; 0.0079519;0.0015509360000000002;9.265999999999999e-06;7.483999999999999e-06; 0.000233987; true;0.02; 0.0127709; 0.00849021;0.000235324;0.000444501;0.000318332; 0.00084555; true;1.11; 0.0463; 0.0000; 0.0002; 0.0000; 0.0000; True;1.14; 0.0427; 0.0136; 0.0352; 0.0000; 0.0005; True;1.33; 0.0500; 0.0192; 0.0002; 0.0000; 0.0001; True;1.35;0.176432127;0.036580849; 0.011412162; true;0.93;0.038953335;0.002233942; 0.002504705; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.16; 0.14809; 0.0461805; 0.0017; 0.0001;0.21;0.1017299;0.0141358; 0.0000795000; 0.0449789000; True;0.15; 0.110272; 0.0495434;1.7712000000000003e-05;2.1777e-05; 7.041e-06; true;0.2; 0.109416; 0.0523671;0.035054540999999995;5.471500000000001e-05;3.3961e-05; 0.0123019; true;0.2; 0.110196; 0.0512854;0.005150405;0.00078503;0.000576569; 0.0402715; true;1.44; 0.2044; 0.0000; 0.0004; 0.0000; 0.0000; True;1.99; 0.1097; 0.8899; 0.0200; 0.0000; 0.0306; True;1.64; 0.1903; 0.3087; 0.0003; 0.0000; 0.0001; True;3.51;0.606642033;0.112857244; 0.058232931; true;2.46;0.26463843;0.002701219; 0.164217032; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.12; 0.105585; 0.0220381; 0.0013; 0.0008;0.23;0.11800769999999998;0.015007000000000001; 0.0000837000; 0.0497534000; True;0.19; 0.153183; 0.0466787;0.000205218;3.9501e-05; 7.96e-06; true;0.21; 0.152674; 0.0461821;0.024239300000000002;0.00047003299999999996;0.000413355; 0.00101817; true;0.17; 0.183176; 0.0341491;0.0018601989999999999;0.000830809;0.0006305159999999999; 0.00200728; true;1.46; 0.2169; 0.0000; 0.0006; 0.0000; 0.0000; True;2.03; 0.2426; 0.4793; 0.0809; 0.0000; 0.0014; True;1.43; 0.2266; 0.1327; 0.0005; 0.0000; 0.0002; True;3.23;0.451786353;0.144325102; 0.062600565; true;1.83;0.194076397;0.004112666; 0.002968213; true
