                                                        1st Quartile / Median / 3rd Quartile per op/bench                                                        
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
benchop    mata             awali            vata             automata         brics             (j)alib          fado             (py)alib       (py)mata
---------  ---------------  ---------------  ---------------  ---------------  ----------------  ---------------  ---------------  -------------  ---------------
empti/bcd  0.0, 0.0, 0.0    0.0, 0.0, 0.1    0.0, 0.7, 1.6    0.0, 0.0, 0.0    0.0, 0.0, 0.0     -                -                -              0.0, 0.0, 0.0
empti/bci  0.0, 0.0, 0.0    0.0, 0.0, 0.1    0.0, 0.0, 0.8    0.0, 0.0, 0.0    0.0, 0.0, 0.0     -                -                -              0.0, 0.0, 0.0
empti/bi   500, 500, 500    500, 500, 500    500, 500, 500    500, 500, 500    500, 500, 500     0.0, 500, 500    0.0, 500, 500    500, 500, 500  500, 500, 500
inter/bcd  0.1, 1.4, 500    0.1, 0.1, 2.0    0.1, 0.5, 13.2   1.3, 6.1, 17.3   1.8, 6.1, 12.2    -                -                -              0.9, 3.4, 9.2
inter/bci  0.1, 2.2, 500    0.1, 0.1, 2.0    0.1, 0.1, 5.6    1.5, 6.6, 16.7   1.6, 5.4, 12.4    -                -                -              0.9, 3.7, 10.5
inter/bi   500, 500, 500    500, 500, 500    500, 500, 500    500, 500, 500    500, 500, 500     1.8, 500, 500    120.5, 500, 500  500, 500, 500  500, 500, 500
parsi/bcd  0.3, 0.6, 500    0.2, 0.3, 0.5    0.3, 0.5, 500    -                -                 -                -                -              -
parsi/bci  0.3, 250.3, 500  0.2, 0.3, 0.4    0.3, 0.5, 0.8    -                -                 -                -                -              -
parsi/bi   500, 500, 500    500, 500, 500    500, 500, 500    -                -                 -                -                -              -
resul/bcd  500, 500, 500    500, 500, 500    500, 500, 500    500, 500, 500    500, 500, 500     -                -                -              500, 500, 500
resul/bci  500, 500, 500    500, 500, 500    500, 500, 500    500, 500, 500    500, 500, 500     -                -                -              500, 500, 500
resul/bi   500, 500, 500    500, 500, 500    500, 500, 500    500, 500, 500    500, 500, 500     500, 500, 500    500, 500, 500    500, 500, 500  500, 500, 500
runti/bcd  3.4, 257.1, 500  5.5, 260.4, 500  6.3, 262.2, 500  6.4, 268.8, 500  12.8, 272.7, 500  500, 500, 500    500, 500, 500    500, 500, 500  5.6, 260.1, 500
runti/bci  3.0, 257.3, 500  5.3, 260.1, 500  6.0, 262.0, 500  6.1, 268.0, 500  12.1, 272.4, 500  500, 500, 500    500, 500, 500    500, 500, 500  5.7, 259.8, 500
runti/bi   500, 500, 500    500, 500, 500    500, 500, 500    500, 500, 500    500, 500, 500     170.7, 500, 500  118.8, 500, 500  500, 500, 500  500, 500, 500
trans/bcd  -                0.0, 0.0, 0.0    0.0, 0.0, 500    0.1, 0.2, 0.2    0.1, 0.1, 0.2     -                -                -              0.0, 0.0, 0.4
trans/bci  -                0.0, 0.0, 0.0    0.0, 0.0, 0.1    0.1, 0.2, 0.3    0.1, 0.1, 0.2     -                -                -              0.0, 0.0, 0.4
trans/bi   -                500, 500, 500    500, 500, 500    0.8, 500, 500    0.5, 500, 500     218.1, 500, 500  1.2, 500, 500    500, 500, 500  500, 500, 500
trim/bcd   0.3, 0.9, 1.9    0.9, 3.1, 7.1    1.0, 2.6, 5.6    0.0, 0.0, 0.0    -                 -                -                -              0.2, 1.0, 2.6
trim/bci   0.3, 0.7, 1.7    0.8, 2.9, 7.1    1.0, 2.5, 5.8    0.0, 0.0, 0.0    -                 -                -                -              0.2, 1.2, 2.5
trim/bi    500, 500, 500    500, 500, 500    500, 500, 500    500, 500, 500    -                 -                0.0, 500, 500    500, 500, 500  500, 500, 500
