                                                      Average / Median / Average with Timeouts                                                     
---------------------------------------------------------------------------------------------------------------------------------------------------
op     mata           awali          vata            automata        brics           (j)alib         fado            (py)alib        (py)mata
-----  -------------  -------------  --------------  --------------  --------------  --------------  --------------  --------------  --------------
compl  0.0, 0.0, 0.0  0.0, 0.0, 0.7  0.1, 0.0, 0.1   -               0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.2   0.0, 0.0, 0.1   0.0, 0.0, 0.0
conca  0.1, 0.0, 0.1  0.3, 0.0, 0.3  -               -               0.1, 0.0, 0.1   -               2.3, 0.1, 29.8  -               0.4, 0.0, 0.4
empti  0.0, 0.0, 7.2  0.1, 0.0, 7.5  0.1, 0.0, 10.8  0.0, 0.0, 35.3  0.0, 0.0, 7.2   0.0, 0.0, 11.0  0.1, 0.0, 19.0  0.0, 0.0, 11.6  0.0, 0.0, 7.2
inclu  0.0, 0.0, 0.1  0.5, 0.0, 1.2  0.2, 0.0, 0.2   0.4, 0.0, 1.2   0.3, 0.0, 0.8   0.1, 0.0, 4.6   0.6, 0.0, 18.7  0.0, 0.0, 4.7   0.1, 0.0, 0.1
inter  4.7, 0.0, 5.5  3.2, 0.0, 3.2  5.4, 0.0, 6.6   4.9, 0.0, 4.9   1.0, 0.0, 13.2  0.3, 0.1, 16.5  3.1, 0.1, 24.7  0.3, 0.0, 17.1  0.7, 0.0, 12.9
minte  0.2, 0.0, 1.2  0.2, 0.0, 0.2  0.2, 0.0, 1.2   -               -               -               -               -               -
parsi  0.1, 0.0, 0.6  0.1, 0.0, 0.3  0.2, 0.0, 0.8   0.2, 0.1, 0.2   0.2, 0.0, 0.2   2.0, 0.3, 5.3   0.1, 0.0, 18.8  0.2, 0.1, 8.7   0.2, 0.0, 5.0
runti  0.5, 0.0, 7.5  0.8, 0.1, 8.1  0.8, 0.1, 9.7   1.6, 0.2, 33.0  2.3, 1.2, 9.2   2.7, 1.8, 15.5  3.2, 1.3, 24.0  1.8, 1.2, 15.1  1.8, 1.2, 8.6
trans  -              -              -               -               -               -               0.4, 0.0, 19.0  0.4, 0.0, 8.9   0.0, 0.0, 4.8
trim   0.5, 0.0, 0.8  2.0, 0.0, 2.2  1.4, 0.0, 2.1   0.2, 0.0, 0.2   -               -               -               -               0.2, 0.0, 5.3
