                                                    1st Quartile / Median / 3rd Quartile per op/bench                                                     
----------------------------------------------------------------------------------------------------------------------------------------------------------
benchop    mata             awali            vata              automata        brics           (j)alib        fado            (py)alib       (py)mata
---------  ---------------  ---------------  ----------------  --------------  --------------  -------------  --------------  -------------  -------------
compl/p    0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     -               0.0, 0.1, 0.1   0.0, 0.0, 0.1  0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
compl/zn   0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     -               0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
conca/zn   0.0, 0.0, 0.0    0.0, 0.0, 0.2    -                 -               0.0, 0.0, 0.2   -              0.1, 18.1, 60   -              0.0, 0.0, 0.3
empti/bcd  0.0, 0.0, 0.0    0.0, 0.0, 0.1    0.0, 0.6, 1.5     0.0, 0.0, 0.0   0.0, 0.0, 0.0   -              -               -              0.0, 0.0, 0.0
empti/bci  0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.6     0.0, 0.0, 0.0   0.0, 0.0, 0.0   -              -               -              0.0, 0.0, 0.0
empti/bi   60, 60, 60       60, 60, 60       60, 60, 60        60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60      60, 60, 60     60, 60, 60
empti/p    0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     -               0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.1   0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/zn   0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     -               0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 1.6   0.0, 0.0, 0.0  0.0, 0.0, 0.0
inclu/ai   0.0, 0.0, 0.0    0.0, 0.1, 0.3    0.0, 0.1, 0.5     0.1, 0.1, 1.0   0.0, 0.1, 0.4   0.1, 0.1, 0.1  60, 60, 60      0.0, 0.0, 0.0  0.0, 0.0, 0.0
inclu/ef   0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.1  0.0, 0.0, 0.1   0.0, 0.0, 0.0  0.0, 0.0, 0.0
inter/bcd  0.5, 2.5, 6.4    0.4, 1.9, 4.2    0.8, 2.9, 7.3     1.4, 5.3, 15.5  1.4, 5.1, 10.5  -              -               -              0.7, 3.1, 7.7
inter/bci  0.5, 2.6, 6.2    0.4, 2.0, 4.2    0.8, 3.0, 7.3     1.3, 5.5, 15.2  1.5, 5.2, 10.2  -              -               -              0.8, 3.2, 7.2
inter/bi   8.4, 18.5, 32.0  6.4, 11.4, 18.3  10.4, 25.4, 36.6  5.8, 9.6, 22.8  60, 60, 60      60, 60, 60     60, 60, 60      60, 60, 60     60, 60, 60
inter/ef   0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.1, 0.1, 0.1  0.0, 0.2, 7.4   0.0, 0.0, 0.0  0.0, 0.0, 0.0
minte/ai   0.0, 0.1, 0.2    0.0, 0.1, 0.2    0.0, 0.1, 0.2     -               -               -              -               -              -
minte/bcd  0.0, 0.1, 0.1    0.0, 0.1, 0.1    0.0, 0.1, 0.1     -               -               -              -               -              -
minte/bci  0.0, 0.1, 0.1    0.0, 0.1, 0.1    0.0, 0.1, 0.1     -               -               -              -               -              -
minte/bi   0.1, 0.3, 1.3    0.1, 0.2, 1.3    0.0, 0.3, 1.7     -               -               -              -               -              -
minte/ef   0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     -               -               -              -               -              -
parsi/ai   0.1, 0.4, 0.5    0.0, 0.0, 0.4    0.0, 0.1, 0.4     0.1, 0.3, 0.3   0.1, 0.4, 0.5   0.4, 1.0, 1.2  60, 60, 60      0.2, 0.6, 0.8  0.1, 0.6, 0.8
parsi/bcd  0.2, 0.3, 0.5    0.0, 0.0, 0.3    0.0, 0.0, 0.3     0.1, 0.2, 0.2   0.1, 0.1, 0.1   -              -               -              0.2, 0.3, 0.5
parsi/bci  0.2, 0.3, 0.5    0.0, 0.0, 0.3    0.0, 0.1, 0.3     0.1, 0.2, 0.2   0.1, 0.1, 0.1   -              -               -              0.2, 0.3, 0.5
parsi/bi   0.1, 0.3, 0.6    0.0, 0.1, 0.4    0.0, 0.2, 1.0     0.1, 0.2, 0.3   0.1, 0.4, 1.3   1.3, 46.3, 60  60, 60, 60      60, 60, 60     60, 60, 60
parsi/ef   0.1, 0.1, 0.2    0.0, 0.0, 0.1    0.0, 0.0, 0.1     0.1, 0.1, 0.1   0.0, 0.1, 0.1   0.2, 0.3, 0.5  0.1, 0.1, 0.3   0.1, 0.1, 0.3  0.1, 0.1, 0.2
parsi/p    0.0, 0.1, 0.1    0.0, 0.0, 0.1    0.0, 0.0, 0.1     -               0.1, 0.2, 0.2   0.3, 0.4, 0.5  0.0, 0.1, 0.1   0.0, 0.1, 0.1  0.0, 0.1, 0.1
parsi/zn   0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     -               0.0, 0.0, 0.0   0.1, 0.1, 0.1  0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
resul/ai   60, 60, 60       60, 60, 60       60, 60, 60        60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60      60, 60, 60     60, 60, 60
resul/bcd  60, 60, 60       60, 60, 60       60, 60, 60        60, 60, 60      60, 60, 60      -              -               -              60, 60, 60
resul/bci  60, 60, 60       60, 60, 60       60, 60, 60        60, 60, 60      60, 60, 60      -              -               -              60, 60, 60
resul/bi   60, 60, 60       60, 60, 60       60, 60, 60        60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60      60, 60, 60     60, 60, 60
resul/ef   60, 60, 60       60, 60, 60       60, 60, 60        60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60      60, 60, 60     60, 60, 60
resul/p    60, 60, 60       60, 60, 60       60, 60, 60        -               60, 60, 60      60, 60, 60     60, 60, 60      60, 60, 60     60, 60, 60
resul/zn   60, 60, 60       60, 60, 60       60, 60, 60        -               60, 60, 60      60, 60, 60     60, 60, 60      60, 60, 60     60, 60, 60
