                                             1st Quartile / Median / 3rd Quartile per operation                                             
--------------------------------------------------------------------------------------------------------------------------------------------
op     mata           awali          vata           automata       brics          (j)alib        fado           (py)alib       (py)mata
-----  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------
compl  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
conca  0.0, 0.0, 0.0  0.0, 0.0, 0.2  -              -              0.0, 0.0, 0.2  -              0.1, 18.1, 60  -              0.0, 0.0, 0.3
empti  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 60, 60    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 60   0.0, 0.0, 0.0  0.0, 0.0, 0.0
inclu  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 60   0.0, 0.0, 0.0  0.0, 0.0, 0.0
inter  0.0, 0.0, 3.0  0.0, 0.0, 2.2  0.0, 0.0, 3.5  0.0, 0.0, 4.5  0.0, 0.0, 7.3  0.1, 0.1, 60   0.0, 3.1, 60   0.0, 0.0, 60   0.0, 0.0, 4.9
minte  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  -              -              -              -              -              -
parsi  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.1, 0.1, 0.2  0.0, 0.0, 0.1  0.1, 0.3, 0.7  0.0, 0.1, 60   0.0, 0.1, 0.3  0.0, 0.0, 0.2
runti  0.0, 0.1, 0.7  0.0, 0.1, 0.7  0.0, 0.1, 0.9  0.2, 60, 60    1.0, 1.3, 2.4  1.2, 2.4, 6.7  1.2, 2.2, 60   1.2, 1.3, 6.5  1.1, 1.3, 2.0
trans  -              -              -              -              -              -              0.0, 0.1, 60   0.0, 0.0, 0.3  0.0, 0.0, 0.0
trim   0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              -              -              -              0.0, 0.0, 0.0
