name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;automata-runtime;automata-construction;mata-runtime;mata-mataparsing;mata-mataminterm;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;pymata-runtime;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;TO; 0.0185464; 0.0024469;TO;0.0708115;ERR;ERR;ERR;TO; 0.0322762; 0.0107811;0.001356309;TO; 0.016417; 0.00675325;0.000172959;TO;TO;TO;TO;TO;0.064021505
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;TO; 0.0473591; 0.00799237;TO;0.0973407;TO; 0.0616679; 0.015961;TO; 0.0767385; 0.0134994;0.00267352;TO; 0.0583985; 0.0156714;0.000515602;TO;TO;TO;TO;TO;0.047674139000000004
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;TO; 0.507412; 0.0829148;TO;0.3913087;TO; 0.499117; 0.120961;TO; 0.513492; 0.1146;0.0368468;TO; 0.758386; 0.102891;0.03415191;TO;TO;TO;TO;TO;0.23992336
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;ERR;ERR;ERR;TO;0.0571536;TO; 0.091656; 0.0219955;TO; 0.097128; 0.0437791;0.00463444;TO; 0.17851; 0.0428967;0.000810767;TO;TO;TO;TO;TO;0.07301273
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;ERR;ERR;ERR;TO;0.1088225;TO; 0.200174; 0.036338;TO; 0.125905; 0.0288883;0.00756614;TO; 0.175898; 0.0311229;0.000630163;TO;TO;TO;TO;TO;0.058829443999999995
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;TO; 0.139987; 0.0219165;TO;0.12192080000000001;TO; 0.22002; 0.0353319;TO; 0.140503; 0.0318891;0.00781536;TO; 0.168177; 0.065622;0.001308653;TO;TO;TO;TO;TO;0.061139962
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;TO; 0.347317; 0.0995551;TO;0.2628843;TO; 0.451411; 0.0772455;TO; 0.23051; 0.0422045;0.0093434;TO; 0.34213; 0.0711259;0.001402402;TO;TO;TO;TO;TO;0.053214529
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;ERR;ERR;ERR;TO;0.1582033;TO; 0.205621; 0.0573837;TO; 0.205083; 0.0430985;0.01153631;TO; 0.169625; 0.0283285;0.001071242;TO;TO;TO;TO;TO;0.132620608
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;TO; 0.249872; 0.0777521;TO;0.1979342;TO; 0.289078; 0.050985;TO; 0.140628; 0.031435;0.0069818;TO; 0.390355; 0.0690101;0.0021326599999999998;TO;TO;TO;TO;TO;0.07479792
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;ERR;ERR;ERR;TO;0.193824;TO; 0.511362; 0.108935;TO; 0.347468; 0.110523;0.052162799999999995;TO; 0.524238; 0.0929789;0.00219761;TO;TO;TO;TO;TO;0.087322315
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;ERR;ERR;ERR;TO;0.1743038;TO; 0.501704; 0.0638804;TO; 0.383004; 0.0504678;0.01542505;TO; 0.32675; 0.0517546;0.00241223;TO;TO;TO;TO;TO;0.064344379
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;TO; 0.307843; 0.0470469;TO;0.21062609999999998;ERR;ERR;ERR;TO; 0.19396; 0.0450856;0.044801;TO; 0.331231; 0.0814724;0.01458518;TO;TO;TO;TO;TO;0.083286866
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-rhs.mata;ERR;ERR;ERR;TO;0.1957298;TO; 0.421861; 0.14025;TO; 0.538982; 0.0935635;0.0192942;TO; 0.409759; 0.120389;0.00317599;TO;TO;TO;TO;TO;0.08327902
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;ERR;ERR;ERR;TO;0.23279450000000002;TO; 0.597677; 0.0817236;TO; 0.414882; 0.0829471;0.01311045;TO; 0.378656; 0.0864276;0.0027812699999999997;TO;TO;TO;TO;TO;0.19208409
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;TO; 0.369095; 0.0698088;TO;0.2249469;TO; 0.488453; 0.0835985;TO; 0.437944; 0.076079;0.024140500000000002;TO; 0.578156; 0.0738837;0.00384804;TO;TO;TO;TO;TO;0.089463822
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;TO; 0.408413; 0.0665383;TO;0.26663349999999997;TO; 0.510148; 0.131425;TO; 0.343407; 0.0708086;0.0453805;TO; 0.338402; 0.0573588;0.00246064;TO;TO;TO;TO;TO;0.12466411699999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;ERR;ERR;ERR;TO;0.2420142;TO; 0.41641; 0.0983943;TO; 0.506209; 0.163557;0.0329174;TO; 0.68766; 0.0942804;0.00445225;TO;TO;TO;TO;TO;0.12367506
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;TO; 0.568915; 0.152169;TO;0.2813834;TO; 0.353055; 0.0892144;TO; 0.457554; 0.0714751;0.0215854;TO; 0.675252; 0.143164;0.00497055;TO;TO;TO;TO;TO;0.22795787
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;TO; 0.569589; 0.0922159;TO;0.3559007;TO; 0.507529; 0.0993292;TO; 0.70182; 0.208164;0.0304556;TO; 0.309481; 0.0607247;0.00286561;TO;TO;TO;TO;TO;0.184683934
