name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-emptiness_check;automata-runtime;automata-construction;automata-intersection;automata-trim;automata-emptiness_check;automata-emptiness_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.04; 0.0290853; 0.00416363; 0.0111;0.14;0.0917798; 0.0515513000; 0.0001461000; 0.0002043000; False;0.03; 0.0182221; 0.00822349; 0.00691794; 0.00348616; 2.8511e-05; false;0.06; 0.0290433; 0.0107638;0.00161513; 0.0102602; 0.0131513; 0.00352821; false;0.05; 0.0311186; 0.0118576;0.000305543; 0.0103986; 0.0112485; 0.00031876; false;1.34; 0.0517; 0.0000; 0.0149; 0.0087; 0.0001; False;TO;TO;TO;1.06;0.032510866; 0.074578455; 4.7239E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.13; 0.0597074; 0.00846883; 0.0727;0.29;0.0934683; 0.1440342000; 0.0002025000; 0.0001766000; False;0.1; 0.0457479; 0.0147716; 0.0403552; 0.0168155; 0.000101455; false;0.2; 0.0762668; 0.0164301;0.00282036; 0.062372; 0.079418; 0.000366191; false;0.17; 0.0566763; 0.0154772;0.000518369; 0.0360384; 0.112266; 0.0020482; false;1.08; 0.0574; 0.0000; 0.0365; 0.0104; 0.0002; False;TO;TO;TO;1.46;0.036043702; 0.282146688; 4.043E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;22.2; 0.497468; 0.0847381; 21.5148;30.87;0.2901483; 31.1828107000; 0.0011061000; 0.0003129000; False;11.18; 0.324239; 0.106744; 9.42928; 2.41731; 0.000404808; false;23.55; 0.557105; 0.111727;0.0387265; 11.4257; 10.2956; 2.69023; false;14.0; 0.574142; 0.0629715;0.00301178; 5.37991; 7.59451; 0.125961; false;18.01; 0.7144; 0.0000; 13.6161; 3.9401; 0.0048; False;TO;TO;TO;45.59;0.143438551; 20.323426609; 2.919E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.3; 0.165799; 0.0146031; 0.2436;0.46;0.09467930000000001; 0.4378320000; 0.0002213000; 0.0001756000; False;0.24; 0.106296; 0.0260781; 0.171504; 0.0481179; 0.000114976; false;0.48; 0.0788793; 0.0216818;0.00349353; 0.18267; 0.324684; 0.00110055; false;0.36; 0.0944083; 0.0207838;0.0008527560000000001; 0.115749; 0.176589; 0.00246672; false;1.55; 0.1430; 0.0000; 0.1677; 0.0407; 0.0006; False;TO;TO;TO;2.36;0.037874779; 0.422198762; 3.8967E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.51; 0.110939; 0.0417571; 0.3976;0.68;0.1080571; 0.5125595000; 0.0002415000; 0.0001648000; False;0.33; 0.0731724; 0.0186889; 0.205576; 0.0966778; 0.000149404; false;0.84; 0.116173; 0.0261859;0.00444346; 0.390772; 0.411251; 0.00188108; false;0.69; 0.178242; 0.0266306;0.0010202100000000001; 0.187382; 0.351459; 0.00571522; false;1.9; 0.1726; 0.0000; 0.3255; 0.0946; 0.0011; False;TO;TO;TO;3.32;0.055984205999999995; 0.756090055; 3.0174E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;1.02; 0.174616; 0.0232847; 0.9013;0.82;0.0735138; 0.7203417000; 0.0002644000; 0.0001507000; False;0.67; 0.135438; 0.0303106; 0.430417; 0.16323; 0.000315506; false;1.2; 0.119291; 0.0266592;0.00529482; 0.676854; 0.517788; 0.00117184; false;1.22; 0.148422; 0.0351287;0.001071323; 0.407888; 0.651437; 0.00936555; false;2.09; 0.1824; 0.0000; 0.4763; 0.1204; 0.0009; False;TO;TO;TO;3.72;0.058379324; 1.191067178; 2.6499E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;1.46; 0.180059; 0.0282589; 1.2877;1.69;0.1238876; 1.6791239000; 0.0004992000; 0.0002026000; False;0.89; 0.183708; 0.037428; 0.595389; 0.208343; 0.000238894; false;2.07; 0.164843; 0.0352897;0.00964854; 1.05043; 0.979482; 0.0024113; false;1.76; 0.172145; 0.0381191;0.001725919; 0.559196; 1.08551; 0.016047; false;2.27; 0.2205; 0.0000; 0.8086; 0.2150; 0.0014; False;TO;TO;TO;4.79;0.11109654199999999; 1.582626181; 2.4416E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;1.99; 0.182688; 0.021831; 1.9623;2.29;0.1423396; 2.2855236000; 0.0005459000; 0.0002584000; False;1.26; 0.236825; 0.062987; 0.85538; 0.303771; 0.000261393; false;2.7; 0.225343; 0.0516016;0.011414150000000001; 1.35199; 1.2935; 0.00188231; false;1.82; 0.223465; 0.0526508;0.0019273469999999998; 0.602871; 0.960535; 0.0183209; false;2.89; 0.2531; 0.0000; 1.2885; 0.3827; 0.0014; False;TO;TO;TO;6.08;0.07040775199999999; 2.233155442; 3.8007E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;2.72; 0.252982; 0.0420846; 2.5775;2.72;0.1562412; 2.7859396000; 0.0003406000; 0.0001271000; False;1.83; 0.251489; 0.0515955; 1.36179; 0.439555; 0.000407561; false;3.17; 0.246565; 0.0483893;0.01340737; 1.72729; 1.35804; 0.00160193; false;2.08; 0.140456; 0.0313834;0.001198284; 0.726628; 1.14275; 0.0188644; false;3.68; 0.3405; 0.0000; 1.7402; 0.7249; 0.0035; False;TO;TO;TO;6.76;0.069040542; 2.648310116; 3.7663E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;3.62; 0.269846; 0.0394706; 3.4070;4.14;0.151562; 4.0433614000; 0.0007820000; 0.0002212000; False;2.05; 0.303988; 0.0548377; 1.6537; 0.363187; 0.000223607; false;3.8; 0.158763; 0.0629888;0.00905342; 2.17507; 1.60995; 0.00143455; false;3.39; 0.24168; 0.0470022;0.002054467; 1.16377; 1.90243; 0.0251321; false;3.54; 0.1916; 0.0000; 2.1106; 0.6503; 0.0023; False;TO;TO;TO;9.61;0.156746316; 4.086890229; 3.3031E-5; false
