name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-construction;automata-intersection;automata-trim;automata-inclusion_check;automata-inclusion_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-inclusion_check;awali-inclusion_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-inclusion;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-inclusion;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-inclusion;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-intersection;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-inclusion_check;java-brics-inclusion_result
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata;0.18; 0.141498; 0.0338844; 0.0053; 0.0049;0.18;0.12777390000000002;0.0168597; 0.0000578000; 0.0400406000; True;0.13; 0.0813502; 0.047585;0.002875932;0.001013377; 2.3321e-05; true;0.21; 0.143455; 0.0391897;0.014540889999999999;0.008712326999999999;0.011204623; 0.00181799; true;0.19; 0.1422; 0.0419709;0.0022902599999999997;0.005424172999999999;0.004851656; 0.00336064; true;1.21; 0.1932; 0.0000; 0.0102; 0.0000; 0.0000; True;42.7; 0.3978; 0.1746; 43.1338; 0.0007; True;1.55; 0.3387; 0.0632; 0.0727; 0.0000; True;2.22;0.343603562;0.13250852800000001; 0.025702438; true;1.62;0.110178809;0.039489188; 0.006200249; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata;0.06; 0.100469; 0.0308002; 0.0006; 0.0004;0.2;0.0822487;0.0146978; 0.0000859000; 0.0499269000; True;0.06; 0.0497054; 0.0169578;0.000230099;5.1389e-05; 7.868e-06; true;0.06; 0.0487692; 0.0170907;0.003738885;0.000535174;0.00063583; 0.000708433; true;0.06; 0.0512094; 0.0169318;0.0006907500000000001;0.000955933;0.0007922459999999999; 0.00168534; true;1.32; 0.0793; 0.0000; 0.0009; 0.0000; 0.0000; True;1.13; 0.0472; 0.0131; 0.0341; 0.0004; True;1.24; 0.0828; 0.0154; 0.0020; 0.0001; True;1.43;0.157241607;0.042048457000000004; 0.008022597; true;1.14;0.033649786;0.004652209; 0.002606175; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut10.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata;0.18; 0.130657; 0.039199; 0.0144; 0.0118;0.22;0.0793041;0.0550823; 0.0002721000; 0.0422932000; True;0.18; 0.148469; 0.0418953;0.011065137;0.001744328; 0.000237982; true;0.39; 0.139312; 0.034515;0.011415418;0.06934261;0.19951734999999998; 0.00457081; true;0.21; 0.139925; 0.0652233;0.0026411259999999997;0.02497645;0.051046802; 0.00220554; true;0.99; 0.1146; 0.0000; 0.0105; 0.0002; 0.0002; True;17.41; 0.1150; 0.0947; 16.5765; 0.0178; True;1.53; 0.1755; 0.0617; 0.0474; 0.0003; True;2.69;0.366295352;0.14617464400000002; 0.028525863; true;2.22;0.13221662;0.207379163; 0.001703984; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.08; 0.066418; 0.0175945; 0.0022; 0.0016;0.2;0.102405;0.017729199999999997; 0.0000979000; 0.0405079000; True;0.13; 0.130944; 0.0400331;0.000703746;0.00020588399999999998; 7.602e-06; true;0.17; 0.214505; 0.0652737;0.029364258;0.001532312;0.0017228620000000001; 0.00896178; true;0.15; 0.194074; 0.0264094;0.001692477;0.0012467799999999999;0.001121073; 0.013148; true;0.98; 0.1030; 0.0000; 0.0035; 0.0000; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.17334342;MISSING;MISSING;MISSING;1.77;0.109257702;0.008812799; 0.064280748; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata;0.02; 0.025187; 0.00385638; 0.0001; 0.0000;0.16;0.0665781;0.0136065; 0.0000796000; 0.0360292000; True;0.03; 0.0246033; 0.00963849;3.931e-06;4.740999999999999e-06; 7.566e-06; true;0.03; 0.0233334; 0.00905372;0.001139208;8.948e-06;1.1133e-05; 4.4891e-05; true;0.03; 0.0235061; 0.00895793;0.00019159899999999998;0.0005377590000000001;0.000441454; 0.000636329; true;1.09; 0.0361; 0.0000; 0.0000; 0.0000; 0.0000; True;1.13; 0.0387; 0.0071; 0.0036; 0.0001; True;0.94; 0.0230; 0.0039; 0.0001; 0.0000; True;1.12;0.127418562;0.055888591999999994; 0.007997412; true;1.01;0.029612561000000003;0.002629201; 0.001081449; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata;0.03; 0.0244509; 0.0040936; 0.0006; 0.0005;0.17;0.0688199;0.015956699999999997; 0.0000846000; 0.0386508000; True;0.03; 0.0234033; 0.00981678;0.000421671;7.623700000000001e-05; 7.406e-06; true;0.03; 0.0227465; 0.009599;0.001425855;0.000918444;0.0012595689999999999; 3.581e-05; true;0.03; 0.0231489; 0.0097553;0.000225396;0.0013196179999999998;0.001077954; 0.000751337; true;1.2; 0.0403; 0.0000; 0.0011; 0.0000; 0.0000; True;1.27; 0.0420; 0.0079; 0.0148; 0.0001; True;1.22; 0.0404; 0.0076; 0.0017; 0.0000; True;1.41;0.140007416;0.04231599; 0.006122604; true;1.17;0.031391773000000005;0.008738428; 9.04234E-4; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata;0.13; 0.108137; 0.0181622; 0.0064; 0.0056;0.22;0.1051919;0.0198283; 0.0000899000; 0.0440233000; True;0.12; 0.10529; 0.0273477;0.0018945070000000001;0.00032894; 7.694e-06; true;0.15; 0.102849; 0.025985;0.00713254;0.005916371;0.014737299999999998; 0.00475997; true;0.14; 0.106962; 0.0273943;0.001184967;0.0042153799999999995;0.00429899; 0.00297692; true;1.4; 0.1453; 0.0000; 0.0093; 0.0003; 0.0000; True;2.8; 0.1445; 0.0581; 1.2546; 0.0012; True;1.47; 0.1394; 0.0335; 0.0041; 0.0001; True;2.0;0.29854394500000003;0.08032420400000001; 0.026776204; true;1.49;0.070282882;0.016426959999999997; 0.00583919; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.02; 0.0143842; 0.00757673; 0.0001; 0.0000;0.19;0.12049539999999999;0.0165867; 0.0001047000; 0.0425582000; True;0.02; 0.0187323; 0.0132566;9.291000000000001e-06;5.768e-06; 7.402e-06; true;0.03; 0.0240992; 0.0140481;0.00302776;3.2586e-05;2.1751e-05; 0.000456209; true;0.04; 0.0252859; 0.0139345;0.000487805;0.000737818;0.000570206; 0.00148468; true;1.36; 0.0512; 0.0000; 0.0003; 0.0000; 0.0000; True;1.51; 0.0507; 0.0103; 0.0243; 0.0005; True;1.07; 0.0507; 0.0118; 0.0004; 0.0000; True;1.7;0.197872338;0.05240392; 0.010840559; true;1.24;0.09199570199999998;0.009125873999999999; 0.002659949; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.16; 0.11068; 0.0462858; 0.0017; 0.0002;0.22;0.10456649999999999;0.015258; 0.0000806000; 0.0445352000; True;0.16; 0.114355; 0.0545892;1.9600999999999997e-05;5.834e-06; 7.229e-06; true;0.21; 0.112376; 0.0544877;0.034554618999999995;6.585199999999999e-05;2.9763e-05; 0.0116786; true;0.12; 0.0685663; 0.0278799;0.0025929309999999997;0.000571814;0.00033116099999999996; 0.0277183; true;1.48; 0.2016; 0.0000; 0.0004; 0.0000; 0.0000; True;1.51; 0.1416; 0.3472; 0.0133; 0.0158; True;1.58; 0.2895; 0.1031; 0.0004; 0.0000; True;3.66;0.657683433;0.083411355; 0.088531194; true;2.38;0.183925069;0.00292187; 0.171794718; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.19; 0.1558; 0.041103; 0.0024; 0.0015;0.21;0.09906799999999999;0.0105879; 0.0000938000; 0.0462661000; True;0.19; 0.195818; 0.0908317;0.000201402;2.7874000000000005e-05; 9.894e-06; true;0.19; 0.187902; 0.0524287;0.013041969999999998;0.00024833799999999997;0.00022666400000000004; 0.000586303; true;0.2; 0.154775; 0.0471788;0.0038143130000000006;0.00103674;0.000688641; 0.0024782; true;1.37; 0.2909; 0.0000; 0.0024; 0.0002; 0.0000; True;1.6; 0.2260; 0.1878; 0.0398; 0.0012; True;1.49; 0.2289; 0.1116; 0.0025; 0.0003; True;3.05;0.358769676;0.100145331; 0.046213257; true;1.87;0.137738555;0.006145102; 0.003622617; true
