                                                     Average / Median / Average with Timeouts                                                     
--------------------------------------------------------------------------------------------------------------------------------------------------
op     mata           awali          vata           automata        brics           (j)alib         fado            (py)alib        (py)mata
-----  -------------  -------------  -------------  --------------  --------------  --------------  --------------  --------------  --------------
compl  0.0, 0.0, 0.0  0.0, 0.0, 0.7  0.0, 0.0, 0.0  -               0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.2, 0.0, 0.4   0.1, 0.0, 0.2   0.0, 0.0, 0.0
conca  0.1, 0.0, 0.1  0.3, 0.0, 0.3  -              -               0.1, 0.0, 0.1   -               5.1, 1.2, 29.1  -               0.4, 0.0, 0.4
deter  -              -              -              -               -               -               0.2, 0.0, 0.4   0.4, 0.0, 13.3  -
empti  0.0, 0.0, 5.9  0.1, 0.0, 6.3  0.1, 0.0, 9.1  0.0, 0.0, 17.6  0.0, 0.0, 6.0   0.0, 0.0, 17.8  1.2, 0.0, 22.0  0.4, 0.0, 20.8  0.0, 0.0, 6.0
inclu  0.1, 0.0, 0.1  0.6, 0.0, 1.2  0.1, 0.0, 0.1  0.3, 0.0, 1.1   0.3, 0.0, 0.8   0.1, 0.0, 4.7   9.5, 2.5, 30.2  0.3, 0.0, 1.7   0.1, 0.0, 0.1
inter  3.5, 0.0, 6.4  3.4, 0.0, 3.4  6.2, 0.0, 6.4  5.2, 0.0, 5.2   1.0, 0.0, 13.2  0.2, 0.1, 16.6  1.3, 0.2, 35.9  0.2, 0.0, 15.6  0.7, 0.0, 12.8
minte  0.2, 0.0, 2.3  0.3, 0.0, 0.3  0.2, 0.0, 0.3  -               -               -               -               -               -
parsi  0.2, 0.0, 1.3  0.1, 0.0, 0.3  0.2, 0.0, 0.3  0.2, 0.1, 0.2   0.2, 0.1, 0.2   3.3, 0.3, 8.6   0.1, 0.0, 22.2  0.2, 0.1, 13.1  0.3, 0.0, 4.5
runti  0.5, 0.1, 6.6  1.1, 0.1, 7.5  1.6, 0.1, 9.6  1.2, 0.2, 28.3  2.4, 1.2, 8.5   2.9, 1.7, 20.7  6.3, 1.7, 27.3  1.7, 1.2, 20.2  1.9, 1.2, 7.9
trans  -              -              -              -               -               -               0.1, 0.0, 22.2  0.0, 0.0, 13.0  0.0, 0.0, 4.2
trim   0.3, 0.0, 1.4  1.9, 0.0, 2.1  1.9, 0.0, 2.0  0.2, 0.0, 0.2   -               -               -               -               0.1, 0.0, 4.7
union  0.8, 0.0, 0.8  0.7, 0.0, 0.7  3.7, 0.1, 3.7  0.1, 0.0, 0.1   0.2, 0.1, 0.2   2.2, 0.1, 47.0  4.1, 0.6, 28.2  0.2, 0.0, 52.0  1.0, 0.0, 1.0
