name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-construction;automata-inclusion_check;automata-inclusion_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-inclusion_check;awali-inclusion_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-inclusion;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-inclusion;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-inclusion;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-brics-runtime;java-brics-construction;java-brics-inclusion_check;java-brics-inclusion_result
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;1.07; 0.789015; 0.216493; 0.0691; 0.0012;0.65;0.5013945; 0.0990649000; False;1.05; 0.811924; 0.233196; 0.00170771; false;1.29; 0.48318; 0.161473;0.1364298; 0.514984; false;1.29; 0.790285; 0.25004;0.0221191; 0.265564; false;1.65; 0.8302; 0.0000; 0.0031; False;TO;MISSING;MISSING;MISSING;MISSING;2.51; 1.1861; 0.2528;0.2485; 0.2706; False;4.32;0.899827216; 0.110191294; false;3.21;0.476933999; 0.178454404; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;1.12; 0.77458; 0.240468; 0.0905; 0.0020;0.61;0.44782350000000004; 0.0984069000; False;0.95; 0.875871; 0.238828; 0.00183469; false;1.43; 0.981512; 0.211009;0.15214149999999999; 0.391129; false;1.27; 0.821995; 0.237547;0.0234179; 0.238424; false;2.27; 1.1561; 0.0000; 0.0032; False;TO;MISSING;MISSING;MISSING;MISSING;2.26; 0.8719; 0.2893;0.30810000000000004; 0.3332; False;4.8;1.124858299; 0.087423676; false;3.26;0.49170213399999996; 0.217940296; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;1.04; 1.01751; 0.219416; 0.0889; 0.0031;0.51;0.422651; 0.1081797000; False;0.82; 0.610472; 0.23412; 0.0018815; false;1.14; 0.462932; 0.15371;0.1158805; 0.36873; false;1.18; 0.719625; 0.23309;0.021651; 0.204189; false;2.17; 1.1168; 0.0000; 0.0029; False;TO;MISSING;MISSING;MISSING;MISSING;2.19; 0.8145; 0.2614;0.2299; 0.2704; False;4.95;0.918837856; 0.12964716; false;3.45;0.48275237400000004; 0.166890314; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.01; 0.660755; 0.232161; 0.1154; 0.0021;0.61;0.4158202; 0.1119449000; False;0.89; 0.770628; 0.170005; 0.00103594; false;1.81; 0.782; 0.232137;0.1748497; 0.62832; false;1.23; 0.76574; 0.22953;0.0212256; 0.216265; false;1.48; 0.6711; 0.0000; 0.0023; False;TO;MISSING;MISSING;MISSING;MISSING;2.72; 1.1480; 0.2617;0.25170000000000003; 0.2718; False;4.83;0.9132904359999999; 0.170573974; false;3.26;0.408063208; 0.203596385; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-rhs.mata;0.98; 0.73116; 0.187985; 0.0626; 0.0013;0.41;0.32944280000000004; 0.0590603000; False;1.02; 0.789821; 0.237524; 0.00193333; false;1.85; 0.769027; 0.231755;0.1717098; 0.633615; false;1.23; 0.744365; 0.228722;0.0211093; 0.235181; false;2.23; 1.0829; 0.0000; 0.0026; False;TO;MISSING;MISSING;MISSING;MISSING;2.65; 1.0656; 0.2633;0.24280000000000002; 0.2634; False;4.88;1.016900051; 0.083650095; false;3.23;0.38830947400000004; 0.203876692; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.78; 0.428347; 0.103929; 0.2895; 0.0005;0.24;0.1729224; 0.0305089000; False;0.72; 0.575462; 0.165956; 0.000315925; false;0.98; 0.607274; 0.178876;0.07722201; 0.133899; false;2.0; 0.588464; 0.170937;0.01000766; 1.30533; false;1.89; 0.7833; 0.0000; 0.0010; False;TO;MISSING;MISSING;MISSING;MISSING;9.42; 0.7697; 0.1121;7.553599999999999; 7.5970; False;11.86;5.643078879; 0.145514855; false;4.65;0.393233726; 0.926028146; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-rhs.mata;1.68; 0.105124; 0.0268554; 1.6784; 0.0021;TO;0.0695335;MISSING;MISSING;0.14; 0.112242; 0.034139; 0.00202575; false;0.16; 0.111951; 0.0342916;0.01645605; 0.0116282; false;19.68; 0.11062; 0.034289;0.00237245; 20.2397; false;1.34; 0.1689; 0.0000; 0.0027; False;TO;MISSING;MISSING;MISSING;MISSING;8.61; 0.1667; 0.0213;7.3673; 7.4030; False;7.72;3.793472602; 0.139250653; false;9.73;0.138512088; 5.802444129; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-rhs.mata;1.32; 0.12199; 0.0329589; 1.2848; 0.0027;10.08;0.12070139999999999; 9.9312432000; False;0.16; 0.127296; 0.0418632; 0.00243214; false;0.18; 0.125603; 0.0381555;0.01745766; 0.013003; false;30.83; 0.122928; 0.0365513;0.0025841299999999996; 31.5868; false;1.3; 0.1741; 0.0000; 0.0029; False;TO;MISSING;MISSING;MISSING;MISSING;9.44; 0.0997; 0.0117;8.5452; 8.5832; False;8.77;4.481061549; 0.135527891; false;9.42;0.084143311; 5.216609407; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-rhs.mata;1.78; 0.123541; 0.0329618; 1.8110; 0.0015;8.96;0.0739863; 8.8469045000; False;0.15; 0.12554; 0.0388092; 0.00263586; false;0.18; 0.125814; 0.0385757;0.01714475; 0.0137969; false;29.06; 0.12576; 0.0388371;0.00265182; 30.0787; false;1.32; 0.1793; 0.0000; 0.0034; False;TO;MISSING;MISSING;MISSING;MISSING;10.81; 0.1820; 0.0232;9.5864; 9.6040; False;8.89;4.918023282; 0.130786667; false;8.52;0.108599856; 4.919460244; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-rhs.mata;2.27; 0.0611455; 0.0335341; 2.7036; 0.0029;12.25;0.1160772; 12.1275209000; False;0.13; 0.102683; 0.0344109; 0.00213025; false;0.14; 0.10135; 0.0339992;0.0134986; 0.0104679; false;37.96; 0.100462; 0.0351432;0.0020939269999999998; 38.9492; false;1.07; 0.1030; 0.0000; 0.0020; False;TO;MISSING;MISSING;MISSING;MISSING;11.99; 0.1706; 0.0217;10.6198; 10.6837; False;8.05;3.8706585259999997; 0.156678937; false;8.78;0.092461242; 4.405455144; false
