name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;automata-runtime;automata-construction;mata-runtime;mata-mataparsing;mata-mataminterm;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;pymata-runtime;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;TO; 0.0364074; 0.00498579;TO;0.0743426;TO; 0.0362823; 0.0129461;TO; 0.0366481; 0.0137066;0.00078095;TO; 0.0378642; 0.0117732;0.000250069;ERR;TO;TO;TO;TO;0.052251805
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;TO; 0.0739523; 0.0226247;TO;0.0843192;TO; 0.125518; 0.0318462;TO; 0.0346391; 0.011819;0.001814656;TO; 0.0334668; 0.0112361;0.000297038;TO;TO;TO;TO;TO;0.10667294899999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;TO; 0.530867; 0.0958883;TO;0.38050470000000003;TO; 0.649758; 0.110739;TO; 0.678264; 0.136002;0.0361705;TO; 0.868923; 0.156164;0.00488268;TO;TO;TO;TO;TO;0.24581765900000002
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;ERR;ERR;ERR;TO;0.212691;TO; 0.180716; 0.0608328;TO; 0.135642; 0.0405319;0.00947812;TO; 0.0833222; 0.0205203;0.000713249;TO;TO;TO;TO;TO;0.050402706000000005
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;ERR;ERR;ERR;TO;0.1518545;TO; 0.175834; 0.0671218;TO; 0.12318; 0.0522156;0.02119387;TO; 0.0820001; 0.0175894;0.001141665;TO;TO;TO;TO;TO;0.116582021
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;TO; 0.103239; 0.107303;TO;0.1592654;TO; 0.198066; 0.0699648;TO; 0.14311; 0.0214768;0.00433385;TO; 0.196527; 0.0438795;0.0012019230000000001;TO;TO;TO;TO;TO;0.11661990900000001
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;TO; 0.119905; 0.0213464;TO;0.2333538;TO; 0.360611; 0.0945021;TO; 0.309044; 0.0430083;0.01222972;TO; 0.279256; 0.0342835;0.001419894;TO;TO;TO;TO;TO;0.07035730800000001
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;TO; 0.228878; 0.0423208;TO;0.146426;TO; 0.488494; 0.0675053;TO; 0.401772; 0.140401;0.046595830000000005;TO; 0.337613; 0.0552891;0.001762029;TO;TO;TO;TO;TO;0.101085006
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;TO; 0.24534; 0.041021;TO;0.1403515;TO; 0.157535; 0.0585942;TO; 0.295364; 0.034459;0.00706075;TO; 0.287824; 0.0465982;0.002048368;TO;TO;TO;TO;TO;0.121775995
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;ERR;ERR;ERR;TO;0.2957341;TO; 0.5648; 0.0908024;TO; 0.532841; 0.100708;0.036650100000000005;TO; 0.275578; 0.0528641;0.0027059199999999997;TO;TO;TO;TO;TO;0.095506127
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;ERR;ERR;ERR;TO;0.24630649999999998;TO; 0.618656; 0.102801;TO; 0.578624; 0.129591;0.02716064;TO; 0.472844; 0.102955;0.00247832;TO;TO;TO;TO;TO;0.097101032
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;ERR;ERR;ERR;TO;0.2834928;TO; 0.333224; 0.103946;TO; 0.360708; 0.0718198;0.01879999;TO; 0.392417; 0.0666362;0.00293836;TO;TO;TO;TO;TO;0.160839462
