name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-intersection;mata-bin-emptiness_check;automata-runtime;automata-construction;automata-intersection;automata-trim;automata-emptiness_check;automata-emptiness_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.03; 0.0292913; 0.00412459; 0.0027; 0.0005;0.17;0.0919344; 0.1075166000; 0.0001527000; 0.0001684000; False;0.03; 0.0221621; 0.010982; 0.00298894; 0.00143537; 1.0488e-05; false;0.06; 0.0301819; 0.0109444;0.001362293; 0.00963338; 0.0115842; 0.0045523; false;0.03; 0.015938; 0.00701178;0.00014310199999999999; 0.00453671; 0.00545294; 0.000216959; false;1.26; 0.0484; 0.0000; 0.0123; 0.0021; 0.0001; False;5.32; 0.0389; 0.0029; 3.3225; 1.1462; False;TO;TO;1.0;0.030550321999999998; 0.050142249; 3.6451E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.07; 0.0541888; 0.00782066; 0.0113; 0.0023;0.26;0.0809028; 0.1325420000; 0.0001693000; 0.0001866000; False;0.08; 0.0567716; 0.014895; 0.0133187; 0.00577261; 3.6078e-05; false;0.19; 0.0567116; 0.0149554;0.0027687700000000003; 0.0566019; 0.0845072; 0.000437229; false;0.13; 0.0406608; 0.0126295;0.00035676; 0.0280824; 0.0567256; 0.00147005; false;1.18; 0.0670; 0.0000; 0.0336; 0.0095; 0.0002; False;50.13; 0.0502; 0.0045; 36.8681; 14.3093; False;TO;TO;1.3;0.027649504; 0.184863042; 4.1489E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;2.08; 0.500645; 0.0500092; 1.4096; 0.1585;28.92;0.1570791; 30.9596144000; 0.0012488000; 0.0002165000; False;2.75; 0.640381; 0.101022; 2.1135; 0.354456; 9.694e-05; false;20.81; 0.357277; 0.0671576;0.0208348; 11.9573; 8.93234; 1.74962; false;18.12; 0.344163; 0.0731441;0.0038403300000000003; 6.86469; 11.0475; 0.136571; false;17.17; 0.5627; 0.0000; 14.4243; 3.7829; 0.0042; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;42.21;0.104036722; 19.025935088; 3.1316E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.12; 0.0780379; 0.0133577; 0.0279; 0.0048;0.45;0.0901661; 0.3611102000; 0.0002065000; 0.0001698000; False;0.11; 0.0985312; 0.0155934; 0.0185657; 0.00887938; 2.5411e-05; false;0.39; 0.0679049; 0.0198144;0.0040991099999999996; 0.16895; 0.185559; 0.00097443; false;0.3; 0.0485824; 0.0129968;0.000417659; 0.0570777; 0.167727; 0.00360676; false;1.48; 0.0739; 0.0000; 0.2350; 0.0421; 0.0006; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;2.35;0.043949006; 0.485401795; 4.4271E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.13; 0.0797996; 0.0115086; 0.0292; 0.0072;0.81;0.1192361; 0.6691088000; 0.0003210000; 0.0001911000; False;0.13; 0.0726514; 0.0179765; 0.032096; 0.0161171; 4.7126e-05; false;0.6; 0.0738688; 0.0182218;0.00370807; 0.28407; 0.274923; 0.00176461; false;0.65; 0.119259; 0.0240634;0.001106067; 0.264963; 0.313169; 0.00555872; false;1.69; 0.1581; 0.0000; 0.2988; 0.0688; 0.0006; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;2.78;0.046818980999999996; 0.670051505; 3.0683E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;0.14; 0.0750781; 0.0131838; 0.0493; 0.0025;0.74;0.10034320000000001; 0.6167119000; 0.0002427000; 0.0001319000; False;0.14; 0.0770381; 0.0189655; 0.0464125; 0.0209024; 3.0436e-05; false;0.9; 0.0788957; 0.0189839;0.00408173; 0.326322; 0.573566; 0.000729449; false;0.99; 0.193129; 0.0306246;0.001352483; 0.297249; 0.57659; 0.00825405; false;1.99; 0.2510; 0.0000; 0.6051; 0.1345; 0.0008; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;3.72;0.050186431000000004; 1.145379243; 3.2401E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;0.32; 0.142233; 0.0202511; 0.1343; 0.0259;1.56;0.1210662; 1.5902003000; 0.0005176000; 0.0002254000; False;0.36; 0.191798; 0.0361901; 0.148537; 0.0523602; 5.8259e-05; false;1.39; 0.121054; 0.0279276;0.005208020000000001; 0.677724; 0.643772; 0.00129093; false;1.22; 0.15953; 0.0328198;0.0014415959999999998; 0.448846; 0.582159; 0.0130044; false;2.17; 0.1658; 0.0000; 0.6586; 0.1961; 0.0011; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;4.81;0.053308874; 1.558681153; 3.2205E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;0.53; 0.230658; 0.0736557; 0.2281; 0.0435;2.31;0.20554909999999998; 2.1688070000; 0.0004556000; 0.0001718000; False;0.32; 0.155231; 0.026316; 0.132331; 0.0423657; 5.0492e-05; false;2.3; 0.118094; 0.0259994;0.00589164; 0.985773; 1.36237; 0.00255571; false;1.85; 0.218343; 0.0413934;0.0020224600000000002; 0.729586; 0.91794; 0.0138655; false;2.93; 0.2950; 0.0000; 1.2440; 0.3220; 0.0013; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;6.02;0.07089058200000001; 2.318164258; 4.4255E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;0.58; 0.237281; 0.0358759; 0.2959; 0.0122;2.72;0.11445799999999999; 2.9093042000; 0.0004885000; 0.0001656000; False;0.46; 0.175131; 0.03077; 0.199044; 0.0846627; 8.4424e-05; false;2.91; 0.191338; 0.033652;0.0077913900000000005; 1.46572; 1.40319; 0.00319393; false;2.31; 0.142899; 0.050353;0.0022627000000000003; 0.894659; 1.1569; 0.0260631; false;3.42; 0.3227; 0.0000; 1.5689; 0.5356; 0.0020; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;7.24;0.068136989; 2.768574094; 4.4511E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;0.66; 0.174974; 0.0629791; 0.4062; 0.0611;3.4;0.2210297; 3.3476992000; 0.0003166000; 0.0001348000; False;0.44; 0.155055; 0.0343536; 0.288124; 0.071859; 0.000203728; false;3.66; 0.280593; 0.0499337;0.01432452; 2.08349; 1.49567; 0.00196661; false;3.38; 0.274292; 0.0530901;0.00235411; 1.15775; 1.85847; 0.0304002; false;3.33; 0.3372; 0.0000; 1.9399; 0.5174; 0.0012; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;9.15;0.142357695; 3.913676185; 4.5448E-5; false
