name;automata-runtime;automata-construction;automata-uni;automata-trim;automata-emptiness_check;automata-emptiness_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-uni;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-uni;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-union;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-uni;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.14;0.1323543; 0.0073050000; 0.0002052000; 0.0001531000; False;0.02; 0.0181277; 0.00805665; 4.1853e-05; 3.6165e-05; 7.602e-06; false;0.02; 0.0177324; 0.00836101;0.001391436; 0.000320462; 0.000284964; 0.000297026; false;0.04; 0.0299436; 0.0106316;0.000272858; 0.00144574; 0.00122385; 0.000454812; false;1.06; 0.0450; 0.0000; 0.0004; 0.0001; 0.0001; False;1.23; 0.0452; 0.0029; 0.0074; 0.0019; False;TO;TO;1.13;0.031202453; 0.002582826; 2.8126E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.14;0.0871357; 0.0075139000; 0.0002241000; 0.0001645000; False;0.06; 0.0576981; 0.0150824; 0.000165375; 6.8554e-05; 2.2322e-05; false;0.07; 0.0579214; 0.0151398;0.00238819; 0.000683967; 0.000568106; 0.000548461; false;0.06; 0.0560459; 0.0139502;0.000448333; 0.000812206; 0.00123529; 0.000889279; false;1.39; 0.0844; 0.0000; 0.0010; 0.0003; 0.0003; False;1.33; 0.0880; 0.0084; 0.0269; 0.0195; False;TO;TO;1.11;0.03246344; 0.00293671; 2.3575E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;0.26;0.2296223; 0.0118397000; 0.0029608000; 0.0003315000; False;0.4; 0.387935; 0.0805966; 0.000857235; 0.00126055; 0.000101326; false;0.72; 0.605458; 0.102673;0.035517599999999996; 0.00940134; 0.0148325; 0.0163886; false;0.43; 0.345906; 0.074277;0.00549216; 0.00444054; 0.0103965; 0.010384; false;1.23; 0.4270; 0.0000; 0.0026; 0.0020; 0.0016; False;4.39; 0.7703; 0.5701; 1.6505; 0.3525; False;TO;TO;1.66;0.11973425500000001; 0.014675385; 4.5156E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.16;0.1108234; 0.0080652000; 0.0002997000; 0.0001801000; False;0.11; 0.0954683; 0.0235922; 0.000226; 0.00010914; 3.2569e-05; false;0.11; 0.0980375; 0.0224857;0.00461867; 0.00123839; 0.00132853; 0.00138088; false;0.11; 0.0923548; 0.0222159;0.000837395; 0.00116891; 0.00177399; 0.00137032; false;1.37; 0.1263; 0.0000; 0.0010; 0.0003; 0.0004; False;1.06; 0.0730; 0.0083; 0.0290; 0.0248; False;TO;TO;1.3;0.045945136; 0.003655381; 3.9523E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.14;0.09398509999999999; 0.0070466000; 0.0002749000; 0.0001502000; False;0.08; 0.0752294; 0.0173325; 0.000175957; 0.000155503; 3.0643e-05; false;0.08; 0.0667886; 0.0157166;0.00310558; 0.000824669; 0.000779674; 0.000785922; false;0.07; 0.0642183; 0.0152825;0.000513048; 0.000699004; 0.00121637; 0.00107978; false;1.38; 0.1628; 0.0000; 0.0011; 0.0004; 0.0005; False;1.57; 0.1584; 0.0260; 0.1003; 0.0229; False;TO;TO;1.44;0.100719395; 0.00500962; 4.2597E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;0.17;0.1161851; 0.0081685000; 0.0004198000; 0.0001989000; False;0.16; 0.160943; 0.0323004; 0.000361738; 0.000180802; 5.387e-05; false;0.18; 0.15847; 0.0320248;0.007546580000000001; 0.00198119; 0.00189421; 0.00204932; false;0.19; 0.187614; 0.0347804;0.0013553089999999999; 0.00162793; 0.0027527; 0.00229303; false;1.17; 0.1339; 0.0000; 0.0013; 0.0006; 0.0005; False;1.31; 0.1213; 0.0224; 0.0796; 0.0189; False;TO;TO;1.14;0.062110296999999995; 0.004749322; 4.0409E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;0.2;0.13661689999999999; 0.0133437000; 0.0006328000; 0.0001973000; False;0.2; 0.205943; 0.0355993; 0.000455929; 0.000218084; 6.8809e-05; false;0.22; 0.18761; 0.0385593;0.01036028; 0.0030759; 0.00351092; 0.00335829; false;0.18; 0.201986; 0.0654277;0.001570531; 0.0016564; 0.00302401; 0.0026167; false;1.59; 0.2344; 0.0000; 0.0017; 0.0005; 0.0008; False;1.56; 0.1417; 0.0292; 0.1154; 0.0273; False;TO;TO;1.26;0.11500295299999999; 0.011219798; 7.9355E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;0.16;0.10728679999999999; 0.0060092000; 0.0006218000; 0.0002092000; False;0.21; 0.295831; 0.0272304; 0.000270634; 0.000155929; 5.6779e-05; false;0.24; 0.250911; 0.0442;0.00622517; 0.00201277; 0.00239918; 0.00212875; false;0.2; 0.204907; 0.047942;0.002221695; 0.00210499; 0.00354582; 0.0033049; false;1.47; 0.3284; 0.0000; 0.0019; 0.0007; 0.0010; False;1.9; 0.3182; 0.0752; 0.3036; 0.0699; False;TO;TO;1.43;0.08417563; 0.005792021; 2.6586E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;0.21;0.1603861; 0.0093471000; 0.0028506000; 0.0003098000; False;0.27; 0.257899; 0.0460316; 0.000625824; 0.000500917; 9.897e-05; false;0.31; 0.273796; 0.0505651;0.0146711; 0.00409226; 0.00693784; 0.00581011; false;0.23; 0.217285; 0.0489708;0.001647911; 0.00180844; 0.00337243; 0.00365995; false;1.5; 0.3168; 0.0000; 0.0021; 0.0008; 0.0011; False;1.67; 0.1751; 0.0486; 0.2087; 0.0571; False;TO;TO;1.24;0.068490066; 0.006156169; 5.1487E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;0.24;0.1737744; 0.0115637000; 0.0014678000; 0.0003446000; False;0.28; 0.30873; 0.0372559; 0.000394915; 0.00046338; 8.654e-05; false;0.28; 0.257024; 0.0394392;0.00843406; 0.00239371; 0.00394652; 0.00410174; false;0.34; 0.333208; 0.0600891;0.00264403; 0.00253309; 0.0050814; 0.00451979; false;1.14; 0.2103; 0.0000; 0.0031; 0.0015; 0.0018; False;2.32; 0.3734; 0.1197; 0.4924; 0.1103; False;TO;TO;1.41;0.077933984; 0.006360694; 4.211E-5; false
