name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-construction;automata-intersection;automata-trim;automata-inclusion_check;automata-inclusion_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-inclusion_check;awali-inclusion_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-inclusion;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-inclusion;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-determinization;pyautomata-lib-inclusion;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-intersection;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-inclusion_check;java-brics-inclusion_result
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata;0.18; 0.133628; 0.0392198; 0.0045; 0.0045;0.22;0.10422350000000001;0.026325300000000003; 0.0000859000; 0.0705248000; True;0.12; 0.0788421; 0.0447302;0.001647737;0.000492657; 1.1894e-05; true;0.22; 0.14987; 0.0493747;0.014082489999999998;0.016887692;0.019338304000000004; 0.0140201; true;0.14; 0.0808798; 0.0505913;0.002476248;0.00629225;0.0057342520000000004; 0.00376447; true;1.34; 0.1961; 0.0000; 0.0082; 0.0000; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.37; 0.1635; 0.0239; 0.1618;0.0062; 0.0063; True;2.41;0.412935232;0.13558104299999998; 0.022262891; true;1.5;0.073629055;0.016295518000000002; 0.006813619; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata;0.06; 0.108927; 0.0252669; 0.0004; 0.0003;0.12;0.0471191;0.008427800000000001; 0.0000488000; 0.0291988000; True;0.05; 0.0466722; 0.0144276;7.2005e-05;2.1895000000000003e-05; 5.549e-06; true;0.03; 0.0271442; 0.00960855;0.002159094;0.000226544;0.000284832; 0.000372399; true;0.03; 0.0273459; 0.00968878;0.00036662;0.000589124;0.00046116200000000004; 0.000987475; true;1.1; 0.0912; 0.0000; 0.0007; 0.0000; 0.0000; True;1.67; 0.0772; 0.0046; 0.0987; 0.4157; True;1.29; 0.0775; 0.0078; 0.0048;0.002; 0.0022; True;1.44;0.162572494;0.053560636; 0.008580197; true;1.07;0.061103541;0.003890476; 0.003434379; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut10.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata;0.18; 0.153497; 0.0386518; 0.0082; 0.0083;0.21;0.0809082;0.052246299999999996; 0.0001589000; 0.0393692000; True;0.14; 0.143535; 0.0509336;0.002504677;0.000835936; 0.000191495; true;0.36; 0.136814; 0.0381172;0.018234465;0.05369866;0.18576829; 0.00212375; true;0.23; 0.140235; 0.0402062;0.0026559970000000002;0.02446569;0.031330412999999994; 0.00216897; true;1.3; 0.1461; 0.0000; 0.0157; 0.0006; 0.0003; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.45; 0.1246; 0.0215; 0.3256;0.0078; 0.0082; True;2.58;0.430976472;0.126613797; 0.045831981; true;2.0;0.20842229599999998;0.154986265; 0.002008027; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.14; 0.190002; 0.0316015; 0.0026; 0.0018;0.19;0.1246104;0.0109003; 0.0000532000; 0.0257296000; True;0.12; 0.121797; 0.0373728;0.00024300300000000002;7.3212e-05; 6.407e-06; true;0.13; 0.0721395; 0.0366514;0.020444813;0.001298866;0.001301649; 0.00692253; true;0.15; 0.0941308; 0.0365886;0.003274119;0.010209296;0.001822637; 0.0688437; true;1.25; 0.1714; 0.0000; 0.0038; 0.0000; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.4; 0.1711; 0.0277; 0.0524;0.047599999999999996; 0.0478; True;TO;0.121230488;MISSING;MISSING;MISSING;1.48;0.07208328500000001;0.003649587; 0.069633034; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata;0.03; 0.0391453; 0.0032515; 0.0000; 0.0000;0.15;0.0606479;0.0123491; 0.0000713000; 0.0332297000; True;0.02; 0.0229545; 0.00903449;6.468e-06;4.011e-06; 8.325e-06; true;0.03; 0.0247349; 0.00937664;0.001120849;1.0729999999999999e-05;8.126e-06; 4.2118e-05; true;0.03; 0.0210565; 0.00844801;0.000188193;0.000488108;0.000407427; 0.000581527; true;1.04; 0.0393; 0.0000; 0.0000; 0.0001; 0.0000; True;1.21; 0.0389; 0.0013; 0.0929; 0.1975; True;1.03; 0.0226; 0.0015; 0.0001;0.0002; 0.0003; True;1.63;0.168268935;0.056933143; 0.013027726; true;1.08;0.046165972;0.002679218; 7.62532E-4; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata;0.02; 0.0465572; 0.0030336; 0.0004; 0.0003;0.12;0.0433183;0.0091253; 0.0000514000; 0.0226422000; True;0.02; 0.0222017; 0.00922532;0.000260709;7.990200000000001e-05; 7.518e-06; true;0.02; 0.0219202; 0.00935802;0.001363411;0.000862617;0.001090218; 3.2636e-05; true;0.02; 0.0118462; 0.00581315;0.000119925;0.0007217580000000001;0.0006104350000000001; 0.000407955; true;0.92; 0.0207; 0.0000; 0.0005; 0.0000; 0.0000; True;1.32; 0.0402; 0.0016; 0.2092; 0.1745; True;0.91; 0.0349; 0.0025; 0.0079;0.00030000000000000003; 0.0004; True;1.31;0.126576539;0.035634466; 0.006255007; true;1.09;0.02591324;0.0033989339999999997; 6.77804E-4; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata;0.11; 0.0947656; 0.0156219; 0.0035; 0.0031;0.2;0.0943257;0.0171256; 0.0000808000; 0.0375950000; True;0.1; 0.0942363; 0.022383;0.00104027;0.000250378; 7.212e-06; true;0.13; 0.0944366; 0.0226552;0.0061820799999999995;0.004817303;0.00897513; 0.00187887; true;0.12; 0.102065; 0.0221827;0.001009069;0.0035476369999999998;0.0034429570000000004; 0.00244448; true;1.2; 0.1285; 0.0000; 0.0076; 0.0002; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.24; 0.1251; 0.0208; 0.0956;0.006; 0.0060; True;1.78;0.197446395;0.031003595; 0.142472332; true;1.14;0.04346437;0.0031778329999999997; 0.006225904; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.03; 0.0230812; 0.00709475; 0.0001; 0.0000;0.15;0.061396900000000004;0.012806; 0.0000696000; 0.0342967000; True;0.03; 0.0224176; 0.0121868;1.0719999999999999e-05;5.6759999999999995e-06; 6.902e-06; true;0.03; 0.0223363; 0.0122853;0.002894758;2.0274e-05;1.7704e-05; 0.00041558; true;0.03; 0.109961; 0.0118824;0.000451726;0.000523601;0.000431845; 0.00126447; true;1.03; 0.0397; 0.0000; 0.0001; 0.0000; 0.0000; True;1.44; 0.0395; 0.0027; 0.0316; 0.3751; True;1.03; 0.0403; 0.0049; 0.0004;0.0015; 0.0015; True;1.49;0.173102782;0.036605258; 0.023224561; true;1.06;0.042241715;0.0022086930000000003; 0.001901483; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.14; 0.103615; 0.0406806; 0.0010; 0.0001;0.19;0.09142470000000001;0.012498; 0.0000698000; 0.0378110000; True;0.14; 0.102917; 0.0455613;1.5847e-05;6.297e-06; 8.87e-06; true;0.19; 0.104406; 0.0474078;0.031276158;5.7357999999999995e-05;3.2675e-05; 0.00856955; true;0.19; 0.101855; 0.0448781;0.004917214;0.000670666;0.00045209300000000004; 0.0366128; true;0.97; 0.1384; 0.0000; 0.0003; 0.0000; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.38; 0.1957; 0.0394; 0.0006;0.06870000000000001; 0.0690; True;3.27;0.604575641;0.059980295; 0.095162219; true;1.88;0.145428574;0.002858548; 0.065470823; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.19; 0.150091; 0.0384719; 0.0004; 0.0002;0.19;0.0907328;0.013596; 0.0000848000; 0.0513584000; True;0.19; 0.211924; 0.0484681;0.00012243499999999998;2.0637e-05; 7.968e-06; true;0.21; 0.183623; 0.0468832;0.022764629999999998;0.000498036;0.000399052; 0.000973958; true;0.2; 0.154931; 0.0474178;0.0036059890000000004;0.000961814;0.000638601; 0.00230919; true;1.4; 0.2257; 0.0000; 0.0026; 0.0003; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.44; 0.2339; 0.0358; 0.0275;0.0086; 0.0089; True;1.91;0.36486769599999996;0.07079485099999999; 0.025120674; true;1.49;0.106797639;0.008567906; 0.002599759; true
