name;automata-runtime;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;ERR;0.07; 0.0672514; 0.00315911; 0.000231884; 0.000128246; false;0.08; 0.0330556; 0.0224689; 0.0176243; 0.00455709; 0.00377967; false;0.08; 0.0581293; 0.00408053; 0.0097353; 0.00219602; 0.00190499; false;1.17; 0.0829; 0.0000; 0.0046; 0.0003; 0.0000; False;1.44; 0.1933; 0.1213; 0.1553; 0.1561; 0.0143; False;1.28; 0.0954; 0.0344; 0.0491; 0.0536; 0.0001; False;2.44; 0.579464017; 0.078901037; 0.001942201; false;1.89; 0.121870585; 0.058091456; 6.3721E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;ERR;0.05; 0.0712525; 0.00245865; 0.000153227; 9.3998e-05; false;0.09; 0.0436326; 0.0234971; 0.0124314; 0.00370475; 0.00362943; false;0.06; 0.0431273; 0.00321241; 0.00577445; 0.00195948; 0.00148527; false;1.21; 0.0475; 0.0000; 0.0025; 0.0001; 0.0000; False;1.41; 0.0675; 0.0428; 0.0655; 0.0668; 0.0055; False;1.39; 0.0721; 0.0274; 0.0274; 0.0309; 0.0001; False;2.18; 0.437249615; 0.03615569; 0.002074063; false;1.66; 0.203971737; 0.039700843; 3.6951E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;ERR;0.02; 0.0185894; 0.00188947; 0.000116131; 3.0883e-05; false;0.04; 0.0187283; 0.00875185; 0.0079338; 0.00161795; 0.00179539; false;0.02; 0.0194056; 0.00143465; 0.00435645; 0.00154562; 0.00102776; false;1.22; 0.0643; 0.0000; 0.0033; 0.0001; 0.0000; False;1.32; 0.0352; 0.0078; 0.0444; 0.0453; 0.0020; False;1.06; 0.0338; 0.0096; 0.0139; 0.0158; 0.0001; False;1.43; 0.219468245; 0.067005283; 0.002113049; false;1.33; 0.06161026; 0.018143166; 2.8668E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;ERR;4.43; 2.65174; 1.84394; 0.011434; 0.00429374; false;13.87; 3.99612; 3.11849; 6.57231; 0.203203; 0.197672; false;ERR;ERR;ERR;ERR;ERR;ERR;ERR;8.4; 5.0623; 0.0000; 3.5396; 0.0138; 0.0000; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;25.23; 18.011058497; 0.173890497; 0.002558381; false;8.37; 1.967755534; 0.811794767; 3.6471E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;ERR;0.42; 0.33699; 0.0705911; 0.00174856; 0.000473473; false;0.67; 0.344554; 0.135473; 0.166065; 0.021139; 0.0192988; false;0.51; 0.345587; 0.0580433; 0.0754912; 0.0208998; 0.0200439; false;1.17; 0.2512; 0.0000; 0.0419; 0.0016; 0.0000; False;5.0; 0.4733; 0.1871; 3.2255; 3.2368; 0.1094; False;2.81; 0.4799; 0.1385; 1.0771; 1.1146; 0.0001; False;3.91; 1.004044511; 0.111561172; 0.002191176; false;3.26; 0.363933265; 0.122998118; 3.2168E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;ERR;0.07; 0.0916265; 0.0152689; 0.000384449; 0.000155926; false;0.17; 0.107558; 0.0316131; 0.0851733; 0.0101955; 0.0106623; false;0.08; 0.103181; 0.00519265; 0.0142645; 0.00427541; 0.00382188; false;1.22; 0.0928; 0.0000; 0.0216; 0.0009; 0.0000; False;2.08; 0.0906; 0.0279; 0.8683; 0.8714; 0.0239; False;0.99; 0.0551; 0.0127; 0.1166; 0.1210; 0.0001; False;2.75; 0.564083913; 0.063193198; 0.003570031; false;1.9; 0.140616631; 0.059766374; 2.5742E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;ERR;0.17; 0.360987; 0.0205485; 0.00110012; 0.000293726; false;0.46; 0.152415; 0.0962797; 0.154841; 0.0257657; 0.0272141; false;0.24; 0.164063; 0.0184549; 0.0370189; 0.0109594; 0.0105586; false;1.4; 0.2398; 0.0000; 0.0443; 0.0018; 0.0000; False;3.54; 0.2218; 0.0730; 2.1610; 2.1674; 0.0493; False;2.12; 0.2285; 0.0637; 0.6316; 0.6523; 0.0001; False;3.69; 0.843881724; 0.068966142; 0.002094457; false;2.67; 0.321466907; 0.111950803; 3.0483E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;ERR;0.0; 0.00394788; 0.000728005; 5.0492e-05; 2.0736e-05; false;0.0; 0.00395081; 0.00120577; 0.00149347; 0.000390246; 0.000639938; false;0.01; 0.00468636; 0.000351265; 0.00200669; 0.000904817; 0.000485238; false;1.18; 0.0129; 0.0000; 0.0013; 0.0001; 0.0000; False;1.11; 0.0128; 0.0019; 0.0140; 0.0145; 0.0006; False;1.17; 0.0128; 0.0027; 0.0067; 0.0076; 0.0001; False;1.32; 0.203467152; 0.047328349; 0.002191996; false;1.06; 0.050805724; 0.037895261; 2.8228E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;ERR;0.07; 0.0843707; 0.0141787; 0.000410616; 0.000150888; false;0.13; 0.0524088; 0.0205063; 0.045404; 0.00882478; 0.00835981; false;0.09; 0.0613892; 0.00531364; 0.0143871; 0.0044433; 0.00406459; false;1.31; 0.0921; 0.0000; 0.0220; 0.0008; 0.0000; False;1.58; 0.0532; 0.0149; 0.5392; 0.5424; 0.0249; False;1.56; 0.0923; 0.0261; 0.2708; 0.2799; 0.0001; False;2.9; 0.464077614; 0.034433109; 0.010656371; false;2.15; 0.181409838; 0.088325619; 3.4075E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;ERR;0.15; 0.138868; 0.0184467; 0.000580828; 0.000131444; false;0.47; 0.170739; 0.106103; 0.149299; 0.0253773; 0.0230892; false;0.18; 0.102102; 0.0202098; 0.0355269; 0.00986265; 0.00552118; false;1.2; 0.1592; 0.0000; 0.0458; 0.0014; 0.0000; False;3.13; 0.2547; 0.0856; 1.6727; 1.6762; 0.0300; False;1.93; 0.1317; 0.0396; 0.5526; 0.5724; 0.0001; False;3.62; 1.078028444; 0.046543044; 0.001543614; false;2.58; 0.323150661; 0.105381044; 3.1966E-5; false
