name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-concat;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-concat;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-concat;pyfado-emptiness;pyfado-result;java-brics-runtime;java-brics-construction;java-brics-concat;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.0; 5.9565e-05;0.0012220059999999999;0.00031754499999999997; 3.4095e-05; false;0.01; 8.7772e-05; 8.55e-06;0.005687943000000001;0.00401573; 0.00182055; false;1.2; 0.0065; 0.0000;0.0063;0.0012000000000000001; 0.0005; False;2.13; 0.0063; 0.0001;1.0193; 0.0550; False;0.77; 0.006452512;0.020266534000000003; 2.942E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.0; 7.5017e-05;0.0005518330000000001;0.00031761399999999997; 4.8567e-05; false;0.0; 5.8992e-05; 6.168e-06;0.0035277700000000004;0.002610264; 0.00112422; false;0.96; 0.0061; 0.0000;0.0049;0.0011; 0.0004; False;1.7; 0.0067; 0.0001;0.7215; 0.0404; False;0.95; 0.01536011;0.013527446; 4.0599E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.0; 8.0928e-05;0.000657452;0.000332492; 6.1295e-05; false;0.01; 9.1132e-05; 8.774e-06;0.005811539;0.003750222; 0.00162484; false;1.14; 0.0061; 0.0000;0.0059;0.0011; 0.0004; False;1.96; 0.0044; 0.0001;1.0232999999999999; 0.0806; False;0.99; 0.013316954;0.016379370999999997; 3.2117E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.0; 9.6132e-05;0.00055411;0.00032945800000000003; 4.8379e-05; false;0.01; 9.0931e-05; 8.555e-06;0.005306454;0.003858771; 0.0017762; false;1.08; 0.0043; 0.0000;0.0029000000000000002;0.0008; 0.0004; False;1.9; 0.0067; 0.0001;0.8773; 0.0402; False;0.97; 0.005945301;0.018732242; 4.4962E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.0; 6.5686e-05;0.00028863900000000004;0.000199692; 3.1485e-05; false;0.0; 6.4434e-05; 7.047e-06;0.003180802;0.00238506; 0.00110953; false;0.95; 0.0043; 0.0000;0.004;0.0005; 0.0002; False;2.19; 0.0070; 0.0001;1.0593; 0.0798; False;0.87; 0.006024727;0.024904765; 3.5982E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.0; 7.8256e-05;0.000537479;0.000309952; 5.7886e-05; false;0.01; 8.606e-05; 8.858e-06;0.005618446;0.0040699; 0.00195872; false;0.93; 0.0043; 0.0000;0.0031000000000000003;0.0005; 0.0002; False;2.29; 0.0063; 0.0001;1.1108; 0.0779; False;0.99; 0.005530224;0.032297163000000004; 2.5577E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.0; 7.8342e-05;0.000546073;0.00029922499999999997; 4.8876e-05; false;0.01; 9.5498e-05; 8.363e-06;0.005232697;0.0037856719999999995; 0.00175357; false;1.16; 0.0061; 0.0000;0.0049;0.0011; 0.0004; False;1.85; 0.0057; 0.0001;0.8525; 0.0779; False;0.91; 0.004710923;0.019407988; 2.2355E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.0; 5.0173e-05;0.000289291;0.000182619; 3.1934e-05; false;0.0; 5.6722e-05; 5.822e-06;0.003005367;0.002304255; 0.00104845; false;0.99; 0.0061; 0.0000;0.0045;0.0007999999999999999; 0.0002; False;1.73; 0.0058; 0.0001;0.6826; 0.0816; False;0.95; 0.004652285;0.017347942; 2.8804E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.0; 7.2529e-05;0.000549707;0.000329566; 4.8021e-05; false;0.01; 5.714e-05; 5.616e-06;0.0029588640000000003;0.0022416479999999997; 0.00103833; false;1.07; 0.0066; 0.0000;0.0051;0.0012000000000000001; 0.0004; False;2.02; 0.0065; 0.0001;0.9830000000000001; 0.0404; False;0.98; 0.005680596;0.023934732; 1.5265E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.0; 5.4184e-05;0.00028906200000000003;0.000190022; 3.2145e-05; false;0.01; 6.4389e-05; 6.464e-06;0.004463829;0.0037946919999999997; 0.0020524; false;1.17; 0.0043; 0.0000;0.0029000000000000002;0.0005; 0.0003; False;2.02; 0.0043; 0.0001;0.8948; 0.0825; False;0.89; 0.005210499;0.018147906999999998; 1.8953E-5; false
