                                                     Average / Median / Average with Timeouts                                                     
--------------------------------------------------------------------------------------------------------------------------------------------------
op     mata           awali          vata           automata        brics           (j)alib         fado            (py)alib        (py)mata
-----  -------------  -------------  -------------  --------------  --------------  --------------  --------------  --------------  --------------
compl  0.0, 0.0, 0.0  0.0, 0.0, 0.7  0.1, 0.0, 0.1  -               0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.2, 0.0, 0.4   0.1, 0.0, 0.2   0.0, 0.0, 0.0
conca  0.1, 0.0, 0.1  0.3, 0.0, 0.3  -              -               0.1, 0.0, 0.1   -               5.3, 1.2, 29.3  -               0.4, 0.0, 0.4
deter  -              -              -              -               -               -               0.2, 0.0, 0.4   0.4, 0.0, 13.3  -
empti  0.0, 0.0, 5.9  0.1, 0.0, 6.3  0.1, 0.0, 9.2  0.0, 0.0, 17.6  0.0, 0.0, 6.0   0.0, 0.0, 17.8  1.2, 0.0, 22.1  0.3, 0.0, 20.7  0.0, 0.0, 6.0
inclu  0.1, 0.0, 0.1  0.6, 0.0, 1.2  0.2, 0.0, 0.2  0.3, 0.0, 1.2   0.3, 0.0, 0.8   0.1, 0.0, 4.8   9.5, 2.4, 30.2  0.3, 0.0, 1.6   0.0, 0.0, 0.1
inter  3.4, 0.0, 6.0  3.5, 0.0, 3.5  6.1, 0.0, 6.1  5.2, 0.0, 5.3   1.0, 0.0, 13.2  0.3, 0.1, 16.5  1.1, 0.1, 35.8  0.2, 0.0, 15.6  0.7, 0.0, 12.8
minte  0.2, 0.1, 2.1  0.3, 0.1, 0.3  0.2, 0.1, 0.3  -               -               -               -               -               -
parsi  0.2, 0.0, 1.2  0.1, 0.0, 0.3  0.2, 0.0, 0.2  0.2, 0.1, 0.2   0.2, 0.1, 0.2   3.3, 0.3, 8.6   0.1, 0.0, 22.3  0.2, 0.1, 13.1  0.2, 0.0, 4.5
runti  0.5, 0.0, 6.6  1.0, 0.1, 7.5  1.6, 0.1, 9.5  1.2, 0.2, 28.3  2.4, 1.2, 8.5   2.8, 1.7, 20.7  6.2, 1.6, 27.3  1.7, 1.2, 20.2  1.8, 1.2, 7.9
trans  -              -              -              -               -               -               0.1, 0.0, 22.3  0.0, 0.0, 13.0  0.0, 0.0, 4.3
trim   0.3, 0.0, 1.3  1.8, 0.0, 2.0  1.9, 0.0, 1.9  0.2, 0.0, 0.2   -               -               -               -               0.2, 0.0, 4.7
union  0.8, 0.0, 0.8  0.7, 0.0, 0.7  3.6, 0.1, 3.6  0.1, 0.0, 0.1   0.2, 0.0, 0.2   2.3, 0.1, 47.0  3.6, 0.6, 28.3  0.2, 0.0, 52.3  1.0, 0.0, 1.0
