                                             1st Quartile / Median / 3rd Quartile per operation                                             
--------------------------------------------------------------------------------------------------------------------------------------------
op     mata           awali          vata           automata       brics          (j)alib        fado           (py)alib       (py)mata
-----  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------
compl  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
conca  0.0, 0.0, 0.0  0.0, 0.0, 0.2  -              -              0.0, 0.0, 0.2  -              1.2, 9.3, 60   -              0.0, 0.0, 0.2
deter  -              -              -              -              -              -              0.0, 0.0, 0.0  0.0, 0.0, 1.3  -
empti  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 60   0.0, 0.0, 0.0  0.0, 0.0, 60   0.0, 0.1, 60   0.0, 0.0, 60   0.0, 0.0, 0.0
inclu  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.1  1.4, 26.7, 60  0.0, 0.0, 0.1  0.0, 0.0, 0.0
inter  0.0, 0.0, 0.8  0.0, 0.0, 2.0  0.0, 0.0, 2.9  0.0, 0.0, 4.8  0.0, 0.0, 7.5  0.1, 0.1, 60   0.3, 60, 60    0.0, 0.0, 60   0.0, 0.0, 4.3
minte  0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.1  -              -              -              -              -              -
parsi  0.0, 0.0, 0.2  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.1, 0.1, 0.2  0.0, 0.1, 0.1  0.1, 0.3, 0.9  0.0, 0.1, 60   0.0, 0.1, 0.7  0.0, 0.1, 0.3
runti  0.0, 0.1, 0.5  0.0, 0.1, 0.7  0.0, 0.1, 1.4  0.2, 2.9, 60   1.0, 1.3, 2.6  1.4, 2.7, 60   1.4, 8.5, 60   1.2, 1.3, 60   1.1, 1.2, 1.9
trans  -              -              -              -              -              -              0.0, 0.0, 60   0.0, 0.0, 0.1  0.0, 0.0, 0.0
trim   0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.0  -              -              -              -              0.0, 0.0, 0.0
union  0.0, 0.0, 0.5  0.0, 0.0, 0.5  0.0, 0.1, 2.8  0.0, 0.0, 0.2  0.0, 0.0, 0.4  60, 60, 60     0.5, 7.9, 60   60, 60, 60     0.0, 0.0, 0.7
