name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-construction;automata-inclusion_check;automata-inclusion_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-inclusion_check;awali-inclusion_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-inclusion;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-inclusion;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-inclusion;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-brics-runtime;java-brics-construction;java-brics-inclusion_check;java-brics-inclusion_result
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.91; 0.673804; 0.239936; 0.0500; 0.0015;0.61;0.4662326; 0.1046995000; False;0.59; 0.436626; 0.174963; 0.00105587; false;1.48; 0.450364; 0.166057;0.2184142; 0.669955; false;1.1; 0.708529; 0.304024;0.01144217; 0.159904; false;1.89; 0.8372; 0.0000; 0.0028; False;TO;MISSING;MISSING;MISSING;MISSING;2.5; 1.2612; 0.3048;0.29500000000000004; 0.3207; False;4.98;1.308843967; 0.096743664; false;3.89;0.591083652; 0.314626372; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;0.94; 0.666287; 0.223932; 0.1234; 0.0104;0.54;0.6179167; 0.1004705000; False;0.85; 0.802041; 0.182439; 0.00163116; false;1.6; 0.710531; 0.289672;0.1626788; 0.644768; false;1.17; 0.795579; 0.254351;0.0213274; 0.215568; false;1.64; 0.7647; 0.0000; 0.0031; False;TO;MISSING;MISSING;MISSING;MISSING;2.38; 0.8270; 0.2681;0.2867; 0.3096; False;4.72;1.042895297; 0.092115668; false;3.59;0.704046321; 0.230500004; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.92; 0.641889; 0.298955; 0.0643; 0.0021;0.58;0.6487898; 0.0946252000; False;0.87; 0.859064; 0.240014; 0.00195853; false;1.1; 0.42135; 0.189285;0.09822159999999999; 0.381224; false;0.69; 0.434235; 0.169485;0.01110466; 0.12397; false;2.16; 1.0700; 0.0000; 0.0027; False;TO;MISSING;MISSING;MISSING;MISSING;2.24; 0.9121; 0.3096;0.24359999999999998; 0.2657; False;4.84;1.075531064; 0.135748608; false;3.66;0.410409827; 0.168970816; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;0.83; 0.734303; 0.290478; 0.0730; 0.0021;0.6;0.43989880000000003; 0.1176701000; False;0.89; 0.762826; 0.253539; 0.00154327; false;1.69; 0.694799; 0.260053;0.1622958; 0.5957; false;0.95; 0.660611; 0.204046;0.0113433; 0.127746; false;2.14; 1.0796; 0.0000; 0.0029; False;TO;MISSING;MISSING;MISSING;MISSING;2.69; 0.9954; 0.2749;0.2596; 0.2816; False;5.0;1.080272724; 0.096404491; false;3.76;0.522392729; 0.209555786; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-rhs.mata;0.81; 0.460079; 0.238087; 0.1070; 0.0026;0.52;0.3731003; 0.1089938000; False;0.92; 0.687688; 0.258985; 0.0017934; false;1.37; 0.683257; 0.216544;0.1042842; 0.369627; false;1.17; 0.688901; 0.258689;0.0220945; 0.235332; false;2.01; 1.1158; 0.0000; 0.0031; False;TO;MISSING;MISSING;MISSING;MISSING;2.82; 1.1331; 0.2811;0.2662; 0.2887; False;5.2;1.009824947; 0.078055376; false;3.69;0.44010878; 0.215211231; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.63; 0.258999; 0.108523; 0.2858; 0.0006;0.23;0.1721885; 0.0308410000; False;0.62; 0.466898; 0.180134; 0.000494206; false;0.82; 0.4606; 0.175866;0.07389155; 0.130726; false;1.99; 0.474238; 0.182309;0.010766429999999999; 1.39617; false;1.99; 0.7774; 0.0000; 0.0015; False;TO;MISSING;MISSING;MISSING;MISSING;7.01; 0.5018; 0.0705;5.5127999999999995; 5.5259; False;9.05;4.446217571; 0.059404019; false;4.02;0.397156559; 0.657050151; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-rhs.mata;1.61; 0.10904; 0.0383245; 1.6045; 0.0022;TO;0.1141505;MISSING;MISSING;0.09; 0.0721288; 0.0231719; 0.00197443; false;0.15; 0.0920065; 0.0358321;0.01613738; 0.0134648; false;17.7; 0.099997; 0.0330508;0.00241419; 18.1559; false;1.41; 0.1718; 0.0000; 0.0026; False;TO;MISSING;MISSING;MISSING;MISSING;5.78; 0.1362; 0.0111;4.5982; 4.6277; False;7.87;3.721538963; 0.200255815; false;8.4;0.09016716699999999; 4.622936279; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-rhs.mata;1.1; 0.0577989; 0.0204894; 1.1164; 0.0014;8.79;0.0702277; 8.6774352000; False;0.13; 0.0987535; 0.0422434; 0.00241396; false;0.16; 0.0991134; 0.0433412;0.01602946; 0.0123069; false;30.05; 0.0961676; 0.0383136;0.00232481; 31.006; false;1.27; 0.1690; 0.0000; 0.0033; False;TO;MISSING;MISSING;MISSING;MISSING;8.96; 0.1793; 0.0227;7.724399999999999; 7.7419; False;9.51;4.453066617999999; 0.166207327; false;9.92;0.13685757599999998; 6.027787142; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-rhs.mata;1.92; 0.102313; 0.0381773; 1.9578; 0.0027;10.61;0.1142238; 10.4889016000; False;0.14; 0.108445; 0.0416086; 0.00240345; false;0.17; 0.109363; 0.0408018;0.01680178; 0.0160052; false;28.26; 0.107875; 0.0428151;0.00256937; 28.973; false;1.33; 0.1814; 0.0000; 0.0033; False;TO;MISSING;MISSING;MISSING;MISSING;7.95; 0.1708; 0.0219;6.7097999999999995; 6.7274; False;7.71;3.992936718; 0.19472848; false;8.0;0.097871979; 3.759142231; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-rhs.mata;2.19; 0.106809; 0.0330525; 2.2641; 0.0025;10.4;0.1139972; 10.4067696000; False;0.13; 0.101328; 0.0366952; 0.00139812; false;0.17; 0.10209; 0.045123;0.0169017; 0.015412; false;39.35; 0.101142; 0.042319;0.0023649300000000003; 40.4852; false;1.34; 0.1753; 0.0000; 0.0032; False;TO;MISSING;MISSING;MISSING;MISSING;10.29; 0.1735; 0.0219;9.0326; 9.1077; False;8.42;4.271512585; 0.161912812; false;9.92;0.09148362900000001; 5.862371694; false
