name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;automata-runtime;automata-construction;mata-runtime;mata-mataparsing;mata-mataminterm;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;pymata-runtime;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;TO; 0.0231195; 0.00707632;TO;0.0710249;ERR;ERR;ERR;TO; 0.0322667; 0.0137248;0.0015044070000000001;TO; 0.0348867; 0.0130759;0.00027978;TO;TO;TO;TO;TO;0.055345884
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;ERR;ERR;ERR;TO;0.0873433;TO; 0.0308225; 0.0153845;TO; 0.0749788; 0.0249908;0.00323646;TO; 0.0554214; 0.0177985;0.000538734;TO;TO;TO;TO;TO;0.041731962
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;TO; 0.668147; 0.17156;TO;0.3034878;TO; 0.577072; 0.149594;TO; 0.638088; 0.153846;0.0397099;TO; 0.79665; 0.140022;0.006430480000000001;TO;TO;TO;TO;TO;0.1585626
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;ERR;ERR;ERR;TO;0.1692328;TO; 0.152304; 0.0513588;TO; 0.159572; 0.0586744;0.00456898;TO; 0.167651; 0.0361363;0.000822418;TO;TO;TO;TO;TO;0.052686376
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;ERR;ERR;ERR;TO;0.0916387;TO; 0.170712; 0.0448117;TO; 0.105578; 0.0301311;0.00508224;TO; 0.213734; 0.034796;0.0010617970000000002;TO;TO;TO;TO;TO;0.04607192
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;TO; 0.111587; 0.0369155;TO;0.1548785;TO; 0.160142; 0.0517532;TO; 0.134588; 0.0403837;0.00802228;TO; 0.208207; 0.0429447;0.001352289;TO;TO;TO;TO;TO;0.072089766
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;TO; 0.145028; 0.0389282;TO;0.1142922;TO; 0.292641; 0.105131;TO; 0.105285; 0.0332127;0.00544576;TO; 0.169986; 0.050535;0.0016778259999999999;TO;TO;TO;TO;TO;0.082802567
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;ERR;ERR;ERR;TO;0.1458364;TO; 0.254063; 0.0588229;TO; 0.41948; 0.0940368;0.01156849;TO; 0.303209; 0.0891969;0.0017881910000000002;TO;TO;TO;TO;TO;0.065688126
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;TO; 0.326226; 0.0665513;TO;0.218463;ERR;ERR;ERR;TO; 0.198257; 0.0637478;0.01387953;TO; 0.230633; 0.120704;0.00210396;TO;TO;TO;TO;TO;0.163811811
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;TO; 0.432597; 0.0669305;TO;0.1912163;TO; 0.237996; 0.119862;TO; 0.470251; 0.142559;0.024701429999999996;TO; 0.370005; 0.0640061;0.0023003;TO;TO;TO;TO;TO;0.099757838
