name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-intersection;mata-bin-emptiness_check;automata-runtime;automata-construction;automata-intersection;automata-trim;automata-emptiness_check;automata-emptiness_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.03; 0.0254148; 0.00487488; 0.0033; 0.0007;0.14;0.1037638; 0.1195180000; 0.0001401000; 0.0001851000; False;0.03; 0.027695; 0.0107707; 0.00278842; 0.00102436; 8.95e-06; false;0.07; 0.0284727; 0.0117187;0.001696096; 0.0132424; 0.0165466; 0.00379919; false;0.05; 0.0273151; 0.0108593;0.00026258; 0.00745621; 0.00812438; 0.000354207; false;1.04; 0.0343; 0.0000; 0.0102; 0.0023; 0.0001; False;4.96; 0.0441; 0.0027; 2.7946; 1.1237; False;TO;TO;1.25;0.055870507; 0.089142247; 3.6528E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.06; 0.0773435; 0.0112321; 0.0120; 0.0027;0.27;0.0850784; 0.1405478000; 0.0002115000; 0.0002160000; False;0.09; 0.0578863; 0.0195819; 0.013767; 0.00642736; 2.3584e-05; false;0.21; 0.0564342; 0.0189441;0.00282463; 0.0591888; 0.0872456; 0.000587455; false;0.14; 0.0768109; 0.0214779;0.006226593; 0.0958375; 0.064183; 0.000548144; false;1.39; 0.0872; 0.0000; 0.0616; 0.0154; 0.0003; False;47.59; 0.0459; 0.0040; 33.6432; 15.2313; False;TO;TO;1.53;0.026968419; 0.136400005; 3.7922E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;1.5; 0.27146; 0.0779363; 1.0356; 0.1791;27.83;0.2833354; 29.3750803000; 0.0011306000; 0.0002127000; False;3.44; 0.592758; 0.175497; 2.29995; 0.854262; 0.000243422; false;20.19; 0.577724; 0.158046;0.037956199999999995; 11.3187; 8.34784; 1.86779; false;18.43; 0.359668; 0.214406;0.00538556; 6.63984; 11.8351; 0.225116; false;18.39; 0.7726; 0.0000; 15.0978; 3.9007; 0.0040; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;40.46;0.154438632; 17.880349642; 4.1129E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.11; 0.0670833; 0.0169487; 0.0251; 0.0051;0.48;0.10307000000000001; 0.3591699000; 0.0002040000; 0.0001650000; False;0.14; 0.0817544; 0.0335856; 0.0328801; 0.0124579; 4.5799e-05; false;0.43; 0.248783; 0.0402051;0.0046486800000000005; 0.155153; 0.204771; 0.000667602; false;0.34; 0.0801917; 0.0227334;0.000775072; 0.0815685; 0.153599; 0.00302806; false;1.51; 0.1236; 0.0000; 0.1793; 0.0453; 0.0007; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;2.32;0.051675584999999996; 0.464812568; 2.8068E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.14; 0.0861765; 0.0163382; 0.0292; 0.0072;0.55;0.067971; 0.4989639000; 0.0003436000; 0.0002193000; False;0.22; 0.118012; 0.0355654; 0.0627774; 0.0232405; 6.0024e-05; false;0.74; 0.111989; 0.039017;0.00316391; 0.391612; 0.306597; 0.00133889; false;0.5; 0.0720582; 0.0232798;0.000584623; 0.117057; 0.274327; 0.00599454; false;1.69; 0.1637; 0.0000; 0.3460; 0.0809; 0.0008; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;2.79;0.073579159; 0.861648667; 4.4444E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;0.17; 0.10343; 0.0187854; 0.0481; 0.0025;1.03;0.1111096; 0.9067560000; 0.0003465000; 0.0001898000; False;0.29; 0.194928; 0.039112; 0.0975092; 0.0341303; 6.5741e-05; false;1.16; 0.142601; 0.0407785;0.00777828; 0.553502; 0.602581; 0.00156922; false;0.95; 0.140941; 0.0372485;0.001384822; 0.286443; 0.484706; 0.00838016; false;2.04; 0.2142; 0.0000; 0.5416; 0.1206; 0.0012; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;3.59;0.074465562; 1.065003313; 3.6061E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;0.26; 0.135345; 0.0340195; 0.0794; 0.0177;1.55;0.1239594; 1.5109786000; 0.0004282000; 0.0001992000; False;0.38; 0.175023; 0.0500424; 0.151707; 0.0506148; 7.6077e-05; false;1.83; 0.130662; 0.0338583;0.0050544000000000006; 0.926384; 0.984154; 0.0021821; false;1.36; 0.147513; 0.0953514;0.0009768350000000001; 0.348423; 0.777756; 0.0146851; false;2.52; 0.2342; 0.0000; 0.8713; 0.2409; 0.0010; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;4.76;0.06977689200000001; 1.657854324; 6.0851E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;0.48; 0.189279; 0.049912; 0.1898; 0.0392;2.2;0.198924; 2.1168846000; 0.0004508000; 0.0001770000; False;0.43; 0.200379; 0.0578938; 0.187074; 0.0429967; 7.0965e-05; false;2.51; 0.20271; 0.0553405;0.01172168; 1.24522; 1.23652; 0.00257057; false;1.51; 0.1115; 0.0361288;0.0012643350000000001; 0.506361; 0.846732; 0.0173392; false;2.74; 0.2801; 0.0000; 1.1322; 0.3197; 0.0012; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;5.76;0.067459669; 2.024562101; 3.0959E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;0.54; 0.209159; 0.054034; 0.2844; 0.0122;2.91;0.2563153; 3.0712705000; 0.0005373000; 0.0001689000; False;0.59; 0.233191; 0.0625939; 0.284656; 0.0872742; 0.000151659; false;2.68; 0.232266; 0.0644461;0.01392423; 1.32404; 1.20007; 0.00393722; false;2.8; 0.228772; 0.068924;0.00235509; 1.08078; 1.46447; 0.0278195; false;3.11; 0.3223; 0.0000; 1.5083; 0.4951; 0.0015; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;7.36;0.075641374; 2.865415948; 3.7518E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;0.65; 0.223022; 0.0626192; 0.3000; 0.0700;3.74;0.1664957; 3.8223022000; 0.0006379000; 0.0002807000; False;0.46; 0.163482; 0.0452676; 0.245192; 0.103697; 8.3781e-05; false;3.58; 0.139034; 0.0739584;0.01452842; 1.66228; 1.9485; 0.00209635; false;2.96; 0.236987; 0.0675748;0.00213175; 1.11904; 1.54022; 0.0259371; false;3.85; 0.3156; 0.0000; 2.0425; 0.6221; 0.0019; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;9.5;0.128105206; 3.837893375; 4.751E-5; false
