name;automata-runtime;automata-construction;automata-uni;automata-trim;automata-emptiness_check;automata-emptiness_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-uni;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-uni;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-union;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-uni;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.13;0.1334984; 0.0158159000; 0.0002360000; 0.0001635000; False;0.03; 0.0268827; 0.0108304; 0.000122754; 4.3918e-05; 1.1902e-05; false;0.02; 0.0155688; 0.00922323;0.00109228; 0.000182051; 0.000204063; 0.000158185; false;0.03; 0.0279926; 0.011145;0.000271847; 0.00155871; 0.00130591; 0.00047411; false;1.27; 0.0467; 0.0000; 0.0019; 0.0001; 0.0002; False;1.19; 0.0344; 0.0030; 0.0070; 0.0018; False;TO;TO;1.2;0.07455294600000001; 0.002080294; 2.352E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.09;0.0511736; 0.0045528000; 0.0001231000; 0.0001002000; False;0.03; 0.0296945; 0.00971281; 0.000118198; 4.4186e-05; 1.4038e-05; false;0.07; 0.0533437; 0.0176694;0.00264496; 0.000666171; 0.00060162; 0.000588286; false;0.07; 0.0565499; 0.0182215;0.000512923; 0.00091702; 0.00134792; 0.000891618; false;1.19; 0.0492; 0.0000; 0.0004; 0.0001; 0.0001; False;1.31; 0.0886; 0.0084; 0.0267; 0.0064; False;TO;TO;0.98;0.038058132; 0.002983053; 3.095E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;0.32;0.26541709999999996; 0.0137690000; 0.0023750000; 0.0003123000; False;0.64; 0.621957; 0.138787; 0.002283; 0.000956003; 0.000135024; false;0.6; 0.515515; 0.0879434;0.021490799999999997; 0.00576211; 0.00969833; 0.00970106; false;0.67; 0.63451; 0.138588;0.00601783; 0.00487508; 0.0107165; 0.0106514; false;1.91; 0.7755; 0.0000; 0.0049; 0.0038; 0.0031; False;5.31; 0.7850; 0.5571; 2.3640; 0.5510; False;TO;TO;1.76;0.189821104; 0.016715955; 5.1884E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.16;0.1063798; 0.0080751000; 0.0003098000; 0.0001629000; False;0.1; 0.0823484; 0.0247735; 0.000363927; 0.000115986; 3.3216e-05; false;0.11; 0.0882764; 0.0234824;0.0042803500000000005; 0.00106774; 0.000915345; 0.000931932; false;0.09; 0.0779867; 0.0249657;0.0007607250000000001; 0.00110665; 0.00166818; 0.00134267; false;1.46; 0.1092; 0.0000; 0.0012; 0.0003; 0.0004; False;1.09; 0.0823; 0.0087; 0.0300; 0.0070; False;TO;TO;1.38;0.059835576; 0.003676055; 2.8494E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.18;0.12495819999999999; 0.0276385000; 0.0003794000; 0.0001791000; False;0.14; 0.139942; 0.0393353; 0.000508973; 0.000196635; 4.426e-05; false;0.15; 0.118199; 0.0412867;0.0069656200000000005; 0.00188035; 0.00870374; 0.00202382; false;0.14; 0.121704; 0.0361501;0.001562416; 0.00142875; 0.00217467; 0.00176047; false;1.41; 0.1662; 0.0000; 0.0012; 0.0005; 0.0005; False;1.47; 0.1637; 0.0263; 0.0986; 0.0230; False;TO;TO;1.38;0.07386420699999999; 0.004157852; 2.8169E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;0.14;0.091973; 0.0053577000; 0.0002645000; 0.0001200000; False;0.17; 0.173918; 0.0553797; 0.000637849; 0.000198043; 5.7011e-05; false;0.18; 0.148623; 0.0529929;0.00750581; 0.00187242; 0.00175347; 0.00172921; false;0.18; 0.143177; 0.0433231;0.001368439; 0.00165932; 0.00271917; 0.00217905; false;1.38; 0.1991; 0.0000; 0.0015; 0.0005; 0.0006; False;1.32; 0.1091; 0.0204; 0.0793; 0.0182; False;TO;TO;1.32;0.048684899000000004; 0.004973616; 5.0573E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;0.19;0.1286132; 0.0110076000; 0.0005554000; 0.0001802000; False;0.21; 0.178643; 0.0469869; 0.000679001; 0.000237263; 6.6622e-05; false;0.22; 0.285795; 0.0482512;0.00942662; 0.00258401; 0.00261958; 0.00251089; false;0.22; 0.181119; 0.0477344;0.0016863619999999998; 0.00183621; 0.00314141; 0.00286457; false;1.41; 0.2569; 0.0000; 0.0018; 0.0006; 0.0009; False;1.82; 0.2565; 0.0575; 0.2637; 0.0521; False;TO;TO;1.32;0.108971183; 0.004551328; 2.5342E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;0.12;0.07909; 0.0057038000; 0.0003414000; 0.0001148000; False;0.19; 0.152108; 0.050298; 0.000722974; 0.000336984; 8.1639e-05; false;0.2; 0.176727; 0.0419576;0.00635748; 0.0021143; 0.00290138; 0.00411358; false;0.17; 0.132375; 0.0453202;0.001900704; 0.00196553; 0.00349161; 0.00312685; false;1.14; 0.1576; 0.0000; 0.0027; 0.0007; 0.0008; False;1.4; 0.1609; 0.0382; 0.1606; 0.0729; False;TO;TO;1.4;0.050535033; 0.004369512; 2.4611E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;0.21;0.1685395; 0.0093179000; 0.0029021000; 0.0003143000; False;0.28; 0.25478; 0.0743648; 0.000978472; 0.000432244; 0.000104667; false;0.17; 0.128537; 0.042009;0.007242500000000001; 0.00221403; 0.0025166; 0.00206917; false;0.18; 0.162211; 0.0414853;0.001257991; 0.00134541; 0.00463153; 0.00433477; false;1.54; 0.3331; 0.0000; 0.0028; 0.0012; 0.0013; False;1.5; 0.1785; 0.0514; 0.2076; 0.0714; False;TO;TO;1.42;0.119214107; 0.00617068; 3.9682E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;0.22;0.1640516; 0.0101650000; 0.0008201000; 0.0001923000; False;0.32; 0.270587; 0.0732451; 0.00107345; 0.000417302; 0.00010972; false;0.36; 0.297866; 0.0725552;0.01511605; 0.00398551; 0.00518219; 0.00613423; false;0.3; 0.212074; 0.0761576;0.00297006; 0.00307283; 0.0058434; 0.00528912; false;1.5; 0.3689; 0.0000; 0.0025; 0.0011; 0.0012; False;1.86; 0.3521; 0.0652; 0.3118; 0.0994; False;TO;TO;1.4;0.103858808; 0.018442829; 2.9226E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;0.24;0.1753092; 0.0150059000; 0.0013104000; 0.0002546000; False;0.32; 0.278817; 0.0690153; 0.000552803; 0.000403071; 0.000119187; false;0.39; 0.286958; 0.0871559;0.0213829; 0.00578799; 0.00910045; 0.00964121; false;0.35; 0.297613; 0.078083;0.00276077; 0.00259856; 0.00527259; 0.00483938; false;1.21; 0.2100; 0.0000; 0.0016; 0.0007; 0.0007; False;2.46; 0.4055; 0.1458; 0.5919; 0.1410; False;TO;TO;1.66;0.15376533; 0.017596694; 4.4026E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;0.16;0.1365853; 0.0067346000; 0.0009522000; 0.0001866000; False;0.22; 0.194886; 0.0590762; 0.000740023; 0.000423158; 4.4001e-05; false;0.3; 0.23412; 0.0835754;0.01978737; 0.00457154; 0.00645401; 0.00685364; false;0.38; 0.359221; 0.0930406;0.0031091; 0.0029531; 0.00605179; 0.00577392; false;1.6; 0.4326; 0.0000; 0.0026; 0.0014; 0.0014; False;2.82; 0.4426; 0.1795; 0.7554; 0.1705; False;TO;TO;1.61;0.128125042; 0.00739357; 2.8502E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-rhs.mata;0.26;0.2124449; 0.0163304000; 0.0021293000; 0.0004055000; False;0.44; 0.356466; 0.109613; 0.001588; 0.000653112; 6.9748e-05; false;0.43; 0.338892; 0.121113;0.01752026; 0.00549149; 0.0084676; 0.008503; false;0.45; 0.355929; 0.118705;0.00363715; 0.0031594; 0.00652882; 0.00633658; false;1.54; 0.3424; 0.0000; 0.0021; 0.0141; 0.0014; False;2.95; 0.5508; 0.2116; 0.8491; 0.2376; False;TO;TO;1.65;0.175617299; 0.008309569; 4.0627E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;0.27;0.2213082; 0.0135656000; 0.0020357000; 0.0003279000; False;0.45; 0.416152; 0.101063; 0.00158835; 0.00083942; 5.699e-05; false;0.28; 0.220302; 0.0668773;0.01214343; 0.00351315; 0.00531013; 0.00518021; false;0.47; 0.410504; 0.102486;0.0041024; 0.00385966; 0.00792481; 0.00755026; false;1.63; 0.5425; 0.0000; 0.0032; 0.0019; 0.0021; False;3.3; 0.5510; 0.2573; 1.1152; 0.3060; False;TO;TO;1.63;0.162022687; 0.01005995; 5.6242E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;0.29;0.2556847; 0.0131550000; 0.0074679000; 0.0003795000; False;0.51; 0.458109; 0.114174; 0.00191887; 0.000930239; 7.9734e-05; false;0.49; 0.380203; 0.106171;0.0251084; 0.00732799; 0.0124569; 0.0104488; false;0.49; 0.403387; 0.0966094;0.00395885; 0.00359864; 0.00747754; 0.00671746; false;1.52; 0.3065; 0.0000; 0.0021; 0.0014; 0.0017; False;3.19; 0.5627; 0.3001; 1.2180; 0.1556; False;TO;TO;1.75;0.102723395; 0.012536205; 5.2362E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;0.32;0.2798413; 0.0132402000; 0.0022029000; 0.0003748000; False;0.54; 0.437598; 0.127109; 0.00205192; 0.00103749; 0.000132057; false;0.65; 0.522362; 0.149012;0.0298321; 0.00830216; 0.0134101; 0.0149522; false;0.63; 0.479312; 0.147215;0.00469564; 0.0046553; 0.0115669; 0.0125058; false;1.93; 0.6280; 0.0000; 0.0039; 0.0024; 0.0025; False;2.81; 0.3552; 0.1692; 0.9907; 0.3274; False;TO;TO;1.8;0.182062697; 0.028976669; 1.8883E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;0.28;0.2352229; 0.0116744000; 0.0015262000; 0.0002829000; False;0.58; 0.542528; 0.136296; 0.00220843; 0.00125084; 0.000124085; false;0.39; 0.261064; 0.0978392;0.01696224; 0.0065383; 0.00929498; 0.0100743; false;0.58; 0.511468; 0.150112;0.005081550000000001; 0.00419008; 0.00957995; 0.00968097; false;1.44; 0.3821; 0.0000; 0.0060; 0.0034; 0.0036; False;4.21; 0.6236; 0.3709; 1.5747; 0.3924; False;TO;TO;1.65;0.11233592099999999; 0.014347241; 4.2298E-5; false
