                                                            Average / Median / Average with Timeouts                                                           
---------------------------------------------------------------------------------------------------------------------------------------------------------------
op     mata            mata-old        awali          vata            automata       brics          (j)alib        fado            (py)alib       (py)mata
-----  --------------  --------------  -------------  --------------  -------------  -------------  -------------  --------------  -------------  -------------
compl  0.0, 0.0, 0.5   0.0, 0.0, 0.5   0.1, 0.0, 1.0  0.1, 0.0, 0.6   0.1, 0.0, 0.6  0.0, 0.0, 0.6  0.1, 0.0, 0.6  0.5, 0.0, 1.1   0.3, 0.0, 0.8  0.0, 0.0, 0.0
conca  0.1, 0.0, 0.1   0.1, 0.0, 0.1   0.3, 0.0, 0.3  -               -              0.1, 0.0, 0.1  -              5.6, 1.2, 29.1  -              0.4, 0.0, 0.4
deter  -               -               -              -               -              -              -              0.5, 0.0, 1.1   0.3, 0.0, 0.8  -
empti  0.0, 0.0, 0.4   0.0, 0.0, 0.4   0.0, 0.0, 0.7  0.0, 0.0, 0.5   0.0, 0.0, 0.5  0.0, 0.0, 0.4  0.0, 0.0, 0.5  1.0, 0.0, 9.6   0.0, 0.0, 0.5  0.0, 0.0, 0.0
fair-  0.0, 0.0, 18.4  0.0, 0.0, 15.6  0.1, 0.0, 6.0  0.2, 0.0, 32.4  0.1, 0.1, 0.1  0.9, 0.9, 0.9  1.6, 1.2, 1.6  1.1, 1.0, 1.7   1.3, 1.2, 1.5  0.6, 0.9, 1.1
parsi  0.1, 0.0, 0.5   0.1, 0.0, 0.4   0.1, 0.0, 0.8  0.2, 0.0, 0.7   0.1, 0.0, 0.6  0.1, 0.0, 0.5  0.5, 0.2, 1.0  0.1, 0.0, 8.8   0.2, 0.0, 0.7  0.2, 0.0, 0.2
runti  0.2, 0.0, 0.5   0.2, 0.0, 0.5   0.4, 0.0, 1.1  0.4, 0.0, 0.9   0.2, 0.2, 0.8  1.4, 1.0, 1.8  2.0, 1.4, 2.5  3.7, 1.3, 11.9  1.6, 1.2, 2.1  1.5, 1.2, 1.5
trans  -               -               0.1, 0.0, 0.8  0.2, 0.0, 0.7   -              -              -              0.1, 0.0, 8.8   0.1, 0.0, 0.6  0.0, 0.0, 0.0
trim   0.0, 0.0, 0.4   0.0, 0.0, 0.4   0.1, 0.0, 0.7  0.0, 0.0, 0.5   0.0, 0.0, 0.5  -              -              -               -              0.1, 0.0, 0.1
