                                                       1st Quartile / Median / 3rd Quartile per op/bench                                                       
---------------------------------------------------------------------------------------------------------------------------------------------------------------
benchop    mata           mata-old       awali          vata           automata       brics          (j)alib        fado           (py)alib       (py)mata
---------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------
compl/p    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.1, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.0, 0.1  0.1, 0.3, 0.6  0.0, 0.1, 0.1  0.0, 0.0, 0.0
compl/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
conca/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.2  -              -              0.0, 0.0, 0.2  -              1.2, 9.3, 60   -              0.0, 0.0, 0.2
deter/p    -              -              -              -              -              -              -              0.1, 0.3, 0.6  0.0, 0.1, 0.1  -
deter/zn   -              -              -              -              -              -              -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  -
empti/p    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 2.6  0.0, 0.0, 0.0  0.0, 0.0, 0.0
fair-/p    0.0, 60, 60    0.0, 0.0, 60   0.0, 0.0, 0.1  0.0, 0.1, 0.3  0.1, 0.2, 0.2  1.3, 1.8, 2.0  1.6, 2.1, 2.3  1.3, 1.4, 1.7  1.1, 1.2, 1.3  1.1, 1.2, 1.2
fair-/zn   0.0, 0.0, 60   0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 60, 60    0.1, 0.1, 0.1  0.0, 0.0, 1.3  1.0, 1.1, 1.6  0.0, 0.0, 1.2  1.1, 1.2, 1.2  0.0, 0.0, 1.1
parsi/p    0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.1, 0.2, 0.2  0.3, 0.4, 0.5  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1
parsi/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.1, 0.1, 0.3  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
resul/p    60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
resul/zn   60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
runti/p    0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.1, 0.1, 0.2  0.2, 0.2, 0.3  1.4, 1.9, 2.2  1.9, 2.6, 2.9  1.3, 1.6, 1.9  1.2, 1.3, 1.4  1.1, 1.2, 1.3
runti/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.1, 0.1, 0.2  0.9, 1.0, 1.4  1.0, 1.2, 1.9  1.2, 1.3, 8.0  1.1, 1.2, 1.2  1.1, 1.1, 1.2
trans/p    -              -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              -              -              0.0, 0.1, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
trans/zn   -              -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              -              -              0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim/p     0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              -              -              -              0.0, 0.0, 0.0
trim/zn    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              -              -              -              0.0, 0.0, 0.0
