                                                     1st Quartile / Median / 3rd Quartile per operation                                                    
-----------------------------------------------------------------------------------------------------------------------------------------------------------
op     mata           mata-old       awali          vata           automata       brics          (j)alib        fado           (py)alib       (py)mata
-----  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------
compl  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
conca  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.2  -              -              0.0, 0.0, 0.2  -              1.2, 9.3, 60   -              0.0, 0.0, 0.2
deter  -              -              -              -              -              -              -              0.0, 0.0, 0.1  0.0, 0.0, 0.0  -
empti  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
fair-  0.0, 0.0, 60   0.0, 0.0, 60   0.0, 0.0, 0.0  0.0, 60, 60    0.1, 0.1, 0.1  0.0, 0.9, 1.5  1.0, 1.2, 1.9  0.0, 1.0, 1.3  1.1, 1.2, 1.2  0.0, 0.9, 1.2
parsi  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.1, 0.2, 0.4  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.0
runti  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.1, 0.1, 0.2  0.9, 1.0, 1.5  1.1, 1.4, 2.3  1.2, 1.4, 4.2  1.1, 1.2, 1.3  1.1, 1.2, 1.3
trans  -              -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              -              -              0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              -              -              -              0.0, 0.0, 0.0
