name;automata-runtime;automata-construction;automata-compl;automata-trim;automata-emptiness_check;automata-emptiness_result;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.23; 0.1429012000; 0.1667650000; 0.0017696000; 0.0001420000; False;0.06; 0.0537234; 0.00324821; 0.000224147; 0.000126365; false;0.03; 0.0310143; 0.00156079; 0.000174677; 9.0041e-05; false;0.08; 0.0336303; 0.0343279; 0.0153317; 0.00343787; 0.00361579; false;0.07; 0.0607038; 0.00222536; 0.00598203; 0.0014197; 0.00108978; false;1.2; 0.1184; 0.0000; 0.0059; 0.0002; 0.0000; False;1.1; 0.0514; 0.0335; 0.0850; 0.0865; 0.0080; False;1.1; 0.0563; 0.0231; 0.0203; 0.0247; 0.0001; False;2.73; 0.587036439; 0.039410124; 0.003448141; false;2.15; 0.273984017; 0.069314481; 5.7235E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.21; 0.0627079000; 0.0778375000; 0.0026361000; 0.0002083000; False;0.04; 0.0447839; 0.00235627; 0.000149361; 8.1676e-05; false;0.04; 0.0427719; 0.00261918; 0.000147449; 9.6099e-05; false;0.09; 0.0452086; 0.024354; 0.012936; 0.00354205; 0.00281746; false;0.06; 0.0449011; 0.00323309; 0.00611956; 0.00213703; 0.00161279; false;1.28; 0.0692; 0.0000; 0.0053; 0.0003; 0.0000; False;1.35; 0.0676; 0.0568; 0.0850; 0.0863; 0.0052; False;1.08; 0.0582; 0.0283; 0.0214; 0.0230; 0.0001; False;2.26; 0.25318513; 0.102879489; 0.003431313; false;1.76; 0.157727274; 0.073932062; 4.157E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.18; 0.0660803000; 0.0565106000; 0.0023744000; 0.0001998000; False;0.01; 0.0191083; 0.00164085; 9.7789e-05; 4.5039e-05; false;0.02; 0.0188705; 0.00192222; 0.000101696; 3.3724e-05; false;0.03; 0.0178114; 0.00807668; 0.00688351; 0.0016194; 0.00159176; false;0.03; 0.0190556; 0.00148851; 0.00499403; 0.00194258; 0.00128558; false;1.21; 0.0320; 0.0000; 0.0032; 0.0001; 0.0000; False;1.37; 0.0364; 0.0071; 0.0436; 0.0444; 0.0017; False;1.16; 0.0631; 0.0099; 0.0177; 0.0203; 0.0001; False;1.49; 0.157579903; 0.066656746; 0.007540049; false;1.48; 0.048894249; 0.014047283; 3.2346E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;2.65; 1.6781111000; 0.4188224000; 0.0033300000; 0.0001981000; False;4.38; 2.65787; 1.81987; 0.00982897; 0.00438323; false;5.71; 2.59554; 3.19327; 0.0123836; 0.00764403; false;14.33; 3.12999; 2.193; 8.83484; 0.339035; 0.317153; false;ERR;ERR;ERR;ERR;ERR;ERR;ERR;8.31; 5.1280; 0.0000; 2.9274; 0.0126; 0.0000; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;56.28; 4.6086; 1.5330; 51.8289; 52.0021; 0.0001; False;24.31; 18.089270588; 0.105382262; 0.002350308; false;9.6; 2.183546747; 0.656919399; 3.4929E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.4; 0.2213271000; 0.1003445000; 0.0027517000; 0.0002464000; False;0.4; 0.332591; 0.0659558; 0.00170864; 0.000781401; false;0.35; 0.522278; 0.0364249; 0.00141227; 0.000315089; false;0.75; 0.189391; 0.226672; 0.277362; 0.0353263; 0.0323019; false;0.27; 0.191992; 0.030637; 0.0437784; 0.0125107; 0.0117131; false;1.1; 0.2590; 0.0000; 0.0405; 0.0014; 0.0000; False;5.17; 0.4790; 0.1701; 3.5193; 3.5258; 0.0763; False;1.88; 0.2531; 0.0661; 0.5086; 0.5269; 0.0001; False;3.97; 1.152494058; 0.045737673; 0.002009325; false;2.85; 0.503040916; 0.062837698; 2.9556E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.23; 0.0713272000; 0.0953902000; 0.0026230000; 0.0001950000; False;0.07; 0.077494; 0.0160326; 0.000406623; 0.000191985; false;0.04; 0.033563; 0.00904943; 0.000370061; 9.8207e-05; false;0.18; 0.0629187; 0.0320744; 0.061463; 0.00953804; 0.00977756; false;0.05; 0.0353292; 0.00282912; 0.00883027; 0.00281533; 0.00239522; false;0.89; 0.0549; 0.0000; 0.0122; 0.0005; 0.0000; False;2.08; 0.0962; 0.0285; 0.8355; 0.8387; 0.0254; False;1.45; 0.0908; 0.0247; 0.2427; 0.2515; 0.0001; False;2.73; 0.53831492; 0.035161432; 0.002010399; false;1.93; 0.119104479; 0.109754206; 3.2602E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.28; 0.1165342000; 0.0837526000; 0.0020598000; 0.0001471000; False;0.19; 0.157226; 0.0380864; 0.000987173; 0.000392395; false;0.19; 0.142106; 0.041296; 0.00114463; 0.000424849; false;0.44; 0.156474; 0.0887713; 0.157559; 0.02463; 0.0175746; false;0.22; 0.160666; 0.0178295; 0.0371783; 0.00733391; 0.00631943; false;1.39; 0.2510; 0.0000; 0.0488; 0.0014; 0.0000; False;3.43; 0.2191; 0.0774; 1.9994; 2.0061; 0.0765; False;1.25; 0.1226; 0.0318; 0.2821; 0.2920; 0.0001; False;3.76; 1.092560501; 0.055431357; 0.00255378; false;2.45; 0.343380293; 0.094221761; 2.9613E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.16; 0.0498612000; 0.0581602000; 0.0025908000; 0.0002325000; False;0.0; 0.0132117; 0.000784794; 5.3155e-05; 1.7894e-05; false;0.0; 0.00501744; 0.000697575; 5.042e-05; 2.0807e-05; false;0.0; 0.00437325; 0.00187553; 0.00244139; 0.000590528; 0.000581563; false;0.01; 0.00483165; 0.000355526; 0.00201982; 0.000940895; 0.000447829; false;0.98; 0.0092; 0.0000; 0.0010; 0.0000; 0.0000; False;1.21; 0.0141; 0.0020; 0.0137; 0.0141; 0.0006; False;1.18; 0.0147; 0.0030; 0.0067; 0.0079; 0.0001; False;1.37; 0.148417517; 0.022077034; 0.00197731; false;1.12; 0.045762566; 0.010561332; 3.3934E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.2; 0.0673401000; 0.0741964000; 0.0021314000; 0.0001385000; False;0.08; 0.0976369; 0.0159182; 0.000400003; 0.000139019; false;0.07; 0.0641229; 0.0142869; 0.000315275; 0.000111378; false;0.18; 0.0681442; 0.0626405; 0.0633319; 0.00954764; 0.00991182; false;0.09; 0.0648348; 0.00619503; 0.0137899; 0.00386193; 0.00390925; false;1.17; 0.0960; 0.0000; 0.0213; 0.0006; 0.0000; False;2.13; 0.0985; 0.0294; 0.8444; 0.8476; 0.0256; False;1.54; 0.1001; 0.0432; 0.2761; 0.2864; 0.0001; False;2.73; 0.438416401; 0.048251271; 0.001949398; false;1.96; 0.125609558; 0.053243894; 3.1075E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.31; 0.1206728000; 0.1028776000; 0.0025278000; 0.0002072000; False;0.18; 0.167071; 0.0354241; 0.00096383; 0.000398774; false;0.21; 0.172503; 0.0354702; 0.00117864; 0.000226977; false;0.42; 0.169303; 0.0945503; 0.167999; 0.0127044; 0.0140762; false;0.24; 0.258116; 0.0192326; 0.033048; 0.00936954; 0.00892186; false;1.41; 0.2361; 0.0000; 0.0441; 0.0015; 0.0000; False;3.27; 0.2405; 0.0871; 1.8004; 1.8065; 0.0548; False;1.74; 0.2510; 0.0440; 0.3465; 0.3595; 0.0001; False;2.94; 0.683389273; 0.038700353; 0.002058273; false;2.79; 0.398581604; 0.068766668; 3.4028E-5; false
