name;automata-runtime;automata-construction;automata-compl;automata-trim;automata-emptiness_check;automata-emptiness_result;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.11; 0.0917475000; 0.0123312000; 0.0027216000; 0.0001666000; False;0.0; 5.2173e-05; 2.419e-05; 4.278e-06; 8.74e-07; false;0.0; 8.6845e-05; 2.0119e-05; 3.758e-06; 7.92e-07; false;0.0; 5.3187e-05; 3.8451e-05; 2.4329e-05; 2.444e-06; 1.804e-06; false;0.0; 7.9465e-05; 6.368e-06; 0.000397792; 0.000273486; 2.2052e-05; false;1.05; 0.0052; 0.0000; 0.0001; 0.0000; 0.0000; False;1.12; 0.0063; 0.0001; 0.0001; 0.0001; 0.0000; False;0.91; 0.0057; 0.0001; 0.0002; 0.0002; 0.0000; False;0.99; 0.073403819; 0.017899048; 0.001927198; false;0.89; 0.009618586; 0.002023781; 2.826E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.07; 0.0211605000; 0.0078727000; 0.0014737000; 0.0001286000; False;0.0; 5.7111e-05; 1.5526e-05; 2.657e-06; 5.39e-07; false;0.0; 8.3628e-05; 1.9468e-05; 3.224e-06; 8.2e-07; false;0.0; 5.7786e-05; 3.8613e-05; 2.4839e-05; 2.601e-06; 1.825e-06; false;0.0; 8.928e-05; 6.116e-06; 0.000384733; 0.000327055; 2.3878e-05; false;0.93; 0.0060; 0.0000; 0.0001; 0.0000; 0.0000; False;1.02; 0.0058; 0.0001; 0.0001; 0.0001; 0.0000; False;1.02; 0.0053; 0.0001; 0.0002; 0.0002; 0.0000; False;0.97; 0.074167787; 0.018777085; 0.004254858; false;0.91; 0.007815188; 0.001915581; 2.2839E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.12; 0.0351156000; 0.0122775000; 0.0025446000; 0.0001797000; False;0.0; 8.3528e-05; 2.3762e-05; 4.319e-06; 9.72e-07; false;0.0; 7.6758e-05; 2.0124e-05; 3.915e-06; 9.02e-07; false;0.0; 8.7168e-05; 5.8605e-05; 3.9825e-05; 6.26e-06; 4.722e-06; false;0.0; 0.000147062; 8.795e-06; 0.000608335; 0.000497984; 3.8774e-05; false;1.14; 0.0061; 0.0000; 0.0001; 0.0000; 0.0000; False;1.14; 0.0061; 0.0001; 0.0001; 0.0002; 0.0000; False;1.02; 0.0065; 0.0002; 0.0003; 0.0004; 0.0001; False;0.96; 0.04178275; 0.010751605; 0.002050391; false;0.76; 0.006069932; 0.002327402; 3.0135E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.12; 0.0346089000; 0.0128123000; 0.0026079000; 0.0001916000; False;0.0; 8.221e-05; 2.3048e-05; 3.715e-06; 7.12e-07; false;0.0; 7.4024e-05; 2.0145e-05; 4.428e-06; 6.8e-07; false;0.0; 8.4851e-05; 0.000149255; 3.6391e-05; 4.208e-06; 3.086e-06; false;0.0; 8.5983e-05; 7.95e-06; 0.000602674; 0.000401702; 2.9773e-05; false;1.18; 0.0060; 0.0000; 0.0001; 0.0000; 0.0000; False;1.18; 0.0062; 0.0001; 0.0001; 0.0001; 0.0000; False;1.01; 0.0041; 0.0001; 0.0002; 0.0002; 0.0000; False;0.93; 0.055351644; 0.015713845; 0.002225234; false;0.94; 0.006130705; 0.002401928; 3.057E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.12; 0.0751464000; 0.0127190000; 0.0024443000; 0.0001946000; False;0.0; 8.5122e-05; 2.3686e-05; 4.682e-06; 9.94e-07; false;0.0; 8.3282e-05; 1.9334e-05; 3.907e-06; 8.8e-07; false;0.0; 8.5204e-05; 5.5954e-05; 3.7819e-05; 5.489e-06; 4.283e-06; false;0.0; 8.7727e-05; 8.809e-06; 0.000593849; 0.000433718; 3.709e-05; false;1.14; 0.0044; 0.0000; 0.0000; 0.0000; 0.0000; False;1.22; 0.0060; 0.0001; 0.0001; 0.0001; 0.0000; False;1.19; 0.0061; 0.0001; 0.0002; 0.0003; 0.0001; False;1.01; 0.075101292; 0.039043227; 0.005642688; false;0.83; 0.006317672; 0.002382643; 3.2791E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.12; 0.0380857000; 0.0143458000; 0.0024343000; 0.0001862000; False;0.0; 7.8796e-05; 2.4842e-05; 4.122e-06; 6.71e-07; false;0.0; 8.5926e-05; 2.1699e-05; 4.183e-06; 8.08e-07; false;0.0; 8.9961e-05; 5.7523e-05; 3.6344e-05; 3.779e-06; 3.013e-06; false;0.0; 8.6197e-05; 9.206e-06; 0.000647796; 0.000478383; 3.379e-05; false;1.05; 0.0043; 0.0000; 0.0000; 0.0000; 0.0000; False;1.19; 0.0057; 0.0001; 0.0001; 0.0001; 0.0000; False;1.09; 0.0061; 0.0002; 0.0003; 0.0004; 0.0001; False;1.07; 0.062156927; 0.015920545; 0.001403298; false;0.93; 0.006041892; 0.002097652; 2.3595E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.08; 0.0218550000; 0.0076431000; 0.0014348000; 0.0001245000; False;0.0; 7.2189e-05; 2.1869e-05; 3.585e-06; 8.46e-07; false;0.0; 7.597e-05; 2.0538e-05; 3.572e-06; 8.72e-07; false;0.0; 6.2498e-05; 4.0743e-05; 2.6432e-05; 2.837e-06; 1.78e-06; false;0.0; 7.7456e-05; 7.478e-06; 0.000527682; 0.000368581; 3.1478e-05; false;0.97; 0.0046; 0.0000; 0.0000; 0.0000; 0.0000; False;1.12; 0.0060; 0.0001; 0.0001; 0.0001; 0.0000; False;1.01; 0.0054; 0.0001; 0.0002; 0.0003; 0.0000; False;1.01; 0.052641827; 0.029060733; 0.001302515; false;0.89; 0.005925469; 0.00247164; 3.8381E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.12; 0.0361944000; 0.0123125000; 0.0023815000; 0.0001786000; False;0.0; 8.5172e-05; 2.5518e-05; 4.201e-06; 9.26e-07; false;0.0; 8.8528e-05; 3.4868e-05; 4.691e-06; 9.87e-07; false;0.0; 8.2785e-05; 5.821e-05; 3.8043e-05; 5.531e-06; 3.671e-06; false;0.0; 9.9369e-05; 8.497e-06; 0.000688912; 0.000486193; 4.3926e-05; false;1.2; 0.0061; 0.0000; 0.0001; 0.0000; 0.0000; False;1.16; 0.0059; 0.0001; 0.0001; 0.0001; 0.0000; False;1.05; 0.0049; 0.0001; 0.0002; 0.0002; 0.0000; False;0.92; 0.072595057; 0.019885621; 0.001891585; false;0.92; 0.006175678; 0.003217203; 3.0351E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.1; 0.0361931000; 0.0122704000; 0.0014325000; 0.0001214000; False;0.0; 8.8551e-05; 2.2783e-05; 3.68e-06; 7.4e-07; false;0.0; 0.000104378; 1.9737e-05; 3.739e-06; 7.51e-07; false;0.0; 8.0935e-05; 5.5392e-05; 3.4713e-05; 3.867e-06; 3.224e-06; false;0.0; 8.8206e-05; 1.1432e-05; 0.000651466; 0.000476046; 3.4108e-05; false;1.14; 0.0044; 0.0000; 0.0001; 0.0000; 0.0000; False;1.17; 0.0099; 0.0001; 0.0001; 0.0002; 0.0000; False;1.12; 0.0063; 0.0002; 0.0003; 0.0004; 0.0001; False;0.99; 0.061392474; 0.015079496; 0.001874349; false;0.77; 0.006363591; 0.002021228; 3.1954E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.13; 0.0373848000; 0.0134457000; 0.0025100000; 0.0001878000; False;0.0; 9.033e-05; 4.438e-05; 4.511e-06; 1.078e-06; false;0.0; 8.8954e-05; 2.0418e-05; 3.957e-06; 8.92e-07; false;0.0; 8.7184e-05; 9.2374e-05; 4.0823e-05; 6.422e-06; 4.729e-06; false;0.0; 9.1293e-05; 8.922e-06; 0.000635134; 0.000514778; 3.9748e-05; false;1.17; 0.0059; 0.0000; 0.0001; 0.0000; 0.0000; False;1.21; 0.0068; 0.0001; 0.0001; 0.0002; 0.0000; False;1.03; 0.0045; 0.0001; 0.0002; 0.0003; 0.0000; False;1.05; 0.050266261; 0.014022932; 0.001575185; false;0.92; 0.006065843; 0.002294647; 3.2293E-5; false
