name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.03; 0.0288885; 0.0125719; 4.8462e-05; 2.7393e-05; 7.956e-06; false;0.03; 0.0303009; 0.0110804; 3.8762e-05; 4.0278e-05; 7.752e-06; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.04; 0.0339671; 0.0147931; 0.00013522; 8.1645e-05; 2.1551e-05; false;0.03; 0.0338402; 0.00971903; 5.8973e-05; 4.4558e-05; 1.6271e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;0.44; 0.350253; 0.118032; 0.00102127; 0.000655367; 7.6522e-05; false;0.39; 0.346988; 0.0708163; 0.000600154; 0.000778469; 7.4875e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.05; 0.0450507; 0.013495; 9.4042e-05; 6.0526e-05; 2.0908e-05; false;0.08; 0.0757702; 0.0141871; 8.6983e-05; 5.4723e-05; 2.1368e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.09; 0.087473; 0.0235276; 0.000121372; 0.000101968; 3.0523e-05; false;0.08; 0.0819351; 0.0136831; 0.000110187; 6.4581e-05; 2.7714e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;0.11; 0.0976374; 0.0276676; 0.000177844; 9.182e-05; 3.6814e-05; false;0.08; 0.076917; 0.0202594; 0.0001404; 8.7692e-05; 3.6204e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;0.11; 0.0967628; 0.0348833; 0.000163312; 0.000128375; 5.4648e-05; false;0.12; 0.111388; 0.0243814; 0.00016655; 0.000228211; 4.4369e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;0.16; 0.134923; 0.0388511; 0.000203957; 0.00015437; 5.4263e-05; false;0.13; 0.114452; 0.0252769; 0.000252007; 0.000257235; 9.2176e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;0.21; 0.17623; 0.0466201; 0.000270299; 0.000379226; 7.0683e-05; false;0.18; 0.175757; 0.0284126; 0.000230734; 0.000142556; 2.4436e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;0.18; 0.149367; 0.0528169; 0.000275307; 0.000375199; 7.394e-05; false;0.17; 0.156246; 0.0317145; 0.000309485; 0.000345639; 3.246e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;0.21; 0.163616; 0.0627203; 0.000612684; 0.000374651; 0.000103587; false;0.19; 0.167602; 0.0384755; 0.000278133; 0.000216202; 7.8227e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;0.22; 0.181518; 0.0655221; 0.0003275; 0.000425292; 5.9863e-05; false;0.23; 0.206966; 0.042994; 0.000709519; 0.000329213; 3.8303e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-rhs.mata;0.24; 0.195386; 0.0702897; 0.000329687; 0.000229212; 3.9296e-05; false;0.24; 0.219477; 0.042638; 0.000332874; 0.000250504; 3.7825e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;0.25; 0.212304; 0.0732708; 0.000404348; 0.000296572; 4.2443e-05; false;0.25; 0.221181; 0.0487872; 0.000401927; 0.000258334; 4.2388e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;0.29; 0.233483; 0.0832805; 0.000387077; 0.000428065; 5.6545e-05; false;0.26; 0.233885; 0.0532283; 0.000409179; 0.000286809; 4.2876e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;0.31; 0.242563; 0.0855612; 0.000844793; 0.000479072; 5.3001e-05; false;0.29; 0.250661; 0.0544293; 0.000447206; 0.000412779; 4.7275e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;0.35; 0.285381; 0.0955091; 0.000481769; 0.000644702; 5.9552e-05; false;0.34; 0.311644; 0.0547918; 0.000462389; 0.000346286; 4.964e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;0.37; 0.285817; 0.104798; 0.000489307; 0.000654463; 6.3318e-05; false;0.35; 0.318031; 0.0637126; 0.000473538; 0.000591645; 5.5301e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;0.39; 0.306716; 0.0977123; 0.000546871; 0.000421528; 8.2757e-05; false;0.37; 0.334511; 0.061263; 0.000560447; 0.00101679; 7.0801e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;0.41; 0.32801; 0.108735; 0.000516918; 0.000423269; 5.884e-05; false;0.35; 0.326581; 0.0613523; 0.000562929; 0.000564392; 7.5054e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;0.04; 0.0414553; 0.0104686; 6.2283e-05; 3.5515e-05; 1.4807e-05; false;0.03; 0.031676; 0.00924888; 6.2678e-05; 3.5212e-05; 1.4687e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;0.42; 0.329828; 0.119437; 0.000610049; 0.000475424; 6.0842e-05; false;0.39; 0.349582; 0.0699789; 0.000654314; 0.00107998; 0.000100479; false
