name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-inclusion_check;mata-old-inclusion_check_result
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata;0.09; 0.0794704; 0.0270121;0.000774121;0.000246325; 6.84e-06; true;0.13; 0.119868; 0.0265528;0.0007509309999999999;0.000281892; 9.191e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata;0.05; 0.0492164; 0.019591;0.00010681300000000001;2.8774999999999998e-05; 5.891e-06; true;0.04; 0.0362122; 0.0135256;0.000114824;2.8109e-05; 5.311e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut10.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata;0.08; 0.062209; 0.0273223;0.002533858;0.0009643229999999999; 0.000125942; true;0.1; 0.0878284; 0.0222301;0.002441134;0.0007317550000000001; 0.000115516; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.09; 0.0799038; 0.0295734;0.000257999;7.4994e-05; 4.993e-06; true;0.1; 0.0884771; 0.0219982;0.000237282;8.535099999999999e-05; 6.683e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata;0.01; 0.0100506; 0.00649625;5.087000000000001e-06;3.0760000000000003e-06; 5.218e-06; true;0.01; 0.0137582; 0.00660405;4.336e-06;2.493e-06; 4.445e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata;0.01; 0.00905911; 0.00602013;0.000134036;4.1788e-05; 4.538e-06; true;0.01; 0.0126209; 0.00650538;0.000157189;4.0973e-05; 5.114e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata;0.05; 0.0447765; 0.0153698;0.001100231;0.000244367; 7.859e-06; true;0.06; 0.055888; 0.0138976;0.000540457;0.00013254; 5.479e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.01; 0.0101942; 0.0081084;7.46e-06;3.4489999999999995e-06; 6.097e-06; true;0.01; 0.0126432; 0.00851003;7.425e-06;1.3083e-05; 4.801e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.08; 0.0613969; 0.0312903;1.1907e-05;3.959e-06; 6.458e-06; true;0.07; 0.060183; 0.0285852;1.2044e-05;5.884e-06; 1.0297e-05; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.09; 0.0760618; 0.0307749;6.1249e-05;1.3530000000000001e-05; 5.324e-06; true;0.1; 0.0840735; 0.0264669;8.3351e-05;2.3602999999999997e-05; 4.994e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut29.mata;0.04; 0.0338124; 0.015256;3.2993e-05;1.9494e-05; 4.731e-06; true;0.06; 0.0551419; 0.0167018;3.2477e-05;9.145e-06; 5.946e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.08; 0.0698126; 0.0216033;5.2658e-05;1.3868e-05; 6.162e-06; true;0.09; 0.0706594; 0.0225441;5.3592e-05;1.3325999999999999e-05; 4.796e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.02; 0.0173966; 0.00957221;2.3625e-05;7.78e-06; 5.7e-06; true;0.03; 0.0250465; 0.0091825;2.2312999999999998e-05;7.197e-06; 5.216e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut70.mata;0.07; 0.0606232; 0.0186164;0.0007479219999999999;0.0002582; 4.706e-06; true;0.06; 0.0573365; 0.0165528;0.000734397;0.000281769; 6.172e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut51.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.08; 0.0660197; 0.0311628;0.0005802240000000001;0.00020507799999999998; 6.857e-06; true;0.11; 0.0919792; 0.0288723;0.0011739189999999998;0.000396009; 5.765e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata;0.05; 0.042079; 0.0175403;0.001524836;0.000511112; 0.000883867; true;0.06; 0.055708; 0.0170226;0.0016159920000000001;0.000529325; 0.000775024; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata;0.01; 0.00872722; 0.00692854;9.807e-05;2.2941e-05; 5.432e-06; true;0.01; 0.0129803; 0.00701518;0.00012384899999999999;2.1156e-05; 6.009e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;0.03; 0.0340872; 0.00866376;0.000401069;9.446e-05; 7.78e-06; true;0.04; 0.0433958; 0.0135159;0.0014516429999999999;0.000323982; 5.109e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.05; 0.0473419; 0.01043;6.7729e-05;2.2368e-05; 5.88e-06; true;0.03; 0.0340829; 0.00909475;6.2573e-05;2.9377e-05; 4.66e-06; true
