name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.97; 0.705097; 0.258865; 0.001718; false; 1.02851;1.64; 0.776173; 0.260837; 0.641608; 0.000668; false; 1.73405
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;0.98; 0.711603; 0.268674; 0.001768; false; 1.04903;1.34; 0.40632; 0.164426; 0.774958; 0.001285; false; 1.38745
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.99; 0.749764; 0.252563; 0.001436; false; 1.06269;1.19; 0.37612; 0.160722; 0.656657; 0.00056; false; 1.23192
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;0.96; 0.697545; 0.259879; 0.001923; false; 1.02197;1.9; 0.656727; 0.276066; 0.960242; 0.000859; false; 1.96413
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-rhs.mata;0.98; 0.723478; 0.258378; 0.001727; false; 1.04529;1.3; 0.383408; 0.174487; 0.743; 0.001228; false; 1.34464
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.63; 0.461652; 0.177436; 0.000407; false; 0.672077;0.69; 0.26271; 0.130564; 0.302974; 0.000168; false; 0.728619
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-rhs.mata;0.12; 0.089911; 0.037152; 0.001816; false; 0.134862;0.11; 0.072882; 0.022891; 0.022455; 0.000949; false; 0.122806
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-rhs.mata;0.14; 0.10795; 0.045261; 0.002769; false; 0.163569;0.1; 0.061617; 0.024429; 0.025588; 0.001336; false; 0.116978
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-rhs.mata;0.14; 0.104937; 0.040559; 0.00242; false; 0.154109;0.2; 0.113135; 0.049493; 0.046308; 0.002581; false; 0.218016
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-rhs.mata;0.07; 0.056219; 0.022248; 0.001105; false; 0.083154;0.18; 0.103549; 0.040324; 0.045728; 0.002431; false; 0.198591
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-rhs.mata;0.08; 0.059035; 0.026596; 0.001408; false; 0.091454;0.11; 0.058632; 0.026179; 0.028584; 0.001439; false; 0.119504
