name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.03; 0.022832; 0.009521; 0.002781; 0.001225; 1.8e-05; false; 0.038265;0.03; 0.024237; 0.009719; 0.001875; 0.001403; 0.000451; 9e-06; false; 0.039747
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.06; 0.04538; 0.011246; 0.006006; 0.005212; 2.3e-05; false; 0.069574;0.05; 0.04784; 0.011109; 0.003745; 0.002696; 0.001572; 1.1e-05; false; 0.068852
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;3.26; 0.485441; 0.141023; 2.26657; 0.685348; 0.000325; false; 3.61274;2.24; 0.488196; 0.141157; 1.00344; 0.457042; 0.277909; 0.000219; false; 2.3942
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.13; 0.076929; 0.024075; 0.027581; 0.018812; 4.1e-05; false; 0.150973;0.13; 0.07715; 0.024693; 0.016527; 0.012081; 0.009692; 2.3e-05; false; 0.143668
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.13; 0.05835; 0.020914; 0.028336; 0.025142; 5.4e-05; false; 0.135843;0.11; 0.056974; 0.020547; 0.018358; 0.012356; 0.011835; 2.1e-05; false; 0.122566
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;0.27; 0.128028; 0.035767; 0.090607; 0.046045; 5.2e-05; false; 0.305937;0.25; 0.1279; 0.034672; 0.042218; 0.036794; 0.021706; 3.7e-05; false; 0.268367
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;0.21; 0.08785; 0.028481; 0.077094; 0.050125; 7.2e-05; false; 0.248124;0.2; 0.085655; 0.029738; 0.048168; 0.028615; 0.02198; 2.9e-05; false; 0.217962
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;0.28; 0.116685; 0.03893; 0.100742; 0.06016; 6.2e-05; false; 0.321373;0.26; 0.107178; 0.036066; 0.062991; 0.04024; 0.032785; 3.4e-05; false; 0.283409
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;0.53; 0.192035; 0.053229; 0.235013; 0.097232; 9.7e-05; false; 0.587284;0.56; 0.194927; 0.072851; 0.155915; 0.103735; 0.065633; 6.7e-05; false; 0.601075
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;0.44; 0.127195; 0.038461; 0.197399; 0.13172; 0.000125; false; 0.501949;0.36; 0.127159; 0.038578; 0.107527; 0.070298; 0.044806; 4.4e-05; false; 0.393487
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;0.54; 0.225594; 0.041948; 0.22635; 0.111487; 0.000146; false; 0.613935;0.66; 0.191711; 0.063483; 0.203039; 0.158204; 0.085534; 7.3e-05; false; 0.710409
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;0.85; 0.253134; 0.064716; 0.44613; 0.186371; 0.000179; false; 0.962764;0.9; 0.274473; 0.069369; 0.279835; 0.21615; 0.107613; 0.000162; false; 0.961434
