name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.01; 0.013159; 0.00637; 3.6e-05; 2.4e-05; 1.1e-05; false; 0.020911;0.03; 0.024915; 0.009857; 0.000955; 8.3e-05; 3.4e-05; 1.4e-05; false; 0.037884
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.06; 0.054222; 0.016746; 0.000133; 7.4e-05; 2.9e-05; false; 0.073534;0.06; 0.053287; 0.015657; 0.003013; 0.000134; 6.1e-05; 2.4e-05; false; 0.07441
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;0.48; 0.412342; 0.093847; 0.000618; 0.000912; 0.000151; false; 0.524054;1.16; 0.512229; 0.134114; 0.535254; 0.001469; 0.001075; 0.000241; false; 1.20691
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.05; 0.043439; 0.014928; 0.000103; 6.5e-05; 2.9e-05; false; 0.060472;0.1; 0.076293; 0.022796; 0.007901; 0.000243; 9.1e-05; 3.9e-05; false; 0.110525
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.12; 0.10243; 0.027732; 0.000246; 0.000274; 6.4e-05; false; 0.136008;0.07; 0.056825; 0.018759; 0.008784; 0.000163; 6.9e-05; 3.1e-05; false; 0.087031
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;0.09; 0.072897; 0.025078; 0.000147; 0.000117; 4.7e-05; false; 0.101128;0.16; 0.126863; 0.033989; 0.020917; 0.00037; 0.000186; 7.1e-05; false; 0.187784
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;0.1; 0.088363; 0.027144; 0.000175; 0.000139; 5.8e-05; false; 0.119399;0.15; 0.089269; 0.037674; 0.033385; 0.000437; 0.000263; 9e-05; false; 0.16722
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;0.17; 0.154864; 0.029219; 0.000216; 0.000221; 6.9e-05; false; 0.188624;0.26; 0.179299; 0.047923; 0.050506; 0.000493; 0.000246; 8.9e-05; false; 0.284881
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;0.23; 0.202539; 0.06058; 0.00037; 0.000288; 9.9e-05; false; 0.270343;0.29; 0.205522; 0.057957; 0.040565; 0.000293; 0.000143; 6.4e-05; false; 0.311038
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;0.17; 0.133432; 0.044939; 0.000294; 0.000458; 9.9e-05; false; 0.189336;0.31; 0.187402; 0.056469; 0.080416; 0.000646; 0.000313; 0.00011; false; 0.333299
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;0.19; 0.169086; 0.04091; 0.000284; 0.000259; 9.5e-05; false; 0.216209;0.4; 0.247148; 0.063521; 0.107131; 0.000708; 0.000333; 0.000128; false; 0.428328
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;0.37; 0.295863; 0.095245; 0.000693; 0.000493; 0.0001; false; 0.405528;0.28; 0.158893; 0.048024; 0.087384; 0.000425; 0.000255; 0.000102; false; 0.301804
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-rhs.mata;0.21; 0.173094; 0.049518; 0.000345; 0.000367; 6.8e-05; false; 0.230101;0.38; 0.244906; 0.047522; 0.108617; 0.00045; 0.000236; 0.00012; false; 0.409132
