name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata;0.12; 0.0943; 0.031724;0.0007559999999999999;0.000325; 7e-06; true; 0.131442;0.17; 0.112882; 0.047992;0.013618;0.000476;9.900000000000001e-05; 6e-06; true; 0.181914
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata;0.04; 0.035795; 0.016059;0.000145;5.6999999999999996e-05; 1e-05; true; 0.054698;0.03; 0.018663; 0.009686;0.001699;6.8e-05;2.5e-05; 6e-06; true; 0.031768
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut10.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata;0.14; 0.100575; 0.041026;0.004788;0.001796; 0.000206; true; 0.158955;0.11; 0.066481; 0.039876;0.011906000000000002;0.000534;0.000104; 5.3e-05; true; 0.125707
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.1; 0.085582; 0.026975;0.000239;9.999999999999999e-05; 6e-06; true; 0.117316;0.1; 0.055811; 0.025557;0.02676;0.00039400000000000004;0.00012; 8e-06; true; 0.116572
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata;0.01; 0.009087; 0.006587;7e-06;4.9999999999999996e-06; 8e-06; true; 0.016977;0.02; 0.016263; 0.009758;0.0008610000000000001;8e-06;4.9999999999999996e-06; 7e-06; true; 0.028532
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata;0.02; 0.012365; 0.00912;0.000259;8.599999999999999e-05; 8e-06; true; 0.02317;0.02; 0.014918; 0.008512;0.0007430000000000001;5.9999999999999995e-05;2.4e-05; 6e-06; true; 0.025424
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata;0.07; 0.070687; 0.018653;0.000503;0.00017600000000000002; 9e-06; true; 0.092262;0.08; 0.065151; 0.022995;0.007275;0.000234;8.300000000000001e-05; 2.4e-05; true; 0.099142
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.01; 0.00965; 0.008366;1.1000000000000001e-05;7e-06; 8e-06; true; 0.019415;0.02; 0.016789; 0.012294;0.001205;1.4000000000000001e-05;5.999999999999999e-06; 8e-06; true; 0.032473
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.13; 0.077287; 0.053787;2e-05;1e-05; 1e-05; true; 0.141349;0.15; 0.077005; 0.049575;0.032096;2e-05;1.9e-05; 1e-05; true; 0.168955
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.15; 0.11667; 0.046732;6.099999999999999e-05;1.7e-05; 6e-06; true; 0.168476;0.12; 0.089743; 0.032047;0.01434;2.9e-05;9.999999999999999e-06; 6e-06; true; 0.141156
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut29.mata;0.06; 0.050369; 0.020044;7.7e-05;2.1000000000000002e-05; 8e-06; true; 0.073564;0.04; 0.029561; 0.014375;0.0016669999999999999;1.6e-05;7e-06; 6e-06; true; 0.047429
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.08; 0.050124; 0.035774;5.7999999999999994e-05;1.7e-05; 6e-06; true; 0.092396;0.11; 0.073076; 0.026129;0.014539999999999999;6.2e-05;1.3000000000000001e-05; 8e-06; true; 0.120344
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.04; 0.032957; 0.01427;4.9999999999999996e-05;1.5e-05; 7e-06; true; 0.049951;0.04; 0.031071; 0.01464;0.0019419999999999997;1.8e-05;1e-05; 1.2e-05; true; 0.050244
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut70.mata;0.07; 0.051135; 0.028929;0.001272;0.0005939999999999999; 6e-06; true; 0.086714;0.07; 0.041332; 0.025045;0.011196000000000001;0.000317;8.6e-05; 7e-06; true; 0.082386
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut51.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.09; 0.070991; 0.022249;0.001083;0.000533; 1.4e-05; true; 0.100771;0.1; 0.076628; 0.029631;0.0061189999999999994;0.000161;4.4e-05; 7e-06; true; 0.116161
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata;0.08; 0.062612; 0.01923;0.001459;0.00065; 0.000777; true; 0.088228;0.09; 0.05082; 0.028504;0.015461;0.000651;0.000163; 0.000168; true; 0.100873
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata;0.02; 0.015392; 0.009981;0.000172;4.9e-05; 6e-06; true; 0.027763;0.02; 0.014762; 0.010235;0.0021100000000000003;8.8e-05;3.9e-05; 9e-06; true; 0.029335
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;0.03; 0.02499; 0.009392;0.00039000000000000005;0.000125; 9e-06; true; 0.036575;0.04; 0.03568; 0.013578;0.002275;0.000108;5.1000000000000006e-05; 9e-06; true; 0.053706
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.05; 0.044291; 0.015118;0.00011;4.6e-05; 7e-06; true; 0.061304;0.04; 0.039337; 0.012883;0.000775;2.1e-05;1.3000000000000001e-05; 5e-06; true; 0.054169
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut34.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.33; 0.276332; 0.075072;0.0021;0.000744; 1.1e-05; true; 0.366549;0.41; 0.283844; 0.121719;0.032164;0.0006950000000000001;0.000173; 7e-06; true; 0.458182
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut44.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.02; 0.01529; 0.007869;0.000324;0.00014; 7e-06; true; 0.02548;0.02; 0.011711; 0.01201;0.0035649999999999996;0.000219;5.4000000000000005e-05; 6e-06; true; 0.030006
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.08; 0.066485; 0.024838;0.000452;9.9e-05; 9e-06; true; 0.095781;0.09; 0.069108; 0.025245;0.010114;0.000132;3.8e-05; 9e-06; true; 0.108658
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut49.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;0.03; 0.032739; 0.011476;0.000255;0.00011; 7.2e-05; true; 0.046036;0.07; 0.059128; 0.017601;0.0018040000000000003;0.000155;6e-05; 3.6e-05; true; 0.080654
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.09; 0.058648; 0.036383;0.000765;0.000167; 9e-06; true; 0.101678;0.14; 0.10326; 0.035097;0.015087;0.000295;7.4e-05; 9e-06; true; 0.160188
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut39.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata;0.03; 0.026416; 0.011425;1.4000000000000001e-05;8e-06; 7e-06; true; 0.040131;0.06; 0.043636; 0.018229;0.0038660000000000005;1.3000000000000001e-05;3e-05; 9e-06; true; 0.069436
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut36.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut57.mata;0.02; 0.024258; 0.010892;0.000116;4.6e-05; 0.000102; true; 0.037027;0.02; 0.022782; 0.007701;0.000773;3.6e-05;2.3000000000000003e-05; 2e-05; true; 0.032618
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut44.mata;0.05; 0.03313; 0.019956;1.4e-05;7e-06; 1.1e-05; true; 0.056343;0.05; 0.037782; 0.017366;0.003906;8e-06;6e-06; 7e-06; true; 0.061168
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.05; 0.041551; 0.019534;1.2000000000000002e-05;8.000000000000001e-06; 8e-06; true; 0.06576;0.1; 0.067428; 0.027419;0.011141999999999999;8e-06;6e-06; 1e-05; true; 0.110458
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut7.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata;0.33; 0.258619; 0.096807;1.7e-05;9e-06; 1.4e-05; true; 0.367684;0.51; 0.344047; 0.102136;0.09037799999999999;9e-06;8.000000000000001e-06; 8e-06; true; 0.549536
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut56.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut71.mata;0.07; 0.059655; 0.01921;1.2e-05;8.000000000000001e-06; 9e-06; true; 0.081396;0.07; 0.058792; 0.018581;0.004124;8e-06;6.999999999999999e-06; 7e-06; true; 0.083998
