name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.07; 0.069204; 0.002944; 0.000198; 0.000116; false; 0.079607;0.08; 0.069941; 0.009746; 0.000793; 6.4e-05; 7.9e-05; false; 0.087618
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.02; 0.024525; 0.002307; 0.000165; 9.7e-05; false; 0.031127;0.02; 0.024654; 0.005032; 0.000333; 3.2e-05; 2.7e-05; false; 0.033306
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.02; 0.02145; 0.001852; 0.000117; 5.6e-05; false; 0.026034;0.02; 0.022318; 0.002215; 0.000288; 2.7e-05; 1.9e-05; false; 0.027358
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;4.98; 2.98743; 2.08944; 0.007263; 0.005156; false; 5.30732;3.4; 3.12146; 0.330173; 0.007102; 0.000384; 0.001488; false; 3.78978
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.34; 0.279961; 0.06452; 0.001737; 0.000814; false; 0.383067;0.44; 0.413145; 0.030311; 0.00248; 0.000163; 0.000222; false; 0.479131
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.08; 0.064946; 0.014842; 0.000309; 9.7e-05; false; 0.08726;0.07; 0.065782; 0.005002; 0.000464; 3.7e-05; 4.4e-05; false; 0.07753
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.11; 0.085422; 0.020513; 0.000739; 0.000256; false; 0.116942;0.09; 0.086928; 0.006566; 0.000587; 7.2e-05; 5.7e-05; false; 0.102856
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.0; 0.002441; 0.000377; 4.9e-05; 1.3e-05; false; 0.003386;0.0; 0.002611; 0.000407; 8.4e-05; 1.2e-05; 7e-06; false; 0.00356
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.04; 0.034606; 0.008858; 0.000259; 0.000101; false; 0.047793;0.03; 0.035131; 0.002816; 0.000235; 2.9e-05; 2.6e-05; false; 0.04179
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.11; 0.092865; 0.017041; 0.000497; 0.000216; false; 0.121707;0.1; 0.094428; 0.008347; 0.000676; 5.4e-05; 6e-05; false; 0.112914
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_597.0.mata;0.15; 0.134542; 0.031863; 0.000838; 0.000367; false; 0.181427;0.08; 0.07493; 0.011804; 0.000878; 6.5e-05; 0.0001; false; 0.100178
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_657.0.mata;0.1; 0.085811; 0.020282; 0.000506; 0.000224; false; 0.11648;0.16; 0.158557; 0.011653; 0.001124; 8.6e-05; 0.000105; false; 0.186641
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_670.0.mata;0.19; 0.175519; 0.022076; 0.000691; 0.000248; false; 0.210564;0.19; 0.16823; 0.018495; 0.001414; 0.000106; 0.000131; false; 0.206697
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_671.0.mata;0.23; 0.196331; 0.039053; 0.000944; 0.000432; false; 0.256352;0.24; 0.225529; 0.018099; 0.001446; 9.9e-05; 0.000122; false; 0.26342
