name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.0; 0.000131; 2.3e-05; 4e-06; 1e-06; false; 0.000287;0.0; 0.000195; 3.1e-05; 1.1e-05; 5e-06; 1e-06; false; 0.00039
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.0; 8.1e-05; 2.5e-05; 5e-06; 2e-06; false; 0.000217;0.0; 0.000121; 6.4e-05; 1.6e-05; 1.1e-05; 2e-06; false; 0.000354
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.0; 0.000122; 2.5e-05; 1.8e-05; 2e-06; false; 0.00031;0.0; 0.000121; 5.6e-05; 1.6e-05; 1.2e-05; 2e-06; false; 0.00038
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.0; 0.000137; 2.7e-05; 6e-06; 2e-06; false; 0.000301;0.0; 5.8e-05; 4.9e-05; 1.1e-05; 7e-06; 1e-06; false; 0.000221
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.0; 0.000143; 2.5e-05; 5e-06; 1e-06; false; 0.0003;0.0; 0.000143; 5.3e-05; 1.5e-05; 1.1e-05; 2e-06; false; 0.00038
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.0; 9.4e-05; 2.5e-05; 5e-06; 2e-06; false; 0.000228;0.0; 0.000134; 4.8e-05; 2.5e-05; 8e-06; 1e-06; false; 0.000368
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.0; 0.000129; 2.4e-05; 5e-06; 2e-06; false; 0.000276;0.0; 0.000121; 7.2e-05; 1.6e-05; 1.1e-05; 4e-06; false; 0.00042
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.0; 0.000103; 2.5e-05; 6e-06; 2e-06; false; 0.000252;0.0; 0.000136; 4.7e-05; 1.5e-05; 1.1e-05; 1e-06; false; 0.000347
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.0; 0.000113; 1.9e-05; 4e-06; 1e-06; false; 0.000237;0.0; 6e-05; 3.2e-05; 1e-05; 5e-06; 1e-06; false; 0.000195
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.0; 0.000107; 1.3e-05; 4e-06; 1e-06; false; 0.000218;0.0; 6.7e-05; 3.4e-05; 1.1e-05; 6e-06; 1e-06; false; 0.000205
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-5.mata;0.0; 0.0001; 3e-05; 4e-06; 1e-06; false; 0.000233;0.0; 6.4e-05; 5.5e-05; 1.1e-05; 6e-06; 1e-06; false; 0.000232
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-6.mata;0.0; 0.00013; 1.9e-05; 4e-06; 1e-06; false; 0.000271;0.0; 4.2e-05; 3.5e-05; 8e-06; 5e-06; 1e-06; false; 0.00016
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-7.mata;0.0; 8.4e-05; 2e-05; 4e-06; 2e-06; false; 0.000205;0.0; 7.9e-05; 3.9e-05; 1.1e-05; 7e-06; 1e-06; false; 0.000259
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-8.mata;0.0; 7.5e-05; 1.9e-05; 3e-06; 1e-06; false; 0.000193;0.0; 0.000117; 5.2e-05; 1.2e-05; 7e-06; 1e-06; false; 0.000342
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-9.mata;0.0; 9.8e-05; 2e-05; 5e-06; 2e-06; false; 0.000246;0.0; 9.2e-05; 4.8e-05; 1.3e-05; 1.8e-05; 2e-06; false; 0.000295
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03005-1.mata;0.0; 7.6e-05; 2e-05; 4e-06; 2e-06; false; 0.00019;0.0; 0.000107; 3.4e-05; 1.1e-05; 2e-05; 1e-06; false; 0.000271
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03140-1.mata;0.0; 6.6e-05; 1.8e-05; 4e-06; 1e-06; false; 0.000162;0.0; 5.9e-05; 3.9e-05; 1e-05; 6e-06; 2e-06; false; 0.000225
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-1.mata;0.0; 9.1e-05; 2e-05; 4e-06; 1e-06; false; 0.000213;0.0; 6.2e-05; 3.3e-05; 1.2e-05; 8e-06; 1e-06; false; 0.000211
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-2.mata;0.0; 9.5e-05; 2.9e-05; 3e-06; 1e-06; false; 0.00021;0.0; 4.2e-05; 2.4e-05; 8e-06; 4e-06; 1e-06; false; 0.00014
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-3.mata;0.0; 9e-05; 1.7e-05; 3e-06; 1e-06; false; 0.000211;0.0; 5.8e-05; 4.5e-05; 1e-05; 6e-06; 1e-06; false; 0.000218
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-4.mata;0.0; 7.1e-05; 2e-05; 4e-06; 2e-06; false; 0.000183;0.0; 0.000101; 3.5e-05; 1.2e-05; 8e-06; 1e-06; false; 0.000254
