name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06042.mata;0.09; 0.048979; 0.048734; 9.7e-05; 4.6e-05; false; 0.102065;0.13; 0.050146; 0.026321; 0.060866; 0.000192; 7.4e-05; false; 0.142145
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06076.mata;0.01; 0.004613; 0.002844; 0.000266; 0.000159; false; 0.010059;0.01; 0.004629; 0.004022; 0.002721; 0.000215; 0.000155; false; 0.01337
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06210.mata;0.01; 0.008617; 0.001377; 9.1e-05; 5.2e-05; false; 0.011876;0.02; 0.009099; 0.014275; 0.001406; 8.1e-05; 7.1e-05; false; 0.026748
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06234.mata;0.02; 0.018535; 0.00217; 0.000153; 4.5e-05; false; 0.023877;0.05; 0.013057; 0.035843; 0.002104; 0.000138; 5.1e-05; false; 0.053083
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06244.mata;0.02; 0.01672; 0.001276; 8.1e-05; 3.6e-05; false; 0.020708;0.04; 0.007716; 0.033335; 0.001419; 7.9e-05; 4.5e-05; false; 0.044137
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06264.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06295.mata;0.01; 0.014072; 0.00119; 0.00011; 3.7e-05; false; 0.017979;0.04; 0.014523; 0.034461; 0.001278; 8.7e-05; 3.9e-05; false; 0.052916
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06296.mata;0.07; 0.059381; 0.00928; 0.000527; 9.5e-05; false; 0.077453;0.12; 0.057442; 0.060734; 0.004606; 0.000248; 5.2e-05; false; 0.130295
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06368.mata;0.0; 0.000494; 0.000307; 3.7e-05; 3.2e-05; false; 0.001235;0.0; 0.000438; 0.000716; 0.000305; 3.3e-05; 2.6e-05; false; 0.00182
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06421.mata;0.01; 0.012226; 0.001703; 0.000159; 0.000118; false; 0.016553;0.17; 0.012432; 0.166338; 0.003548; 0.000279; 0.000199; false; 0.185691
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06476.mata;9.01; 9.06711; 0.442356; 0.000243; 0.0001; false; 10.0609;TO; 8.8464;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06499.mata;0.22; 0.033222; 0.186015; 0.001452; 0.000101; false; 0.227406;0.25; 0.027894; 0.030074; 0.185604; 0.000999; 0.000105; false; 0.252132
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06516.mata;0.01; 0.013151; 0.000586; 4.6e-05; 2.9e-05; false; 0.015687;0.01; 0.013006; 0.007294; 0.000547; 4.3e-05; 5.8e-05; false; 0.0228
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06570.mata;0.0; 0.000562; 0.000582; 6.8e-05; 1.5e-05; false; 0.001837;0.0; 0.000504; 0.000899; 0.000485; 6e-05; 4.5e-05; false; 0.00244
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06590.mata;0.03; 0.026958; 0.00732; 0.000438; 5e-05; false; 0.039517;0.09; 0.047741; 0.030341; 0.014502; 0.000706; 8.9e-05; false; 0.102062
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06599.mata;0.04; 0.045896; 0.002055; 0.000129; 5.9e-05; false; 0.054265;0.13; 0.046719; 0.080653; 0.002156; 8.8e-05; 0.000115; false; 0.135737
