                                                                     Average / Median / Average with Timeouts                                                                    
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
op     mata            mata-old       awali          mona             vata           automata       brics          (j)alib         fado            (py)alib        (py)mata
-----  --------------  -------------  -------------  ---------------  -------------  -------------  -------------  --------------  --------------  --------------  --------------
compl  0.0, 0.0, 0.5   0.0, 0.0, 0.5  0.1, 0.0, 1.0  -                0.1, 0.0, 0.6  0.0, 0.0, 0.6  0.1, 0.0, 0.6  0.1, 0.0, 0.6   0.5, 0.0, 1.1   0.3, 0.0, 0.8   0.0, 0.0, 0.0
conca  0.1, 0.0, 0.1   0.1, 0.0, 0.1  0.3, 0.0, 0.3  -                -              -              0.1, 0.0, 0.1  -               5.7, 1.2, 29.1  -               0.4, 0.0, 0.4
deter  -               -              -              -                -              -              -              -               0.5, 0.0, 1.1   0.4, 0.0, 11.4  -
empti  0.0, 0.0, 5.2   0.0, 0.0, 5.2  0.0, 0.0, 5.5  0.0, 0.0, 21.7   0.1, 0.0, 7.5  0.0, 0.0, 6.7  0.0, 0.0, 0.3  0.0, 0.0, 9.9   1.0, 0.0, 18.6  0.3, 0.0, 15.9  0.0, 0.0, 4.9
fair-  0.3, 0.0, 1.6   0.3, 0.0, 2.1  0.9, 0.0, 5.5  0.2, 0.0, 2.7    1.2, 0.0, 5.9  0.7, 0.1, 5.4  0.7, 0.3, 0.8  0.3, 0.2, 7.5   3.4, 0.1, 20.7  0.5, 0.0, 10.4  0.5, 0.0, 4.9
inclu  0.1, 0.0, 0.1   0.1, 0.0, 0.1  0.6, 0.0, 1.2  -                0.1, 0.0, 0.1  0.3, 0.0, 1.2  0.3, 0.0, 0.8  0.1, 0.0, 4.6   9.4, 2.3, 30.6  0.3, 0.0, 1.6   0.0, 0.0, 0.1
inter  -               -              -              -                -              0.7, 0.1, 5.6  0.4, 0.0, 0.7  0.1, 0.1, 8.2   4.4, 0.3, 22.6  0.5, 0.0, 11.4  0.5, 0.0, 4.2
inter  2.4, 0.0, 10.5  2.7, 0.0, 9.6  3.1, 0.0, 3.1  0.5, 0.0, 21.2   5.9, 0.0, 6.2  4.9, 0.0, 4.9  0.7, 0.0, 0.7  0.1, 0.1, 12.6  1.0, 0.2, 36.3  0.2, 0.0, 15.6  0.7, 0.0, 12.8
minte  0.2, 0.0, 5.5   0.2, 0.0, 4.7  0.2, 0.0, 0.3  1.2, 0.1, 39.1   0.2, 0.0, 0.4  -              -              -               -               -               -
overa  0.4, 0.1, 4.3   0.4, 0.1, 4.3  1.1, 0.1, 5.2  1.8, 0.7, 22.8   1.5, 0.1, 6.6  0.9, 0.2, 5.8  0.9, 0.3, 1.2  1.3, 0.6, 9.2   4.6, 0.4, 22.8  0.8, 0.1, 11.7  0.8, 0.1, 4.5
parsi  0.2, 0.0, 2.9   0.2, 0.0, 2.5  0.2, 0.0, 0.5  0.3, 0.2, 38.5   0.2, 0.0, 0.6  0.1, 0.1, 0.4  0.2, 0.1, 0.4  2.9, 0.3, 7.6   0.1, 0.0, 19.8  0.2, 0.1, 11.2  0.3, 0.0, 4.0
runti  0.4, 0.0, 5.9   0.4, 0.0, 5.9  1.0, 0.1, 6.9  10.4, 3.1, 54.6  1.5, 0.1, 8.5  0.8, 0.2, 7.7  2.4, 1.3, 4.5  2.9, 1.8, 16.1  5.5, 1.5, 24.5  1.8, 1.2, 17.7  1.9, 1.2, 7.1
trans  -               -              0.1, 0.0, 0.4  -                0.2, 0.0, 0.5  -              -              -               0.1, 0.0, 19.8  0.1, 0.0, 11.1  0.0, 0.0, 3.7
trim   0.2, 0.0, 3.1   0.3, 0.0, 2.8  1.7, 0.0, 2.1  -                1.5, 0.0, 1.9  0.1, 0.0, 0.3  -              -               -               -               0.1, 0.0, 4.0
union  0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.7, 0.0, 0.7  2.1, 0.0, 18.2   3.6, 0.1, 3.6  0.1, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 33.4  3.6, 0.6, 28.1  0.2, 0.0, 52.0  1.0, 0.0, 1.0
