input                                                                                                                                                                                                                                                                                                                     	automata  	vata  	mata-old  	awali  	mona  	(j)alib  	fado  	(py)mata  	(py)alib  	brics  	mata  	  number
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata                                                                                                                                                                 	false     	false 	false     	false  	-     	false    	true  	false     	false     	false  	false 	       6
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata                                                                                                                                                                                                                                         	true      	true  	true      	true   	false 	false    	nan   	true      	true      	false  	true  	       4
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata                                                                                                                                                                                                                                         	true      	true  	true      	true   	ERR   	false    	nan   	true      	true      	false  	true  	       4
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata                                                                                                                                                                                                                                         	true      	true  	true      	true   	ERR   	false    	nan   	true      	nan       	false  	true  	       2
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata                                                                                                                                                                                                                                         	true      	nan   	true      	true   	ERR   	false    	nan   	true      	nan       	false  	true  	       1
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata                                                                                                                                                                                                                                         	nan       	nan   	true      	nan    	ERR   	false    	nan   	nan       	nan       	false  	true  	       1
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-2-*.mata                                                                                                                                                                                                                                          	true      	true  	true      	true   	false 	false    	true  	true      	true      	false  	true  	       5
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-10-*.mata                                                                                                                                                                                                                                            	nan       	nan   	ERR       	nan    	true  	false    	nan   	nan       	nan       	false  	ERR   	      11
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-10-*.mata                                                                                                                                                                                                                                            	false     	false 	false     	false  	true  	false    	false 	false     	false     	false  	false 	      15
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-12-*.mata                                                                                                                                                                                                                                            	nan       	nan   	nan       	nan    	true  	false    	nan   	nan       	nan       	false  	ERR   	       6
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-13-*.mata                                                                                                                                                                                                                                            	nan       	nan   	ERR       	nan    	true  	false    	nan   	nan       	nan       	false  	nan   	       4
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-17-*.mata                                                                                                                                                                                                                                            	false     	false 	false     	false  	true  	false    	false 	false     	nan       	false  	false 	       1
