                                                                  1st Quartile / Median / 3rd Quartile per op/bench                                                                   
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
benchop    mata           mata-old        awali            mona           vata              automata        brics           (j)alib        fado           (py)alib       (py)mata
---------  -------------  --------------  ---------------  -------------  ----------------  --------------  --------------  -------------  -------------  -------------  -------------
compl/p    0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     0.1, 0.1, 0.1   0.0, 0.1, 0.1   0.0, 0.0, 0.1  0.1, 0.3, 0.5  0.0, 0.1, 0.1  0.0, 0.0, 0.0
compl/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
conca/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.2    -              -                 -               0.0, 0.0, 0.2   -              1.2, 9.1, 60   -              0.0, 0.0, 0.3
deter/ai   -              -               -                -              -                 -               -               -              -              0.0, 0.1, 0.3  -
deter/bi   -              -               -                -              -                 -               -               -              -              60, 60, 60     -
deter/biu  -              -               -                -              -                 -               -               -              -              60, 60, 60     -
deter/ef   -              -               -                -              -                 -               -               -              -              0.0, 0.0, 0.0  -
deter/p    -              -               -                -              -                 -               -               -              0.1, 0.3, 0.5  0.0, 0.1, 0.1  -
deter/zn   -              -               -                -              -                 -               -               -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  -
empti/bcd  0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.1    -              0.0, 0.0, 1.2     0.0, 0.0, 0.0   0.0, 0.0, 0.0   -              60, 60, 60     -              0.0, 0.0, 0.0
empti/bci  0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     0.0, 0.0, 0.0   0.0, 0.0, 0.0   -              60, 60, 60     -              0.0, 0.0, 0.0
empti/bcu  0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     0.0, 0.0, 0.0   0.0, 0.0, 0.0   -              0.0, 0.1, 0.3  -              0.0, 0.0, 0.0
empti/bi   60, 60, 60     60, 60, 60      60, 60, 60       0.0, 0.0, 60   60, 60, 60        60, 60, 60      0.0, 0.0, 0.0   0.0, 60, 60    60, 60, 60     60, 60, 60     60, 60, 60
empti/biu  0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.1    0.0, 0.0, 60   0.0, 0.1, 0.4     0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 60, 60    0.8, 60, 60    60, 60, 60     0.0, 0.0, 0.0
empti/p    0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 1.9  0.0, 0.0, 0.0  0.0, 0.0, 0.0
fair-/ai   0.0, 0.2, 0.3  0.0, 0.2, 0.3   0.1, 0.2, 0.5    0.0, 0.0, 0.0  0.1, 0.3, 0.8     0.1, 0.2, 1.0   0.3, 0.4, 0.7   0.3, 0.4, 0.5  0.8, 35.4, 60  0.0, 0.2, 0.3  0.0, 0.0, 0.0
fair-/bcd  0.4, 1.0, 2.3  0.3, 0.9, 2.2   1.3, 5.3, 11.0   0.0, 0.0, 0.0  1.6, 6.7, 13.9    1.6, 7.6, 18.4  2.3, 5.6, 11.9  0.0, 0.0, 0.0  60, 60, 60     0.0, 0.0, 0.0  1.0, 3.8, 8.5
fair-/bci  0.5, 1.2, 2.3  0.3, 1.1, 2.4   1.3, 5.0, 10.5   0.0, 0.0, 0.0  2.5, 6.7, 13.2    1.6, 6.6, 18.1  1.8, 5.5, 12.2  0.0, 0.0, 0.0  60, 60, 60     0.0, 0.0, 0.0  1.2, 3.9, 9.4
fair-/bcu  0.0, 0.1, 0.1  0.0, 0.1, 0.1   0.0, 0.1, 0.1    0.0, 0.0, 0.0  0.0, 0.1, 0.1     0.1, 0.1, 0.1   0.2, 0.3, 0.3   0.0, 0.0, 0.0  0.2, 0.7, 1.4  0.0, 0.0, 0.0  0.0, 0.0, 0.0
fair-/bi   0.0, 0.0, 60   0.0, 0.0, 60    60, 60, 60       0.0, 0.9, 5.3  60, 60, 60        60, 60, 60      0.3, 0.6, 1.1   0.4, 60, 60    60, 60, 60     60, 60, 60     60, 60, 60
fair-/biu  0.1, 0.3, 1.5  0.1, 0.3, 1.4   0.1, 1.0, 4.3    0.1, 1.6, 60   0.2, 2.5, 14.9    0.1, 0.2, 0.5   0.2, 0.4, 1.1   0.3, 60, 60    5.1, 60, 60    60, 60, 60     0.0, 0.3, 1.9
fair-/ef   0.0, 0.0, 0.1  0.0, 0.0, 0.1   0.0, 0.0, 0.1    0.0, 0.0, 0.0  0.0, 0.0, 0.1     0.1, 0.1, 0.2   0.2, 0.3, 0.4   0.3, 0.4, 0.5  1.6, 23.7, 60  0.0, 0.0, 0.1  0.0, 0.0, 0.0
fair-/p    0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.1    0.0, 0.0, 0.0  0.0, 0.1, 0.1     0.1, 0.2, 0.2   0.3, 0.4, 0.5   0.2, 0.3, 0.4  0.1, 0.4, 0.6  0.0, 0.1, 0.1  0.0, 0.0, 0.0
fair-/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0    0.0, 0.0, 0.0  0.0, 0.0, 0.0     0.1, 0.1, 0.1   0.0, 0.0, 0.2   0.1, 0.2, 0.3  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
inclu/ai   0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.2    -              0.0, 0.1, 0.5     0.0, 0.1, 0.9   0.0, 0.1, 0.3   0.1, 0.1, 0.1  0.8, 35.3, 60  0.0, 0.1, 0.3  0.0, 0.0, 0.0
inclu/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.1  1.5, 23.4, 60  0.0, 0.0, 0.0  0.0, 0.0, 0.0
inter/ai   -              -               -                -              -                 0.1, 0.1, 0.9   0.0, 0.1, 0.3   0.1, 0.1, 0.1  0.8, 35.3, 60  0.0, 0.1, 0.3  0.0, 0.0, 0.0
inter/bcd  0.1, 0.4, 1.2  0.1, 0.5, 1.4   0.4, 2.1, 4.1    -              0.7, 3.5, 7.6     1.3, 7.3, 18.1  1.9, 5.2, 11.4  -              60, 60, 60     -              0.8, 3.5, 8.2
inter/bci  0.1, 0.6, 1.4  0.1, 0.5, 1.5   0.5, 1.9, 4.3    -              1.2, 3.6, 7.3     1.4, 6.3, 17.9  1.5, 5.1, 11.8  -              60, 60, 60     -              1.0, 3.7, 7.9
inter/bcu  -              -               -                -              -                 0.0, 0.0, 0.0   0.0, 0.0, 0.0   -              0.2, 0.7, 1.4  -              0.0, 0.0, 0.0
inter/bi   28.6, 60, 60   11.0, 46.4, 60  6.1, 12.0, 17.4  0.0, 0.0, 60   11.4, 24.5, 34.9  5.8, 38.2, 60   0.0, 0.0, 0.0   0.0, 60, 60    60, 60, 60     60, 60, 60     60, 60, 60
inter/biu  -              -               -                -              -                 0.0, 0.1, 0.5   0.0, 0.0, 0.0   0.0, 60, 60    5.1, 60, 60    60, 60, 60     0.0, 0.3, 1.9
inter/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     0.0, 0.0, 0.1   0.0, 0.0, 0.0   0.1, 0.1, 0.2  0.4, 8.5, 60   0.0, 0.0, 0.0  0.0, 0.0, 0.0
inter/p    -              -               -                -              -                 0.1, 0.1, 0.1   0.0, 0.1, 0.1   0.0, 0.1, 0.1  0.1, 0.4, 0.6  0.0, 0.1, 0.1  0.0, 0.0, 0.0
inter/zn   -              -               -                -              -                 0.0, 0.0, 0.1   0.0, 0.0, 0.1   0.0, 0.1, 0.1  0.0, 0.1, 6.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
minte/ai   0.0, 0.1, 0.2  0.0, 0.1, 0.2   0.0, 0.1, 0.2    0.1, 60, 60    0.0, 0.1, 0.2     -               -               -              -              -              -
minte/bcd  0.0, 0.1, 0.1  0.0, 0.1, 0.1   0.0, 0.1, 0.1    0.1, 0.1, 60   0.0, 0.1, 0.1     -               -               -              -              -              -
minte/bci  0.0, 0.1, 0.1  0.0, 0.1, 0.1   0.0, 0.1, 0.1    0.1, 0.1, 60   0.0, 0.1, 0.1     -               -               -              -              -              -
minte/bcu  0.0, 0.1, 0.1  0.0, 0.1, 0.1   0.0, 0.1, 0.1    60, 60, 60     0.0, 0.1, 0.1     -               -               -              -              -              -
minte/bi   0.1, 60, 60    0.1, 2.6, 60    0.0, 0.2, 0.8    0.1, 1.4, 60   0.0, 0.2, 0.8     -               -               -              -              -              -
minte/biu  0.0, 0.2, 0.7  0.0, 0.2, 0.7   0.0, 0.2, 0.7    0.1, 0.6, 60   0.0, 0.2, 0.7     -               -               -              -              -              -
minte/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0    60, 60, 60     0.0, 0.0, 0.0     -               -               -              -              -              -
overa/ai   0.1, 0.5, 0.7  0.1, 0.5, 0.7   0.2, 0.6, 1.1    -              0.2, 0.7, 1.6     0.3, 0.4, 1.5   0.5, 0.8, 1.2   0.9, 1.3, 1.7  1.0, 38.3, 60  0.3, 0.8, 1.6  0.1, 0.6, 0.8
overa/bcd  0.4, 1.0, 2.3  0.3, 1.0, 2.3   1.3, 5.3, 11.0   -              1.6, 6.7, 13.9    1.6, 7.6, 18.4  2.3, 5.6, 11.9  -              60, 60, 60     -              1.2, 4.2, 9.0
overa/bci  0.5, 1.2, 2.3  0.3, 1.1, 2.4   1.3, 5.0, 10.5   -              2.5, 6.7, 13.2    1.6, 6.6, 18.1  1.8, 5.5, 12.2  -              60, 60, 60     -              1.4, 4.3, 9.8
overa/bcu  0.2, 0.3, 0.5  0.2, 0.3, 0.5   0.2, 0.4, 0.6    -              0.2, 0.4, 0.6     0.2, 0.3, 0.3   0.3, 0.4, 0.5   -              0.5, 1.2, 2.2  -              0.2, 0.4, 0.6
overa/bi   60, 60, 60     60, 60, 60      60, 60, 60       0.5, 3.5, 60   60, 60, 60        60, 60, 60      0.4, 1.0, 2.5   1.7, 60, 60    60, 60, 60     60, 60, 60     60, 60, 60
overa/biu  0.1, 0.7, 1.9  0.1, 0.6, 1.8   0.2, 1.3, 4.9    0.4, 2.9, 60   0.3, 3.1, 16.1    0.2, 0.3, 0.8   0.3, 0.8, 2.4   1.6, 60, 60    5.3, 60, 60    60, 60, 60     0.2, 1.1, 3.7
overa/ef   0.1, 0.1, 0.2  0.1, 0.1, 0.2   0.1, 0.1, 0.2    -              0.1, 0.1, 0.2     0.2, 0.2, 0.3   0.2, 0.3, 0.5   0.5, 0.8, 1.3  1.8, 25.3, 60  0.1, 0.2, 0.3  0.1, 0.1, 0.2
overa/p    0.0, 0.1, 0.1  0.0, 0.1, 0.1   0.0, 0.1, 0.1    -              0.0, 0.2, 0.2     0.2, 0.3, 0.3   0.3, 0.5, 0.7   0.5, 0.7, 0.9  0.2, 0.6, 0.9  0.1, 0.2, 0.3  0.0, 0.1, 0.1
overa/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.1    -              0.0, 0.0, 0.0     0.1, 0.1, 0.2   0.1, 0.2, 0.3   0.2, 0.3, 0.5  0.0, 0.2, 6.3  0.0, 0.0, 0.1  0.0, 0.0, 0.1
parsi/ai   0.1, 0.3, 0.4  0.1, 0.3, 0.4   0.1, 0.3, 0.4    0.3, 60, 60    0.1, 0.3, 0.4     0.1, 0.2, 0.3   0.1, 0.3, 0.4   0.5, 0.8, 1.1  0.2, 0.7, 60   0.2, 0.5, 0.7  0.1, 0.5, 0.7
parsi/bcd  0.2, 0.3, 0.4  0.1, 0.2, 0.4   0.1, 0.3, 0.4    0.3, 0.4, 60   0.1, 0.3, 0.4     0.1, 0.2, 0.2   0.1, 0.1, 0.1   -              60, 60, 60     -              0.2, 0.4, 0.5
parsi/bci  0.2, 0.3, 0.4  0.1, 0.3, 0.4   0.1, 0.2, 0.4    0.2, 0.4, 60   0.1, 0.3, 0.4     0.1, 0.2, 0.2   0.1, 0.1, 0.1   -              60, 60, 60     -              0.2, 0.4, 0.5
parsi/bcu  0.1, 0.3, 0.4  0.1, 0.3, 0.4   0.1, 0.3, 0.4    60, 60, 60     0.1, 0.3, 0.4     0.1, 0.2, 0.2   0.1, 0.1, 0.1   -              0.2, 0.3, 0.5  -              0.2, 0.3, 0.6
parsi/bi   0.3, 60, 60    0.1, 1.4, 60    0.0, 0.2, 0.4    0.1, 0.4, 60   0.0, 0.2, 0.5     0.1, 0.1, 0.3   0.1, 0.4, 1.3   1.3, 49.4, 60  60, 60, 60     60, 60, 60     60, 60, 60
parsi/biu  0.0, 0.2, 0.5  0.0, 0.2, 0.4   0.0, 0.2, 0.4    0.1, 0.3, 60   0.0, 0.2, 0.4     0.1, 0.2, 0.3   0.1, 0.3, 1.3   1.2, 50.7, 60  0.1, 60, 60    60, 60, 60     0.1, 0.7, 1.9
parsi/ef   0.0, 0.1, 0.1  0.0, 0.1, 0.1   0.0, 0.1, 0.1    60, 60, 60     0.0, 0.1, 0.1     0.1, 0.1, 0.1   0.1, 0.1, 0.1   0.2, 0.4, 0.6  0.1, 0.2, 60   0.1, 0.1, 0.2  0.1, 0.1, 0.2
parsi/p    0.0, 0.1, 0.1  0.0, 0.1, 0.1   0.0, 0.1, 0.1    -              0.0, 0.1, 0.1     0.0, 0.1, 0.1   0.1, 0.2, 0.2   0.3, 0.4, 0.5  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1
parsi/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     0.0, 0.0, 0.1   0.0, 0.0, 0.0   0.1, 0.1, 0.3  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
resul/ai   60, 60, 60     60, 60, 60      60, 60, 60       -              60, 60, 60        60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
resul/bcd  60, 60, 60     60, 60, 60      60, 60, 60       -              60, 60, 60        60, 60, 60      60, 60, 60      -              60, 60, 60     -              60, 60, 60
resul/bci  60, 60, 60     60, 60, 60      60, 60, 60       -              60, 60, 60        60, 60, 60      60, 60, 60      -              60, 60, 60     -              60, 60, 60
resul/bcu  60, 60, 60     60, 60, 60      60, 60, 60       -              60, 60, 60        60, 60, 60      60, 60, 60      -              60, 60, 60     -              60, 60, 60
resul/bi   60, 60, 60     60, 60, 60      60, 60, 60       60, 60, 60     60, 60, 60        60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
resul/biu  60, 60, 60     60, 60, 60      60, 60, 60       60, 60, 60     60, 60, 60        60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
resul/ef   60, 60, 60     60, 60, 60      60, 60, 60       -              60, 60, 60        60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
resul/p    60, 60, 60     60, 60, 60      60, 60, 60       -              60, 60, 60        60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
