                                                            1st Quartile / Median / 3rd Quartile per operation                                                            
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
op     mata           mata-old       awali          mona           vata           automata       brics          (j)alib        fado           (py)alib       (py)mata
-----  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------
compl  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
conca  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.2  -              -              -              0.0, 0.0, 0.2  -              1.2, 9.1, 60   -              0.0, 0.0, 0.3
deter  -              -              -              -              -              -              -              -              0.0, 0.0, 0.1  0.0, 0.0, 0.4  -
empti  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 60   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.1, 60   0.0, 0.0, 60   0.0, 0.0, 0.0
fair-  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.2  0.0, 0.0, 0.0  0.0, 0.0, 0.2  0.1, 0.1, 0.2  0.1, 0.3, 0.5  0.1, 0.3, 0.5  0.0, 0.8, 60   0.0, 0.0, 0.3  0.0, 0.0, 0.0
inclu  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  1.5, 27.8, 60  0.0, 0.0, 0.1  0.0, 0.0, 0.0
inter  -              -              -              -              -              0.0, 0.1, 0.1  0.0, 0.0, 0.1  0.0, 0.1, 0.2  0.0, 1.4, 60   0.0, 0.0, 0.5  0.0, 0.0, 0.1
inter  0.0, 0.0, 0.8  0.0, 0.0, 0.8  0.0, 0.0, 1.9  0.0, 0.0, 60   0.0, 0.0, 3.4  0.0, 0.0, 4.2  0.0, 0.0, 0.0  0.1, 0.1, 0.3  0.3, 60, 60    0.0, 0.0, 60   0.0, 0.0, 4.9
minte  0.0, 0.1, 0.2  0.0, 0.1, 0.1  0.0, 0.0, 0.1  0.5, 60, 60    0.0, 0.0, 0.1  -              -              -              -              -              -
overa  0.0, 0.1, 0.4  0.0, 0.1, 0.3  0.0, 0.1, 0.6  0.4, 3.1, 60   0.0, 0.1, 0.7  0.2, 0.2, 0.4  0.2, 0.3, 0.6  0.4, 0.7, 1.5  0.1, 1.9, 60   0.0, 0.1, 1.2  0.0, 0.1, 0.6
parsi  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.4, 60, 60    0.0, 0.0, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.1  0.2, 0.3, 0.9  0.0, 0.1, 60   0.0, 0.1, 0.5  0.0, 0.1, 0.2
runti  0.0, 0.1, 0.4  0.0, 0.1, 0.4  0.0, 0.1, 0.6  60, 60, 60     0.0, 0.1, 0.8  0.1, 0.2, 0.4  1.0, 1.4, 2.2  1.5, 2.4, 9.1  1.3, 3.5, 60   1.2, 1.3, 60   1.1, 1.3, 1.8
trans  -              -              0.0, 0.0, 0.0  -              0.0, 0.0, 0.0  -              -              -              0.0, 0.0, 60   0.0, 0.0, 0.1  0.0, 0.0, 0.0
trim   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1  -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              -              -              -              0.0, 0.0, 0.0
union  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.5  0.0, 0.0, 60   0.0, 0.1, 2.9  0.0, 0.0, 0.2  0.0, 0.0, 0.0  0.0, 60, 60    0.5, 9.3, 60   60, 60, 60     0.0, 0.0, 0.7
