name;automata-runtime;automata-construction;automata-trim;automata-inclusion_check;automata-inclusion_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-inclusion_check;vata-inclusion_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-inclusion_check;awali-inclusion_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-inclusion;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-inclusion;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-inclusion;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-inclusion_check;java-brics-inclusion_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.34;0.23693540000000002;0.009511; 0.0620386000; False; 0.0731859000; 0.3385807000;1.07; 0.795889; 0.282539; 0.001967; false; 1.1417;1.05; 0.794544; 0.279492; 0.001651; false; 1.13663;1.34; 0.599068; 0.174562;0.10462; 0.458793; false; 1.37401;0.94; 0.399046; 0.275758;0.023095; 0.227365; false; 0.994944;ERR;ERR;ERR;1.74; 0.7117; 0.0000; 0.0029; False; 0.0029; 0.7171;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.82; 1.1793; 0.3432;0.2889; 0.3132; False; 0.3133; 1.8407;5.02;1.254149525; 0.16708277; false; 0.173152934; 1.798941587;3.36;0.511983908; 0.240398057; false; 0.271395609; 1.418711795
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;0.6;0.4775372;0.014778999999999999; 0.1046316000; False; 0.1218033000; 0.6436728000;0.86; 0.6009; 0.263532; 0.001874; false; 0.929433;0.55; 0.400511; 0.165522; 0.000959; false; 0.606122;1.73; 0.673564; 0.258397;0.155936; 0.61401; false; 1.75526;1.13; 0.665929; 0.244724;0.019972999999999998; 0.196194; false; 1.17749;TO;MISSING;MISSING;1.51; 0.7302; 0.0000; 0.0027; False; 0.0028; 0.7349;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.24; 0.7829; 0.2861;0.2; 0.2224; False; 0.2224; 1.2961;5.21;1.037382475; 0.120660546; false; 0.126700454; 1.695800909;3.34;0.41736865599999995; 0.200564843; false; 0.212223881; 1.164166632
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.49;0.332677;0.0109416; 0.1124029000; False; 0.1250765000; 0.4973133000;0.75; 0.525528; 0.204141; 0.002192; false; 0.79955;0.54; 0.380574; 0.167324; 0.001005; false; 0.587222;1.67; 0.65858; 0.253591;0.160642; 0.574037; false; 1.70237;0.67; 0.371941; 0.165854;0.011849; 0.126892; false; 0.709851;TO; 0.40849; 0.192578;2.2; 1.0913; 0.0000; 0.0030; False; 0.0031; 1.0964;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.48; 1.0087; 0.2602;0.2252; 0.2453; False; 0.2453; 1.5230;4.71;0.9274098510000001; 0.169834861; false; 0.175357121; 1.542546182;3.52;0.454780034; 0.188413778; false; 0.198103451; 1.016713057
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;0.38;0.25482950000000004;0.0114056; 0.0845415000; False; 0.0988943000; 0.3949906000;0.58; 0.395709; 0.186629; 0.001495; false; 0.632679;0.58; 0.392063; 0.183829; 0.001507; false; 0.626063;1.11; 0.392053; 0.183942;0.11052000000000001; 0.381013; false; 1.11297;1.16; 0.65769; 0.254779;0.020560000000000002; 0.226025; false; 1.22081;TO; 0.61161; 0.259404;2.38; 1.1577; 0.0000; 0.0032; False; 0.0032; 1.1630;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.67; 1.0404; 0.2703;0.24270000000000003; 0.2622; False; 0.2622; 1.5811;5.05;0.953651406; 0.137192586; false; 0.161207985; 1.567384796;3.43;0.407783976; 0.188538883; false; 0.208227791; 0.954657716
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-rhs.mata;0.64;0.4552878;0.0531201; 0.1571922000; False; 0.2389775000; 0.7369083000;0.91; 0.64745; 0.262093; 0.002094; false; 0.977364;0.93; 0.66138; 0.268136; 0.001858; false; 0.988399;1.77; 0.678798; 0.273786;0.162293; 0.620356; false; 1.79817;1.16; 0.673422; 0.261275;0.02017; 0.219276; false; 1.22636;TO;MISSING;MISSING;1.9; 1.0354; 0.0000; 0.0034; False; 0.0035; 1.0413;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.79; 1.1612; 0.2840;0.2696; 0.2922; False; 0.2923; 1.7424;5.03;1.118767179; 0.151564457; false; 0.158062921; 1.675074005;3.7;0.421720889; 0.202161461; false; 0.225096976; 1.020260313
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.22;0.1556416;0.006472100000000001; 0.0285874000; False; 0.0370035000; 0.2206718000;0.44; 0.261493; 0.190734; 0.000349; false; 0.481048;0.59; 0.424366; 0.189901; 0.000681; false; 0.651354;0.83; 0.474929; 0.183715;0.073126; 0.121896; false; 0.87983;1.23; 0.264142; 0.115297;0.005725999999999999; 0.886156; false; 1.29006;TO; 0.249698; 0.115366;1.28; 0.4701; 0.0000; 0.0011; False; 0.0011; 0.4722;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;10.33; 0.8298; 0.1207;8.3964; 8.4146; False; 8.4146; 9.3681;9.41;4.215931887; 0.123836095; false; 0.142962685; 4.681771522;4.18;0.397661398; 0.635574906; false; 0.648742438; 1.500481639
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-rhs.mata;TO;0.1098575;0.010137799999999999;MISSING;MISSING;MISSING;MISSING;0.12; 0.096231; 0.031589; 0.001098; false; 0.133237;0.13; 0.103051; 0.039642; 0.002008; false; 0.150323;0.15; 0.102895; 0.036945;0.014955; 0.011885; false; 0.172124;16.28; 0.098064; 0.041182;0.002476; 16.5315; false; 16.6806;ERR;ERR;ERR;1.37; 0.1765; 0.0000; 0.0029; False; 0.0029; 0.1800;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;8.03; 0.1677; 0.0205;6.7447; 6.8448; False; 6.8448; 7.0337;8.24;3.588001196; 0.15168256; false; 0.156853595; 3.931759753;8.24;0.088491167; 4.373074081; false; 4.38455902; 4.68726301
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-rhs.mata;11.47;0.1136987;0.009604; 11.3530091000; False; 11.3651131000; 11.5196127000;0.14; 0.109849; 0.039103; 0.002687; false; 0.157242;0.14; 0.10681; 0.041574; 0.00236; false; 0.156997;0.17; 0.110288; 0.037713;0.016981000000000003; 0.012236; false; 0.182496;29.22; 0.111204; 0.038057;0.0026239999999999996; 31.4282; false; 31.5864;TO; 0.098344; 0.043294;1.24; 0.1735; 0.0000; 0.0017; False; 0.0017; 0.1755;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;11.5; 0.2075; 0.0229;10.5258; 10.5671; False; 10.5672; 10.8112;9.62;4.282112468999999; 0.187396255; false; 0.216492828; 4.728806567;10.33;0.128961475; 6.032501084; false; 6.039542845; 6.366601777
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-rhs.mata;11.59;0.0835867;0.0067592; 11.5472073000; False; 11.5614299000; 11.7081612000;0.14; 0.108283; 0.041563; 0.002778; false; 0.158699;0.14; 0.10471; 0.040122; 0.002647; false; 0.153972;0.17; 0.109134; 0.038351;0.018968; 0.015771; false; 0.188062;26.77; 0.114586; 0.041108;0.002793; 28.7554; false; 28.9212;TO; 0.177872; 0.075906;0.84; 0.0975; 0.0000; 0.0017; False; 0.0017; 0.0995;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;9.82; 0.2114; 0.0238;8.61; 8.6288; False; 8.6288; 8.8650;9.6;4.66039781; 0.148411212; false; 0.163269956; 5.044344788;8.84;0.208459104; 5.056940641; false; 5.07377237; 5.581614924
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-rhs.mata;11.05;0.1228;0.0082556; 10.9239200000; False; 10.9357647000; 11.1104463000;0.07; 0.057285; 0.022799; 0.001205; false; 0.084978;0.06; 0.057227; 0.02322; 0.001183; false; 0.085326;0.16; 0.102011; 0.03719;0.016217; 0.01264; false; 0.173723;39.63; 0.096159; 0.041247;0.002386; 43.1609; false; 43.3082;TO; 0.053231; 0.025109;0.91; 0.0980; 0.0000; 0.0016; False; 0.0017; 0.0999;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;7.16; 0.1699; 0.0218;5.9556000000000004; 5.9752; False; 5.9752; 6.1674;7.87;4.761396048; 0.260715994; false; 0.271345457; 5.272400118;8.96;0.120616002; 5.689012981; false; 5.703261198; 6.121918285
