name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.17;0.0788864;0.0086324; 0.0532401000; 0.0003442000; False; 0.0739163000; 0.2285481000;0.03; 0.018814; 0.01139; 0.003035; 0.001776; 1.7e-05; false; 0.037834;0.03; 0.028874; 0.011297; 0.002982; 0.00176; 1.6e-05; false; 0.047984;0.06; 0.028226; 0.011453;0.0015249999999999999; 0.011459; 0.014607; 0.003257; false; 0.072955;0.05; 0.028755; 0.011503;0.000299; 0.007471; 0.008487; 0.000407; false; 0.060395;ERR;1.14; 0.0415; 0.0000; 0.0120; 0.0026; 0.0001; False; 0.0148; 0.0575;5.07; 0.0420; 0.0031; 2.8009; 1.1374; False; 3.9384; 3.9857;TO;TO;1.25;0.05894996599999999; 0.051365359; 2.3935E-5; false; 0.065333822; 0.315071256
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.25;0.0870821;0.0086038; 0.1239225000; 0.0003402000; False; 0.1358023000; 0.2787393000;0.07; 0.050829; 0.015699; 0.010847; 0.006674; 2.4e-05; false; 0.086208;0.07; 0.050604; 0.015599; 0.012691; 0.007345; 3.6e-05; false; 0.088538;0.18; 0.04578; 0.016275;0.002552; 0.054272; 0.080811; 0.00045; false; 0.202536;0.16; 0.051399; 0.014949;0.000512; 0.031718; 0.057471; 0.0012; false; 0.160006;ERR;1.26; 0.0846; 0.0000; 0.0534; 0.0140; 0.0003; False; 0.0678; 0.1528;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;1.72;0.060201096; 0.186603821; 2.9786E-5; false; 0.193478636; 0.380250573
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;30.61;0.27378040000000003;0.0126139; 31.6395358000; 0.0003733000; False; 31.6564478000; 31.9811128000;2.97; 0.464204; 0.125429; 2.01099; 0.722473; 0.000334; false; 3.35603;2.95; 0.444782; 0.148789; 2.10589; 0.576415; 0.000245; false; 3.30352;19.14; 0.547486; 0.11328;0.027401000000000002; 9.42398; 7.6338; 2.16948; false; 19.9298;18.13; 0.336143; 0.088434;0.003055; 5.80057; 10.9346; 0.197474; false; 17.3714;ERR;17.45; 0.6759; 0.0000; 13.2727; 3.9624; 0.0041; False; 17.2394; 17.9258;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;42.01;0.17256237400000002; 19.707647455; 5.8101E-5; false; 19.743555305; 20.156077128
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.46;0.0858327;0.0093399; 0.3712737000; 0.0003702000; False; 0.3839175000; 0.5118011000;0.12; 0.072529; 0.022387; 0.030309; 0.015928; 3.4e-05; false; 0.144338;0.14; 0.079035; 0.022857; 0.030255; 0.017517; 5.2e-05; false; 0.153038;0.47; 0.07774; 0.023578;0.0047539999999999995; 0.169358; 0.227936; 0.000766; false; 0.507427;0.36; 0.082382; 0.024441;0.000909; 0.093019; 0.159163; 0.003047; false; 0.367515;ERR;1.56; 0.1927; 0.0000; 0.1931; 0.0401; 0.0006; False; 0.2339; 0.4272;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;2.21;0.049390227999999994; 0.379910448; 3.5056E-5; false; 0.387962848; 0.585433318
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.77;0.09958620000000001;0.010841; 0.6534092000; 0.0003284000; False; 0.6686586000; 0.8235212000;0.13; 0.065676; 0.022166; 0.038256; 0.020611; 4.6e-05; false; 0.150448;0.12; 0.060777; 0.0201; 0.031277; 0.023843; 4.2e-05; false; 0.139256;0.74; 0.097562; 0.033493;0.0039369999999999995; 0.302; 0.35442; 0.001583; false; 0.795713;0.6; 0.108671; 0.030275;0.0010860000000000002; 0.159219; 0.282322; 0.005265; false; 0.592146;ERR;1.74; 0.1570; 0.0000; 0.2896; 0.0827; 0.0009; False; 0.3734; 0.5325;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;3.01;0.115722057; 1.587456884; 3.8125E-5; false; 1.605288924; 2.016539417
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;1.07;0.1679399;0.0124896; 1.3405444000; 0.0003252000; False; 1.3583556000; 1.6675430000;0.26; 0.254407; 0.057438; 0.107416; 0.057991; 5.4e-05; false; 0.48296;0.28; 0.171546; 0.046646; 0.141646; 0.074291; 6.2e-05; false; 0.439712;1.15; 0.1633; 0.039376;0.007626; 0.670069; 0.609842; 0.001025; false; 1.49551;0.93; 0.138177; 0.034292;0.001281; 0.3703; 0.552171; 0.007242; false; 1.10846;ERR;1.92; 0.2096; 0.0000; 0.3986; 0.1282; 0.0007; False; 0.5275; 0.7396;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;3.7;0.08556861199999999; 1.113250822; 2.7128E-5; false; 1.125864556; 1.393464739
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;1.2;0.0679997;0.006485899999999999; 1.1349598000; 0.0003596000; False; 1.1447200000; 1.2636022000;0.36; 0.151702; 0.041275; 0.134722; 0.067583; 7.3e-05; false; 0.401361;0.35; 0.150259; 0.038333; 0.127786; 0.062048; 7.2e-05; false; 0.384181;1.63; 0.153746; 0.038612;0.009267000000000001; 0.775372; 0.765576; 0.001326; false; 1.74859;1.34; 0.152612; 0.039051;0.001569; 0.429519; 0.696246; 0.009863; false; 1.33461;ERR;2.14; 0.1463; 0.0000; 0.9569; 0.2327; 0.0013; False; 1.1910; 1.3404;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;4.55;0.09257006400000001; 2.844856593; 1.09992E-4; false; 2.867286214; 3.198102619
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;2.24;0.168081;0.0113867; 2.0919849000; 0.0002725000; False; 2.1117194000; 2.3474529000;0.3; 0.108725; 0.040483; 0.129514; 0.063444; 0.000126; false; 0.349391;0.28; 0.108158; 0.034956; 0.115103; 0.060642; 0.000101; false; 0.324828;1.97; 0.110051; 0.034156;0.006925000000000001; 0.922299; 1.00233; 0.001655; false; 2.08218;1.88; 0.106203; 0.031529;0.001107; 0.585136; 1.11215; 0.018665; false; 1.86037;ERR;2.74; 0.2882; 0.0000; 1.3571; 0.3255; 0.0012; False; 1.6839; 1.9764;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;5.73;0.061179804000000004; 2.301403406; 4.7472E-5; false; 2.309577671; 2.533241528
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;3.23;0.1270022;0.0081402; 4.2682289000; 0.0003565000; False; 4.2798700000; 4.4705511000;0.62; 0.258985; 0.060796; 0.313724; 0.126414; 0.000167; false; 0.771101;0.63; 0.221875; 0.058143; 0.332616; 0.16161; 0.000197; false; 0.786119;3.13; 0.22926; 0.05916;0.014863999999999999; 1.86202; 1.67976; 0.004019; false; 3.86256;2.71; 0.210272; 0.058254;0.002393; 1.07064; 1.28315; 0.025151; false; 2.65911;ERR;3.4; 0.3394; 0.0000; 1.6362; 0.5302; 0.0023; False; 2.1688; 2.5146;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;7.3;0.117815646; 2.677479731; 4.8819E-5; false; 2.686471296; 2.980281716
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;4.06;0.1729278;0.0120679; 4.0784188000; 0.0003883000; False; 4.0952394000; 4.3308376000;0.78; 0.246627; 0.057771; 0.379795; 0.164066; 0.000218; false; 0.859694;0.74; 0.232011; 0.060773; 0.362921; 0.164684; 0.000216; false; 0.832414;4.22; 0.23453; 0.037061;0.009271; 3.06375; 1.99128; 0.003882; false; 5.34547;3.61; 0.248322; 0.064725;0.002817; 1.61973; 2.22355; 0.0317; false; 4.20124;ERR;4.6; 0.4527; 0.0000; 2.7137; 0.7726; 0.0027; False; 3.4891; 3.9446;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;8.86;0.130078487; 3.978904268; 3.3757E-5; false; 3.991772781; 4.310464224
