name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;mona-intersection;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-determinization;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-interall;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-interall;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-10-*.mata;0.35;0.0630346;0.018104600000000002;0.236261; 0.0003010000; True; 0.2620410000; 0.3733245000;0.08; 0.045316; 0.015003;0.035696000000000006;0.01021; 3e-06; true; 0.110865;0.09; 0.034433; 0.015928;0.036351;0.011002999999999999; 3e-06; true; 0.102335;0.27; 0.026527; 0.010659;0.002148;0.105014;0.136963; 4e-06; true; 0.28415;0.12; 0.017321; 0.008706;0.00036;0.031797;0.067242; 0.000703; true; 0.129171;11.81; 0.055049; 0.017611;11.901872000000001; 0.328996; false; 12.4081;1.17; 0.0665; 0.0000; 0.1042; 0.0120; 0.0000; True; 0.1162; 0.1833;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.43; 0.0608; 0.0072; 0.7458; 0.3944; 0.4006; True; 1.1464; 1.2261;1.23;0.17579417; 3.1425E-5; 0.004049473; false; 0.010547972; 0.321316461;1.18;0.033148162; 9.0499E-5; 0.001245918; false; 0.008979083; 0.199437268
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-11-*.mata;0.52;0.05782689999999999;0.025869299999999998;0.3629423; 0.0001681000; True; 0.3928099000; 0.4836492000;0.12; 0.042405; 0.015282;0.062836;0.017554; 3e-06; true; 0.142203;0.14; 0.039507; 0.016658;0.081379;0.024999; 3e-06; true; 0.167269;0.74; 0.041762; 0.015455;0.004034;0.33626100000000003;0.37749900000000003; 5e-06; true; 0.779635;0.43; 0.0408; 0.017481;0.000705;0.119365;0.250966; 0.00182; true; 0.436948;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.55; 0.0823; 0.0000; 0.2458; 0.0293; 0.0000; True; 0.2752; 0.3580;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;3.53; 0.0672; 0.0088; 1.6157; 0.6972; 0.7296; True; 2.3454; 2.4664;1.4;0.19458911899999998; 4.4179E-5; 0.002766333; false; 0.008563595; 0.329919158;1.14;0.040209760000000004; 9.0278E-5; 0.001194693; false; 0.008393816; 0.178951163
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-12-*.mata;1.09;0.08110090000000002;0.0414008;0.8333167; 0.0002945000; True; 0.8781206000; 1.0035033000;0.26; 0.049928; 0.017661;0.171031;0.044246; 2e-06; true; 0.288045;0.27; 0.050969; 0.018038;0.174814;0.045348; 3e-06; true; 0.29499;1.22; 0.054917; 0.020222;0.002965;0.5405249999999999;0.6399650000000001; 4e-06; true; 1.262;1.0; 0.055081; 0.016657;0.0009589999999999998;0.295492;0.606132; 0.004736; true; 0.98498;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.88; 0.1021; 0.0000; 0.5846; 0.0657; 0.0000; True; 0.6505; 0.7532;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;9.63; 0.0828; 0.0117; 5.4722; 2.8424; 2.9120; True; 8.3842; 8.5939;1.81;0.23913263700000004; 4.4538E-5; 0.003803623; false; 0.016511094; 0.439265951;1.15;0.04104720900000001; 9.2884E-5; 0.001347872; false; 0.008733245; 0.176523006
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-13-*.mata;2.44;0.08445649999999999;0.0890111;2.1386426; 0.0001856000; True; 2.2308128000; 2.3593244000;0.53; 0.055378; 0.020694;0.418416;0.11005799999999999; 3e-06; true; 0.610302;0.56; 0.056873; 0.02487;0.421973;0.109494; 3e-06; true; 0.620143;3.89; 0.062222; 0.021193;0.005745;1.9519509999999998;1.953308; 4e-06; true; 3.99962;2.07; 0.039209; 0.022;0.001105;0.572026;1.344742; 0.011574; true; 1.99703;ERR;ERR;ERR;ERR;ERR;ERR;ERR;2.65; 0.1038; 0.0000; 1.3905; 0.1459; 0.0000; True; 1.5365; 1.6408;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;21.65; 0.1256; 0.0154; 13.7787; 6.3871; 6.5355; True; 20.3143; 20.7626;1.7;0.24600359599999996; 3.8755E-5; 0.003744246; false; 0.011478944; 0.401048921;1.39;0.06416519899999999; 1.13881E-4; 0.001331321; false; 0.009990354; 0.216362574
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-14-*.mata;5.32;0.0856274;0.22901080000000001;4.652810199999999; 0.0003126000; True; 4.8858635000; 5.0146030000;1.25; 0.080268; 0.03163;1.016119;0.270851; 4e-06; true; 1.4071;1.2; 0.074327; 0.027661;0.9592579999999999;0.261219; 3e-06; true; 1.32987;9.83; 0.069969; 0.023744;0.006218;4.7676300000000005;5.154199; 5e-06; true; 10.0279;5.08; 0.077259; 0.02844;0.001253;1.4630960000000002;3.215015; 0.014594; true; 4.80805;ERR;ERR;ERR;ERR;ERR;ERR;ERR;4.85; 0.1356; 0.0000; 3.3215; 0.3719; 0.0000; True; 3.6936; 3.8313;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;43.14; 0.1275; 0.0156; 26.9571; 14.8779; 15.1934; True; 42.1506; 42.9311;1.46;0.233670583; 4.2659E-5; 0.00348735; false; 0.011498488; 0.392004615;1.08;0.053737652000000004; 1.23397E-4; 0.00129953; false; 0.00992223; 0.185487067
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-15-*.mata;11.19;0.09606730000000002;0.37511279999999997;10.4386934; 0.0003491000; True; 10.8186538000; 10.9602819000;2.22; 0.082348; 0.027448;1.867566;0.466723; 4e-06; true; 2.45147;2.26; 0.083614; 0.025611;1.875501;0.48190299999999997; 3e-06; true; 2.47364;17.26; 0.086765; 0.033334;0.009864;8.089607;9.383356; 5e-06; true; 17.6116;8.29; 0.076187; 0.026721;0.001486;2.83512;5.051201; 0.01202; true; 8.01097;ERR;ERR;ERR;ERR;ERR;ERR;ERR;7.86; 0.0979; 0.0000; 6.5962; 0.7478; 0.0000; True; 7.3441; 7.4451;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.87;0.270823182; 3.5471E-5; 0.004225809; false; 0.024048782; 0.492441022;1.28;0.063625432; 9.5022E-5; 0.001235584; false; 0.008551259; 0.210524104
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-16-*.mata;21.34;0.0657753;0.6977145;20.1841133; 0.0001882000; True; 20.8856355000; 20.9846767000;4.33; 0.090618; 0.02989;3.018356;1.605588; 4e-06; true; 4.75466;4.66; 0.051358; 0.019231;3.233546;1.841428; 4e-06; true; 5.15555;35.11; 0.097377; 0.030791;0.009522;18.367736999999998;17.353551; 4e-06; true; 35.8662;24.24; 0.103936; 0.036689;0.00152;8.466446;14.743223; 0.010875; true; 23.3721;ERR;ERR;ERR;ERR;ERR;ERR;ERR;17.92; 0.1541; 0.0000; 15.6802; 2.3044; 0.0000; True; 17.9847; 18.1447;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.76;0.24295675900000005; 4.8092E-5; 0.018486235; false; 0.027345393; 0.437011488;1.3;0.058592442; 1.01186E-4; 0.001353592; false; 0.009184175; 0.242197939
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-17-*.mata;46.77;0.10797670000000001;1.5836021999999998;43.4116376; 0.0002929000; True; 45.0003196000; 45.1525592000;13.0; 0.059201; 0.022789;9.043091;4.988376000000001; 4e-06; true; 14.1295;14.41; 0.110632; 0.03433;10.468491;5.0588619999999995; 4e-06; true; 15.6937;TO; 0.095424; 0.036901;0.009567;22.730264;24.925184;MISSING;MISSING;MISSING;41.24; 0.085649; 0.031587;0.000958;14.616119999999999;24.165565; 0.000234; true; 38.9076;ERR;ERR;ERR;ERR;ERR;ERR;ERR;35.89; 0.1720; 0.0000; 32.5379; 5.0939; 0.0000; True; 37.6319; 37.8133;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.75;0.2804263169999999; 3.1816E-5; 0.007224351; false; 0.023789305; 0.475304706;1.37;0.08684847899999999; 1.68698E-4; 0.001438183; false; 0.01035863; 0.25918266
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-18-*.mata;TO;0.1050193;2.8017135;50.4822233;MISSING;MISSING;MISSING;MISSING;35.62; 0.06825; 0.025936;26.503877;11.936965; 4e-06; true; 38.5722;38.45; 0.14009; 0.051942;29.001396999999997;12.648448; 1.6e-05; true; 41.884;TO; 0.124376; 0.036987;0.011354999999999999;24.488056999999998;26.818924;MISSING;MISSING;MISSING;TO; 0.074052; 0.027065;0.001134;18.491973;37.245419999999996;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.04;0.440853665; 3.8822E-5; 0.003697455; false; 0.011049671; 0.696348881;1.57;0.11913083699999999; 1.1223E-4; 0.001782243; false; 0.019366248; 0.443878512
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-19-*.mata;TO;0.11122990000000002;1.3456571;35.5167515;MISSING;MISSING;MISSING;MISSING;TO; 0.120591; 0.039329;29.670348;11.614739;MISSING;MISSING;MISSING;TO; 0.080859; 0.030915;28.707541;11.138845;MISSING;MISSING;MISSING;TO; 0.157775; 0.052174;0.012343;27.271344;27.845567000000003;MISSING;MISSING;MISSING;TO; 0.134762; 0.042967;0.0020900000000000003;20.288151;24.081419;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.39;0.5495593240000001; 4.5649E-5; 0.008207496; false; 0.01661932; 0.791544573;1.42;0.12762214200000002; 1.01328E-4; 0.001187012; false; 0.017401751; 0.385551805
