name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-inclusion_check;automata-inclusion_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-inclusion_check;vata-inclusion_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-inclusion_check;awali-inclusion_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-inclusion;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-inclusion;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-determinization;pyautomata-lib-inclusion;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-intersection;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-inclusion_check;java-brics-inclusion_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata;0.24;0.140725;0.0097747;0.030123300000000002; 0.0537330000; True; 0.0978342000; 0.3012216000;0.09; 0.06864; 0.031702;0.0008590000000000001;0.00037600000000000003; 5e-06; true; 0.105793;0.15; 0.109707; 0.044387;0.001493;0.000557; 9e-06; true; 0.16223;0.11; 0.06642; 0.030619;0.008511999999999999;0.004549;0.006341; 0.002905; true; 0.124196;0.17; 0.113892; 0.048368;0.0023429999999999996;0.006351;0.005754; 0.003713; true; 0.188167;ERR;ERR;ERR;1.26; 0.1894; 0.0000; 0.0286; 0.0000; 0.0000; True; 0.0287; 0.2188;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.31; 0.1913; 0.0747; 0.1638;0.0079; 0.0080; True; 0.1719; 0.4387;2.18;0.36499986300000004;0.059115500999999994; 0.020421673; true; 0.085930564; 0.663119713;1.31;0.064093073;0.004824089; 0.011670867; true; 0.033379499; 0.273264224
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata;0.19;0.07149090000000001;0.0089149;0.014103000000000001; 0.0486111000; True; 0.0741014000; 0.1947887000;0.04; 0.037537; 0.016679;0.000148;5.099999999999999e-05; 7e-06; true; 0.056793;0.04; 0.035907; 0.017065;0.000144;5.4e-05; 8e-06; true; 0.055678;0.04; 0.030786; 0.011503;0.002369;0.00024;0.000315; 0.000384; true; 0.047328;0.05; 0.035996; 0.017035;0.000663;0.0009939999999999999;0.0007819999999999999; 0.001693; true; 0.060532;ERR;ERR;ERR;1.21; 0.0756; 0.0000; 0.0007; 0.0000; 0.0000; True; 0.0008; 0.0768;1.09; 0.0444; 0.0026; 0.0498; 0.1652; True; 0.2151; 0.2624;1.3; 0.0669; 0.0081; 0.0053;0.0021000000000000003; 0.0022; True; 0.0075; 0.0829;1.58;0.215673415;0.032525491; 0.009819622; true; 0.049013259; 0.405657703;1.04;0.056905619;0.003649714; 0.002814197; true; 0.013491139; 0.256168039
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut10.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata;0.16;0.0562321;0.0055095000000000005;0.031291599999999996; 0.0273279000; True; 0.0658380000; 0.1477749000;0.07; 0.054651; 0.0235;0.002443;0.000869; 0.000122; true; 0.086017;0.07; 0.054498; 0.025156;0.00248;0.000911; 0.000125; true; 0.087845;0.27; 0.054734; 0.026801;0.011222999999999999;0.042992;0.134247; 0.004467; true; 0.291114;0.19; 0.08946; 0.041631;0.0026249999999999997;0.025239;0.034391000000000005; 0.002219; true; 0.202487;ERR;ERR;ERR;0.98; 0.1174; 0.0000; 0.0105; 0.0002; 0.0002; True; 0.0109; 0.1287;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.52; 0.1741; 0.0182; 0.3191;0.0066; 0.0069; True; 0.3260; 0.5194;2.12;0.25786916;0.113719095; 0.030324435; true; 0.152739926; 0.595855332;1.75;0.065796906;0.14393488200000001; 0.001564602; true; 0.15311923; 0.411750601
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.19;0.0828961;0.007522300000000001;0.0165771; 0.0348926000; True; 0.0617553000; 0.1807256000;0.09; 0.072624; 0.032078;0.00040899999999999997;0.00014099999999999998; 9e-06; true; 0.111856;0.12; 0.084939; 0.037342;0.00048199999999999995;0.000164; 9e-06; true; 0.129296;0.15; 0.08805; 0.037136;0.020035999999999998;0.0015010000000000002;0.0014399999999999999; 0.006561; true; 0.16078;0.15; 0.089134; 0.03696;0.003141;0.0020080000000000002;0.001755; 0.023471; true; 0.163369;ERR;ERR;ERR;1.27; 0.1823; 0.0000; 0.0046; 0.0000; 0.0000; True; 0.0048; 0.1879;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.07; 0.0995; 0.0144; 0.0287;0.022699999999999998; 0.0229; True; 0.0517; 0.1661;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.58;0.078034648;0.0033989819999999996; 0.068449435; true; 0.079799108; 0.378306525
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata;0.16;0.05680260000000001;0.0081838;0.012691599999999999; 0.0347616000; True; 0.0593838000; 0.1671945000;0.02; 0.016241; 0.00943;1.8e-05;1.3000000000000001e-05; 7e-06; true; 0.027391;0.02; 0.015727; 0.009551;1.6e-05;1.1000000000000001e-05; 8e-06; true; 0.026863;0.02; 0.016522; 0.009054;0.0012239999999999998;8e-06;1e-05; 8.4e-05; true; 0.028445;0.02; 0.016613; 0.009065;0.00020700000000000002;0.000728;0.000589; 0.000783; true; 0.030599;ERR;ERR;ERR;1.23; 0.0688; 0.0000; 0.0002; 0.0001; 0.0000; True; 0.0004; 0.0695;1.29; 0.0243; 0.0009; 0.0883; 0.1137; True; 0.2020; 0.2275;0.9; 0.0263; 0.0016; 0.0001;0.0004; 0.0004; True; 0.0005; 0.0286;1.42;0.18011085500000001;0.059476861; 0.013724179; true; 0.079468243; 0.41735044;1.17;0.044017217000000004;0.0025009299999999997; 8.28017E-4; true; 0.010753357; 0.220300862
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata;0.16;0.063736;0.0084446;0.0144761; 0.0360844000; True; 0.0629310000; 0.1826469000;0.02; 0.013927; 0.009865;0.000259;0.000101; 9e-06; true; 0.026083;0.02; 0.014827; 0.010152;0.00028;0.00010400000000000001; 1e-05; true; 0.027314;0.02; 0.015196; 0.010189;0.001353;0.00092;0.001456; 0.000123; true; 0.031375;0.02; 0.016358; 0.010371;0.00024300000000000002;0.001581;0.001327; 0.000981; true; 0.034054;ERR;ERR;ERR;1.06; 0.0293; 0.0000; 0.0008; 0.0000; 0.0000; True; 0.0008; 0.0304;1.5; 0.0947; 0.0016; 0.2672; 0.1782; True; 0.4455; 0.5433;1.24; 0.0524; 0.0022; 0.0054;0.00030000000000000003; 0.0003; True; 0.0058; 0.0608;1.51;0.21133121300000002;0.036795659999999994; 0.007981394; true; 0.052684477; 0.395680451;1.15;0.037951557;0.0026792630000000003; 7.59897E-4; true; 0.011109159; 0.167499024
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata;0.2;0.10576659999999999;0.0086827;0.0156713; 0.0382717000; True; 0.0671710000; 0.2654504000;0.08; 0.071375; 0.026272;0.000985;0.00032100000000000005; 9e-06; true; 0.102819;0.07; 0.067047; 0.024712;0.0008939999999999999;0.00026599999999999996; 9e-06; true; 0.096451;0.11; 0.070607; 0.025156;0.006437;0.005389;0.011215; 0.005498; true; 0.128675;0.08; 0.065542; 0.015697;0.0005719999999999999;0.002379;0.0024879999999999998; 0.001641; true; 0.091137;ERR;ERR;ERR;1.26; 0.1590; 0.0000; 0.0075; 0.0002; 0.0000; True; 0.0077; 0.1672;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.35; 0.1629; 0.0125; 0.1541;0.0066; 0.0067; True; 0.1608; 0.3370;1.94;0.403596949;0.049778121999999994; 0.135964937; true; 0.193086822; 0.867816878;1.54;0.116256658;0.004560797; 0.034674507; true; 0.064184924; 0.443080826
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.18;0.1706211;0.0090473;0.0145352; 0.0391362000; True; 0.0751899000; 0.6801256000;0.02; 0.017993; 0.012836;2.3e-05;2.9e-05; 5e-05; true; 0.033418;0.02; 0.017819; 0.014305;2.4e-05;1.4000000000000001e-05; 1e-05; true; 0.034704;0.03; 0.01721; 0.013573;0.002985;2.5e-05;1.7e-05; 0.000499; true; 0.036786;0.03; 0.017965; 0.013676;0.000481;0.000897;0.0006619999999999999; 0.001548; true; 0.039048;ERR;ERR;ERR;1.24; 0.0459; 0.0000; 0.0005; 0.0000; 0.0000; True; 0.0006; 0.0468;1.64; 0.0434; 0.0026; 0.0284; 0.3806; True; 0.4090; 0.4555;0.91; 0.0249; 0.0028; 0.0003;0.0008; 0.0009; True; 0.0011; 0.0291;1.51;0.19264651900000002;0.0434466; 0.011822727; true; 0.062289992; 0.378382813;1.25;0.097599416;0.006130785999999999; 0.00486571; true; 0.025502202; 0.419627249
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.19;0.16962139999999998;0.0104809;0.0164371; 0.0665644000; True; 0.1029129000; 0.3772232000;0.12; 0.151626; 0.077684;2.4e-05;1.1000000000000001e-05; 1e-05; true; 0.23963;0.11; 0.123655; 0.062032;2.1000000000000002e-05;1e-05; 9e-06; true; 0.19443;0.15; 0.123292; 0.063572;0.028329;0.0005660000000000001;3.8e-05; 0.009378; true; 0.233337;0.17; 0.123039; 0.076653;0.005077;0.002891;0.001628; 0.035735; true; 0.256913;ERR;ERR;ERR;1.47; 0.2134; 0.0000; 0.0006; 0.0000; 0.0002; True; 0.0008; 0.2149;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.52; 0.2013; 0.0394; 0.0007;0.07; 0.0702; True; 0.0709; 0.3125;2.87;0.73933368;0.079716276; 0.24847755; true; 0.338930174; 1.440354292;1.28;0.07788197499999999;0.002253927; 0.070066193; true; 0.079458811; 0.455349343
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.23;0.11763639999999999;0.010646800000000003;0.0136511; 0.0527765000; True; 0.0827032000; 0.2636160000;0.15; 0.148173; 0.059427;0.00014;3.9999999999999996e-05; 9e-06; true; 0.216048;0.15; 0.14679; 0.065242;0.000138;4.1e-05; 9e-06; true; 0.220373;0.18; 0.143012; 0.066417;0.022818000000000005;0.000476;0.00043; 0.001083; true; 0.242749;0.17; 0.158647; 0.065213;0.003773;0.0024370000000000004;0.00133; 0.003422; true; 0.244325;ERR;ERR;ERR;1.44; 0.2236; 0.0000; 0.0027; 0.0003; 0.0000; True; 0.0031; 0.2275;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.07; 0.1319; 0.0182; 0.0142;0.0043; 0.0045; True; 0.0187; 0.1698;2.34;0.35994888100000005;0.107159275; 0.051310376; true; 0.164927875; 0.683255558;1.5;0.091337944;0.004702416; 0.002478313; true; 0.046440114; 0.317454384
