name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.22; 0.0681181000;0.055290900000000004; 0.0909709000; 0.0001933000; False; 0.1487547000; 0.2759686000;0.06; 0.064805; 0.0032; 0.000255; 0.000119; false; 0.075413;0.06; 0.065323; 0.003131; 0.000219; 0.000117; false; 0.07567;0.11; 0.06309; 0.029903; 0.014541; 0.003765; 0.004011; false; 0.121646;0.05; 0.042597; 0.002195; 0.006007; 0.001602; 0.001202; false; 0.057606;ERR;1.27; 0.0842; 0.0000; 0.0071; 0.0004; 0.0000; False; 0.0076; 0.0928;1.09; 0.0551; 0.0402; 0.0598; 0.0607; 0.0045; False; 0.0652; 0.1609;1.22; 0.0919; 0.0340; 0.0339; 0.0383; 0.0001; False; 0.0385; 0.1653;2.61; 0.533489123; 0.038172716; 0.002001482; false; 0.045689547; 0.916969735;1.76; 0.151138156; 0.077288682; 3.4899E-5; false; 0.096947386; 0.502244294
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.22; 0.0640546000;0.010221699999999998; 0.0747596000; 0.0001987000; False; 0.0876853000; 0.2146349000;0.04; 0.044865; 0.002407; 0.000176; 9.3e-05; false; 0.052868;0.04; 0.04494; 0.002539; 0.000159; 9.9e-05; false; 0.052941;0.1; 0.042066; 0.027124; 0.014456; 0.004958; 0.005608; false; 0.09906;0.06; 0.046206; 0.003256; 0.006438; 0.002191; 0.001723; false; 0.06598;ERR;1.32; 0.0670; 0.0000; 0.0060; 0.0002; 0.0000; False; 0.0063; 0.0741;1.21; 0.0603; 0.0296; 0.0573; 0.0585; 0.0054; False; 0.0639; 0.1542;1.41; 0.0773; 0.0274; 0.0279; 0.0318; 0.0001; False; 0.0320; 0.1376;2.42; 0.437721906; 0.082362503; 0.01386662; false; 0.107127207; 0.829650294;1.71; 0.177752571; 0.065481632; 2.5339E-5; false; 0.07525307; 0.615714168
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.1; 0.0295172000;0.0055187000000000005; 0.0301583000; 0.0001177000; False; 0.0373259000; 0.1011974000;0.02; 0.018566; 0.001823; 0.00011; 8.1e-05; false; 0.023002;0.01; 0.009962; 0.000964; 7.2e-05; 4.1e-05; false; 0.012403;0.02; 0.010148; 0.004201; 0.003833; 0.000851; 0.000812; false; 0.020956;0.01; 0.010262; 0.000752; 0.002589; 0.000901; 0.000623; false; 0.016898;ERR;1.18; 0.0311; 0.0000; 0.0034; 0.0001; 0.0000; False; 0.0036; 0.0352;1.02; 0.0190; 0.0039; 0.0214; 0.0218; 0.0010; False; 0.0229; 0.0461;1.19; 0.0326; 0.0098; 0.0188; 0.0212; 0.0001; False; 0.0214; 0.0643;1.88; 0.169948883; 0.028339318; 0.001745028; false; 0.035195453; 0.424899943;1.24; 0.047100327; 0.031477491; 3.024E-5; false; 0.056403945; 0.304472966
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;2.39; 1.6203394000;0.0053806; 0.2523056000; 0.0002159000; False; 0.2593514000; 2.4196859000;6.24; 3.53765; 2.73583; 0.009629; 0.006552; false; 6.63941;5.76; 2.59051; 3.07014; 0.010089; 0.006926; false; 6.02874;13.69; 3.73467; 1.95095; 7.345; 0.308378; 0.220698; false; 13.9387;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;7.96; 4.6197; 0.0000; 3.0498; 0.0177; 0.0000; False; 3.0677; 7.7132;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;52.24; 3.5576; 1.5031; 48.3908; 48.5675; 0.0001; False; 48.5677; 53.6481;23.37; 18.074218489; 0.144772785; 0.006119882; false; 0.168039287; 19.686001116;9.15; 2.380280284; 0.723521453; 3.4485E-5; false; 0.730616235; 4.709157704
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.46; 0.2561211000;0.0089667; 0.1029873000; 0.0001973000; False; 0.1147210000; 0.5253371000;0.4; 0.319726; 0.069889; 0.001871; 0.000762; false; 0.426484;0.34; 0.306616; 0.035072; 0.00125; 0.000491; false; 0.364881;0.61; 0.193056; 0.206628; 0.167698; 0.01966; 0.017857; false; 0.634122;0.5; 0.347588; 0.056699; 0.070539; 0.01891; 0.018701; false; 0.541673;ERR;1.57; 0.4675; 0.0000; 0.0787; 0.0021; 0.0000; False; 0.0809; 0.5508;3.95; 0.2976; 0.0940; 2.4741; 2.4860; 0.1169; False; 2.6029; 2.9961;2.76; 0.4825; 0.1496; 1.0975; 1.1342; 0.0001; False; 1.1344; 1.7690;3.58; 0.911148891; 0.076953051; 0.002216344; false; 0.085059658; 1.489349051;2.83; 0.382599229; 0.073675283; 3.5011E-5; false; 0.093238091; 0.870016324
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.25; 0.0747826000;0.0086147; 0.0901127000; 0.0002145000; False; 0.1013148000; 0.2438868000;0.08; 0.06113; 0.015962; 0.000491; 0.000177; false; 0.084417;0.07; 0.060515; 0.015787; 0.00065; 0.000163; false; 0.08347;0.19; 0.067581; 0.033288; 0.064215; 0.011336; 0.011374; false; 0.193497;0.1; 0.068174; 0.005453; 0.015268; 0.004891; 0.004397; false; 0.105768;ERR;1.11; 0.0556; 0.0000; 0.0125; 0.0005; 0.0000; False; 0.0131; 0.0696;1.99; 0.0917; 0.0277; 0.8217; 0.8249; 0.0245; False; 0.8495; 0.9693;1.44; 0.0926; 0.0241; 0.2433; 0.2519; 0.0001; False; 0.2520; 0.3694;2.67; 0.479911283; 0.056781219; 0.002414786; false; 0.065983472; 0.752717497;1.92; 0.157117949; 0.055442374; 3.4363E-5; false; 0.064843633; 0.502909295
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.29; 0.1135934000;0.008715500000000001; 0.0857128000; 0.0001972000; False; 0.0972849000; 0.2873371000;0.13; 0.11583; 0.020485; 0.00077; 0.000261; false; 0.147;0.1; 0.087375; 0.019839; 0.000637; 0.000233; false; 0.117683;0.27; 0.088992; 0.049932; 0.099148; 0.014348; 0.014452; false; 0.275042;0.23; 0.158083; 0.017339; 0.033963; 0.009765; 0.009035; false; 0.242477;ERR;1.21; 0.1272; 0.0000; 0.0268; 0.0012; 0.0000; False; 0.0281; 0.1569;3.89; 0.2315; 0.0748; 2.4761; 2.4830; 0.0625; False; 2.5456; 2.8528;1.94; 0.1870; 0.0650; 0.6513; 0.6613; 0.0001; False; 0.6614; 0.9142;3.39; 0.77394206; 0.049627725; 0.002398405; false; 0.058812079; 1.111470426;2.39; 0.259177998; 0.058512039; 3.1217E-5; false; 0.065366744; 0.687782709
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.11; 0.0260160000;0.005517800000000001; 0.0298664000; 0.0001267000; False; 0.0371586000; 0.0997864000;0.0; 0.004703; 0.000718; 5.3e-05; 2.3e-05; false; 0.006197;0.0; 0.002377; 0.000359; 3.4e-05; 1.3e-05; false; 0.003205;0.01; 0.004728; 0.001978; 0.002703; 0.000596; 0.0006; false; 0.011246;0.0; 0.002425; 0.000174; 0.001179; 0.000528; 0.000261; false; 0.005439;ERR;1.18; 0.0153; 0.0000; 0.0013; 0.0001; 0.0000; False; 0.0014; 0.0170;1.23; 0.0150; 0.0023; 0.0142; 0.0146; 0.0006; False; 0.0153; 0.0329;1.16; 0.0086; 0.0015; 0.0035; 0.0040; 0.0000; False; 0.0040; 0.0143;1.26; 0.113270935; 0.015033968; 0.002168307; false; 0.022767943; 0.223816874;1.1; 0.047076605; 0.016196653; 3.2887E-5; false; 0.02449267; 0.173980173
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.25; 0.0924298000;0.0088431; 0.0936787000; 0.0002137000; False; 0.1051960000; 0.2838052000;0.07; 0.058373; 0.016629; 0.000425; 0.000172; false; 0.08362;0.08; 0.068102; 0.016735; 0.000515; 0.000184; false; 0.092379;0.14; 0.067896; 0.028201; 0.03656; 0.005157; 0.00545; false; 0.148782;0.09; 0.067437; 0.005634; 0.014777; 0.004582; 0.004081; false; 0.103014;ERR;1.29; 0.0959; 0.0000; 0.0213; 0.0007; 0.0000; False; 0.0221; 0.1190;2.26; 0.1022; 0.0310; 0.9409; 0.9441; 0.0256; False; 0.9698; 1.1036;1.18; 0.0681; 0.0134; 0.2116; 0.2210; 0.0001; False; 0.2211; 0.3033;2.65; 0.437565323; 0.033548223; 0.015296173; false; 0.056655077; 0.703473217;1.96; 0.164495141; 0.062864659; 2.7551E-5; false; 0.068864448; 0.485633022
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.31; 0.1254379000;0.0081763; 0.0910097000; 0.0001527000; False; 0.1018110000; 0.3094839000;0.1; 0.090168; 0.01861; 0.000551; 0.000206; false; 0.119574;0.2; 0.172194; 0.034593; 0.000888; 0.000388; false; 0.22552;0.28; 0.090638; 0.050141; 0.087843; 0.020211; 0.024332; false; 0.281951;0.19; 0.131339; 0.015944; 0.034108; 0.009933; 0.009541; false; 0.210555;ERR;1.19; 0.1334; 0.0000; 0.0233; 0.0010; 0.0000; False; 0.0244; 0.1595;3.29; 0.2484; 0.0879; 1.9165; 1.9227; 0.0556; False; 1.9784; 2.3156;1.95; 0.2397; 0.0665; 0.5470; 0.5664; 0.0001; False; 0.5665; 0.8742;3.71; 0.877475137; 0.048116821; 0.002326526; false; 0.056623387; 1.225084364;2.76; 0.365970667; 0.057811443; 2.8847E-5; false; 0.065069446; 0.815872229
