name;java-automatalib-runtime;java-automatalib-construction;java-automatalib-intersection;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-inclusion_check;java-brics-inclusion_result;java-brics-interpretation;java-brics-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata;2.12;0.32707836600000006;0.080347371; 0.034533176; true; 0.123795127; 0.698672992;1.36;0.073831521;0.005916281; 0.008050201; true; 0.021953714; 0.283231297;0.1; 0.066604; 0.039287;0.0016090000000000002;0.000634; 1.1e-05; true; 0.115386;0.16; 0.117165; 0.045787;0.013155;0.000448;9.4e-05; 9e-06; true; 0.183397;0.1; 0.066771; 0.039143;0.001657;0.000599; 8e-06; true; 0.114717
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.4;0.060691719;0.004513948; 0.002813732; true; 0.015393341; 0.328933499;0.04; 0.034387; 0.015921;0.000143;4.3e-05; 8e-06; true; 0.053078;0.05; 0.037773; 0.016424;0.002839;8.099999999999999e-05;4.9999999999999996e-05; 9e-06; true; 0.05973;0.04; 0.035739; 0.016593;0.000166;4.9e-05; 8e-06; true; 0.05505
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut10.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata;2.51;0.361750115;0.09136727900000001; 0.049822708; true; 0.155323262; 0.793937051;2.18;0.11552634;0.208188312; 0.002635494; true; 0.240467802; 0.728003033;0.12; 0.091686; 0.038614;0.003153;0.0010379999999999999; 0.000139; true; 0.142777;0.11; 0.075684; 0.034587;0.009357;0.00039799999999999997;0.00010400000000000001; 7.4e-05; true; 0.126786;0.12; 0.087913; 0.041582;0.005308;0.001801; 0.000229; true; 0.14577
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;TO;0.152904352;MISSING;MISSING;MISSING;MISSING;MISSING;1.84;0.075202511;0.002160098; 0.098864246; true; 0.139163526; 0.455037833;0.12; 0.091504; 0.042894;0.000456;0.000152; 1.2e-05; true; 0.142793;0.14; 0.089487; 0.035182;0.032559;0.00039900000000000005;0.00012100000000000001; 1.3e-05; true; 0.165354;0.12; 0.089194; 0.041251;0.0005710000000000001;0.000176; 1e-05; true; 0.138114
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata;1.43;0.21447416600000002;0.05573171999999999; 0.041728449; true; 0.117035855; 0.483284928;1.12;0.028249899000000002;0.00255916; 9.22796E-4; true; 0.009164634; 0.173597205;0.02; 0.015877; 0.009049;1.2e-05;6.999999999999999e-06; 9e-06; true; 0.02658;0.01; 0.009217; 0.006066;0.000518;7e-06;4e-06; 8e-06; true; 0.01687;0.01; 0.009399; 0.006057;9e-06;4.9999999999999996e-06; 6e-06; true; 0.016455
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata;1.39;0.147488174;0.079887761; 0.010906897; true; 0.122996817; 0.465856826;1.08;0.03498727;0.007778784; 8.44228E-4; true; 0.017291025; 0.196350085;0.01; 0.010169; 0.008805;0.000132;4.9e-05; 8e-06; true; 0.020279;0.02; 0.014915; 0.009342;0.001153;9.3e-05;3.4e-05; 6e-06; true; 0.027134;0.02; 0.01131; 0.009148;0.000277;0.000118; 9e-06; true; 0.022689
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata;1.98;0.336717873;0.055041773; 0.04212434; true; 0.103418729; 0.619223674;1.39;0.082304607;0.013018532999999999; 0.013519132; true; 0.042778791; 0.374551553;0.08; 0.065322; 0.026108;0.001056;0.000299; 1e-05; true; 0.096471;0.07; 0.057591; 0.016017;0.008078;0.000251;9.5e-05; 1.1e-05; true; 0.08464;0.08; 0.066786; 0.022568;0.001059;0.000313; 9e-06; true; 0.094546
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.02; 0.01608; 0.012078;1.8e-05;9e-06; 1e-05; true; 0.030381;0.02; 0.016223; 0.0123;0.0019470000000000002;1.4000000000000001e-05;9.999999999999999e-06; 1e-05; true; 0.032717;0.02; 0.016134; 0.012476;1.6e-05;3.5e-05; 9e-06; true; 0.030719
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;3.86;0.549109556;0.096253275; 0.051848242; true; 0.154884637; 0.983258388;2.47;0.17278644;0.0028285; 0.185955392; true; 0.20658408; 0.7108804;0.12; 0.083914; 0.053606;1.5e-05;8e-06; 1e-05; true; 0.144189;0.15; 0.07643; 0.051549;0.027219;2.1000000000000002e-05;1e-05; 1.1e-05; true; 0.164921;0.13; 0.078946; 0.058157;2.2000000000000003e-05;9e-06; 9e-06; true; 0.148301
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;2.97;0.34809019100000005;0.12135026600000001; 0.070948174; true; 0.217264188; 0.907195578;1.66;0.08861834999999998;0.007961506; 0.010164595; true; 0.04586484; 0.407267256;0.17; 0.123634; 0.052319;0.00011399999999999999;3.4e-05; 1e-05; true; 0.185631;0.17; 0.105037; 0.054062;0.030322;4.8e-05;1.8e-05; 1.1e-05; true; 0.198939;0.15; 0.110699; 0.049388;6.699999999999999e-05;2.6000000000000002e-05; 9e-06; true; 0.165903
