name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-inclusion_check;automata-inclusion_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-inclusion_check;vata-inclusion_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-inclusion_check;awali-inclusion_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-inclusion;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-inclusion;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-determinization;pyautomata-lib-inclusion;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-intersection;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-inclusion_check;java-brics-inclusion_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata;0.22;0.08939870000000001;0.0101889;0.0264309; 0.0730346000; True; 0.1136527000; 0.2566401000;0.15; 0.111669; 0.048205;0.001471;0.000661; 1.7e-05; true; 0.169078;0.1; 0.067546; 0.033091;0.008001999999999999;0.00027299999999999997;6e-05; 2.5e-05; true; 0.113772;0.15; 0.113514; 0.049852;0.001409;0.000635; 7e-06; true; 0.171985;0.18; 0.101338; 0.046407;0.014570000000000001;0.008914;0.010986; 0.005485; true; 0.195581;0.1; 0.065886; 0.029668;0.001285;0.003735;0.0036200000000000004; 0.002716; true; 0.111893;ERR;ERR;ERR;1.34; 0.2007; 0.0000; 0.0080; 0.0000; 0.0000; True; 0.0081; 0.2093;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.47; 0.1896; 0.0175; 0.1103;0.0085; 0.0086; True; 0.1189; 0.3267;2.66;0.3408559299999999;0.128862971; 0.065950006; true; 0.201950074; 0.774558926;1.72;0.12030927899999999;0.10366783100000002; 0.007293676; true; 0.129342232; 0.408248935
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata;0.2;0.0695776;0.0088012;0.014385100000000001; 0.0512943000; True; 0.0769962000; 0.1892714000;0.03; 0.030077; 0.01546;0.00014000000000000001;4.3e-05; 9e-06; true; 0.048385;0.05; 0.038701; 0.016633;0.002897;7.999999999999999e-05;3.1e-05; 8e-06; true; 0.061009;0.04; 0.036371; 0.016828;0.000146;4.9999999999999996e-05; 8e-06; true; 0.05583;0.05; 0.037161; 0.016858;0.004208;0.000517;0.0006200000000000001; 0.000667; true; 0.06259;0.05; 0.036703; 0.016986;0.000648;0.001;0.000778; 0.001649; true; 0.061032;ERR;ERR;ERR;1.21; 0.0672; 0.0000; 0.0007; 0.0000; 0.0000; True; 0.0008; 0.0683;1.16; 0.0469; 0.0026; 0.0508; 0.1670; True; 0.2179; 0.2678;1.04; 0.0735; 0.0075; 0.0047;0.002; 0.0021; True; 0.0069; 0.0882;1.53;0.15888460799999998;0.039992664; 0.014499133; true; 0.061874572; 0.33496731;0.99;0.030584877000000003;0.0032986310000000002; 0.00210467; true; 0.012394514; 0.164290447
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut10.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata;0.23;0.088038;0.008057900000000002;0.0536164; 0.0417023000; True; 0.1060072000; 0.2390737000;0.12; 0.084727; 0.037782;0.004414;0.00174; 0.000202; true; 0.139304;0.12; 0.085477; 0.037069;0.010682;0.000512;0.00010300000000000001; 4.9e-05; true; 0.140592;0.11; 0.085575; 0.036952;0.004385;0.001592; 0.000205; true; 0.137041;0.31; 0.064849; 0.039347;0.012584999999999999;0.042374999999999996;0.14412699999999998; 0.006152; true; 0.33293;0.17; 0.087768; 0.037146;0.002243;0.022549;0.032211000000000004; 0.002097; true; 0.19063;ERR;ERR;ERR;1.25; 0.1942; 0.0000; 0.0203; 0.0006; 0.0003; True; 0.0213; 0.2161;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.6; 0.1967; 0.0204; 0.3395;0.0069; 0.0072; True; 0.3468; 0.5649;2.33;0.253618581;0.074070078; 0.030892089; true; 0.117111369; 0.528443261;1.79;0.065814074;0.180065216; 0.002155721; true; 0.205836423; 0.440308317
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.2;0.0903503;0.0086038;0.0183931; 0.0399010000; True; 0.0702498000; 0.2000071000;0.11; 0.085643; 0.03561;0.000462;0.00015; 1.1e-05; true; 0.128555;0.13; 0.083292; 0.035639;0.023868;0.000371;0.000112; 1.2e-05; true; 0.150231;0.11; 0.085749; 0.036326;0.00048399999999999995;0.000164; 1e-05; true; 0.129103;0.14; 0.087461; 0.03605;0.020007;0.0014089999999999999;0.001384; 0.00641; true; 0.158606;0.15; 0.086889; 0.035512;0.00312;0.001989;0.001758; 0.023274; true; 0.159242;ERR;ERR;ERR;1.01; 0.1157; 0.0000; 0.0032; 0.0000; 0.0000; True; 0.0033; 0.1195;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.42; 0.1841; 0.0294; 0.0587;0.0472; 0.0475; True; 0.1063; 0.3207;TO;0.144723251;MISSING;MISSING;MISSING;MISSING;MISSING;1.94;0.162289982;0.009160368; 0.154820042; true; 0.196740868; 0.637297775
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata;0.17;0.0648043;0.0084572;0.0133964; 0.0356834000; True; 0.0609351000; 0.1782395000;0.02; 0.016201; 0.009008;9e-06;7e-06; 2.9e-05; true; 0.026649;0.02; 0.016067; 0.008791;0.0008680000000000001;8e-06;5.999999999999999e-06; 8e-06; true; 0.027097;0.02; 0.016169; 0.009171;1.7e-05;1.2000000000000002e-05; 8e-06; true; 0.02682;0.02; 0.016503; 0.009093;0.001269;8e-06;1.1e-05; 9.5e-05; true; 0.028404;0.03; 0.016875; 0.009322;0.000211;0.000717;0.000575; 0.000793; true; 0.030938;ERR;ERR;ERR;1.27; 0.0447; 0.0000; 0.0006; 0.0003; 0.0001; True; 0.0011; 0.0463;1.3; 0.0268; 0.0008; 0.0460; 0.1087; True; 0.1548; 0.1828;1.12; 0.0366; 0.0025; 0.0001;0.0004; 0.0004; True; 0.0006; 0.0398;1.37;0.139838781;0.047072337000000006; 0.008907923; true; 0.062511396; 0.303587085;0.96;0.025909293999999996;0.0022274490000000003; 0.001249169; true; 0.009920401; 0.126041934
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata;0.16;0.057435499999999994;0.0081383;0.0139342; 0.0346162000; True; 0.0603746000; 0.1687251000;0.02; 0.01445; 0.009017;0.00025600000000000004;7.5e-05; 2.2e-05; true; 0.025355;0.02; 0.015051; 0.009288;0.0012690000000000002;0.000107;3.6e-05; 8e-06; true; 0.02731;0.01; 0.015474; 0.009701;0.00027100000000000003;8.4e-05; 1.1e-05; true; 0.027263;0.02; 0.015556; 0.00942;0.00148;0.000898;0.001153; 0.000118; true; 0.030287;0.03; 0.016319; 0.009575;0.000248;0.001452;0.001182; 0.000856; true; 0.032376;ERR;ERR;ERR;1.14; 0.0435; 0.0000; 0.0018; 0.0000; 0.0001; True; 0.0020; 0.0461;1.58; 0.0392; 0.0015; 0.1759; 0.1741; True; 0.3500; 0.3913;1.24; 0.0416; 0.0028; 0.0082;0.0005; 0.0005; True; 0.0087; 0.0534;1.34;0.188138188;0.037486096000000003; 0.006478785; true; 0.050465723; 0.394895036;1.0;0.033211046;0.008631522; 0.001173367; true; 0.017478867; 0.167986682
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata;0.21;0.09092549999999999;0.009549599999999998;0.018298599999999998; 0.0416852000; True; 0.0734790000; 0.2304305000;0.05; 0.040542; 0.015829;0.0006299999999999999;0.000221; 2e-05; true; 0.059908;0.05; 0.042017; 0.015397;0.004531;0.000139;6.400000000000001e-05; 9e-06; true; 0.064364;0.08; 0.070075; 0.023449;0.000997;0.000342; 8e-06; true; 0.098249;0.11; 0.073857; 0.02496;0.00681;0.005453;0.00992; 0.004211; true; 0.129337;0.09; 0.057204; 0.025773;0.001083;0.004041;0.004167; 0.002713; true; 0.099573;ERR;ERR;ERR;1.03; 0.0964; 0.0000; 0.0058; 0.0002; 0.0000; True; 0.0061; 0.1029;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;0.9; 0.0762; 0.0067; 0.0537;0.0033; 0.0034; True; 0.0572; 0.1406;1.62;0.189065365;0.045546851; 0.029166669; true; 0.081479339; 0.400945379;1.09;0.052375531;0.025723346; 0.011446058; true; 0.047555035; 0.424743961
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.16;0.0999902;0.0159356;0.0181715; 0.0624684000; True; 0.1148513000; 0.3684897000;0.02; 0.035157; 0.06118;3.1e-05;8e-06; 4.1e-05; true; 0.099113;0.02; 0.044552; 0.024796;0.001944;1.3000000000000001e-05;7e-06; 9e-06; true; 0.073591;0.02; 0.025197; 0.025403;2.4e-05;1.8e-05; 8e-06; true; 0.053807;0.03; 0.024877; 0.028384;0.003197;2.8000000000000003e-05;2e-05; 0.001184; true; 0.060796;0.02; 0.028497; 0.026176;0.000483;0.0013870000000000002;0.001566; 0.002708; true; 0.064296;ERR;ERR;ERR;1.38; 0.0469; 0.0000; 0.0002; 0.0000; 0.0000; True; 0.0003; 0.0476;1.15; 0.0281; 0.0017; 0.0154; 0.1885; True; 0.2039; 0.2342;1.17; 0.0495; 0.0057; 0.0005;0.0016; 0.0017; True; 0.0023; 0.0578;1.53;0.167884969;0.044113045; 0.012058889; true; 0.061860274; 0.360102098;1.21;0.028332536999999998;0.0024095770000000004; 0.003167066; true; 0.01404598; 0.155378318
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.23;0.1452963;0.0101988;0.0142025; 0.0481908000; True; 0.0809382000; 0.3382931000;0.12; 0.104027; 0.070807;2.7000000000000002e-05;9e-06; 3.4e-05; true; 0.18413;0.15; 0.172755; 0.108795;0.026867;2e-05;9e-06; 1.2e-05; true; 0.318603;0.12; 0.142823; 0.074554;3e-05;1.6e-05; 8e-06; true; 0.226578;0.16; 0.096419; 0.047658;0.029852;5.6999999999999996e-05;3.1e-05; 0.010199; true; 0.192803;0.17; 0.087786; 0.050624;0.0049510000000000005;0.000981;0.0007289999999999999; 0.037888; true; 0.193392;ERR;ERR;ERR;1.05; 0.1460; 0.0000; 0.0004; 0.0000; 0.0000; True; 0.0005; 0.1477;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.53; 0.3137; 0.0566; 0.0014;0.0676; 0.0680; True; 0.0695; 0.4413;4.16;0.866758862;0.107427231; 0.123279721; true; 0.269087056; 1.466828564;2.42;0.196847455;0.013496443; 0.142539607; true; 0.177220035; 0.72844455
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.22;0.1062033;0.009321;0.013618499999999999; 0.0485091000; True; 0.0754553000; 0.2358504000;0.14; 0.112374; 0.046615;0.000123;2.9e-05; 0.000201; true; 0.167482;0.17; 0.112544; 0.045413;0.024144000000000002;4.7999999999999994e-05;1.7e-05; 8e-06; true; 0.190341;0.15; 0.11422; 0.047417;0.00013199999999999998;3.699999999999999e-05; 7e-06; true; 0.169727;0.17; 0.11668; 0.044749;0.021807000000000003;0.000449;0.0004; 0.001019; true; 0.192264;0.18; 0.1202; 0.066354;0.0034539999999999996;0.009135;0.00309; 0.003701; true; 0.216793;ERR;ERR;ERR;1.35; 0.2820; 0.0000; 0.0027; 0.0004; 0.0008; True; 0.0040; 0.2870;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.4; 0.2117; 0.0331; 0.0256;0.0078000000000000005; 0.0081; True; 0.0338; 0.2799;2.72;0.58885773;0.167846377; 0.074901251; true; 0.277583588; 1.227933171;1.49;0.119190417;0.007775237999999999; 0.006671681; true; 0.040480417; 0.520151818
