                                                                         Average / Median / Average with Timeouts                                                                         
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
op     mata           mata-old       mata-sim       awali          mona            vata           automata       brics          (j)alib        fado           (py)alib       (py)mata
-----  -------------  -------------  -------------  -------------  --------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------
compl  0.0, 0.0, 0.4  0.0, 0.0, 0.4  0.0, 0.0, 0.3  0.0, 0.0, 1.6  0.0, 0.0, 51.4  0.1, 0.0, 0.6  0.1, 0.1, 0.1  0.1, 0.1, 1.3  0.0, 0.0, 1.2  0.3, 0.1, 1.9  0.3, 0.0, 1.8  0.0, 0.0, 1.2
deter  -              -              -              -              -               -              -              -              -              0.3, 0.1, 1.9  0.2, 0.0, 1.8  -
empti  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 1.6  0.0, 0.0, 51.4  0.0, 0.0, 0.5  0.0, 0.0, 0.0  0.0, 0.0, 1.2  0.0, 0.0, 1.2  0.0, 0.0, 1.6  0.0, 0.0, 1.6  0.0, 0.0, 1.2
fair-  0.1, 0.0, 0.1  0.1, 0.0, 0.3  0.1, 0.0, 0.1  0.1, 0.0, 0.3  0.2, 0.0, 3.8   0.2, 0.1, 0.5  0.2, 0.2, 0.2  0.3, 0.3, 1.5  0.3, 0.3, 1.5  0.4, 0.1, 1.9  0.3, 0.0, 1.6  0.0, 0.0, 1.2
inter  -              -              -              -              -               -              0.1, 0.1, 0.1  0.1, 0.1, 1.3  0.1, 0.0, 1.3  0.4, 0.1, 1.9  0.3, 0.0, 1.8  0.0, 0.0, 1.2
minte  0.1, 0.0, 0.8  0.2, 0.0, 0.8  0.1, 0.0, 0.8  0.1, 0.0, 0.8  0.0, 0.0, 49.7  0.1, 0.0, 1.1  -              -              -              -              -              -
overa  0.5, 0.1, 0.8  0.5, 0.1, 0.9  0.5, 0.1, 0.8  0.5, 0.1, 2.0  2.1, 0.0, 51.7  0.6, 0.2, 1.1  0.5, 0.3, 0.5  0.5, 0.4, 1.7  0.8, 0.6, 2.0  0.8, 0.5, 2.4  0.7, 0.2, 2.2  0.5, 0.1, 1.6
parsi  0.4, 0.1, 0.7  0.4, 0.1, 0.8  0.4, 0.1, 0.7  0.4, 0.1, 1.9  0.0, 0.0, 49.7  0.3, 0.1, 0.8  0.3, 0.1, 0.3  0.2, 0.1, 1.4  0.5, 0.3, 1.7  0.4, 0.1, 1.9  0.4, 0.1, 1.9  0.4, 0.1, 1.6
reduc  -              -              0.0, 0.0, 0.4  -              -               -              -              -              -              -              -              -
runti  0.4, 0.1, 0.8  0.5, 0.1, 0.8  0.4, 0.1, 0.7  0.3, 0.1, 1.9  2.4, 0.5, 55.9  0.5, 0.2, 1.0  0.4, 0.2, 0.4  1.9, 1.8, 3.1  2.4, 2.1, 3.6  1.9, 1.5, 3.4  1.7, 1.4, 3.2  1.5, 1.3, 2.7
trans  -              -              -              0.0, 0.0, 1.6  -               0.1, 0.0, 0.6  -              -              -              0.1, 0.0, 1.7  0.0, 0.0, 1.6  0.0, 0.0, 1.2
trim   0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 1.6  -               0.0, 0.0, 0.5  0.0, 0.0, 0.0  -              -              -              -              0.0, 0.0, 1.2
