                                                                      1st Quartile / Median / 3rd Quartile per op/bench                                                                      
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
benchop    mata           mata-old       mata-sim       awali          mona           vata           automata       brics          (j)alib        fado           (py)alib       (py)mata
---------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------
compl/p    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  60, 60, 60     0.0, 0.0, 0.0  0.1, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.0, 0.1  0.0, 0.1, 0.4  0.0, 0.0, 0.1  0.0, 0.0, 0.0
deter/p    -              -              -              -              -              -              -              -              -              0.0, 0.1, 0.4  0.0, 0.0, 0.1  -
empti/p    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  60, 60, 60     0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
fair-/p    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.1, 0.1  0.1, 0.2, 0.2  0.2, 0.3, 0.4  0.2, 0.3, 0.3  0.0, 0.1, 0.4  0.0, 0.0, 0.1  0.0, 0.0, 0.0
inter/p    -              -              -              -              -              -              0.1, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.0, 0.1  0.0, 0.1, 0.4  0.0, 0.0, 0.1  0.0, 0.0, 0.0
minte/p    0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  60, 60, 60     0.0, 0.0, 0.1  -              -              -              -              -              -
overa/p    0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2  60, 60, 60     0.1, 0.2, 0.3  0.2, 0.3, 0.3  0.3, 0.4, 0.6  0.4, 0.6, 0.8  0.2, 0.5, 0.8  0.1, 0.3, 0.4  0.1, 0.1, 0.4
parsi/p    0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2  60, 60, 60     0.0, 0.1, 0.2  0.1, 0.1, 0.1  0.0, 0.1, 0.2  0.2, 0.3, 0.4  0.0, 0.1, 0.4  0.1, 0.1, 0.3  0.0, 0.1, 0.3
reduc/p    -              -              0.0, 0.0, 0.0  -              -              -              -              -              -              -              -              -
resul/p    60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
runti/p    0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2  60, 60, 60     0.1, 0.2, 0.2  0.2, 0.2, 0.3  1.4, 1.8, 2.1  1.6, 2.1, 2.7  1.3, 1.6, 1.8  1.2, 1.4, 1.5  1.2, 1.3, 1.4
trans/p    -              -              -              0.0, 0.0, 0.0  -              0.0, 0.0, 0.0  -              -              -              0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim/p     0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              -              -              -              0.0, 0.0, 0.0
