                                                                    1st Quartile / Median / 3rd Quartile per operation                                                                   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
op     mata           mata-old       mata-sim       awali          mona           vata           automata       brics          (j)alib        fado           (py)alib       (py)mata
-----  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------
compl  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  60, 60, 60     0.0, 0.0, 0.0  0.1, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.0, 0.1  0.0, 0.1, 0.4  0.0, 0.0, 0.1  0.0, 0.0, 0.0
deter  -              -              -              -              -              -              -              -              -              0.0, 0.1, 0.4  0.0, 0.0, 0.1  -
empti  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  60, 60, 60     0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
fair-  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.1, 0.1  0.1, 0.2, 0.2  0.2, 0.3, 0.4  0.2, 0.3, 0.3  0.0, 0.1, 0.4  0.0, 0.0, 0.1  0.0, 0.0, 0.0
inter  -              -              -              -              -              -              0.1, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.0, 0.1  0.0, 0.1, 0.4  0.0, 0.0, 0.1  0.0, 0.0, 0.0
minte  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  60, 60, 60     0.0, 0.0, 0.1  -              -              -              -              -              -
overa  0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2  60, 60, 60     0.1, 0.2, 0.3  0.2, 0.3, 0.3  0.3, 0.4, 0.6  0.4, 0.6, 0.8  0.2, 0.5, 0.8  0.1, 0.3, 0.4  0.1, 0.1, 0.4
parsi  0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2  60, 60, 60     0.0, 0.1, 0.2  0.1, 0.1, 0.1  0.0, 0.1, 0.2  0.2, 0.3, 0.4  0.0, 0.1, 0.4  0.1, 0.1, 0.3  0.0, 0.1, 0.3
reduc  -              -              0.0, 0.0, 0.0  -              -              -              -              -              -              -              -              -
runti  0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2  60, 60, 60     0.1, 0.2, 0.2  0.2, 0.2, 0.3  1.4, 1.8, 2.1  1.6, 2.1, 2.7  1.3, 1.6, 1.8  1.2, 1.4, 1.5  1.2, 1.3, 1.4
trans  -              -              -              0.0, 0.0, 0.0  -              0.0, 0.0, 0.0  -              -              -              0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              -              -              -              0.0, 0.0, 0.0
