name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.22; 0.0838714000;0.0118503; 0.1079825000; 0.0001592000; False; 0.1274470000; 0.3168762000;0.06; 0.062859; 0.003005; 0.000204; 0.00012; false; 0.073663;0.08; 0.065203; 0.010729; 0.000469; 4.1e-05; 4.9e-05; false; 0.083216;0.07; 0.065909; 0.003298; 0.000256; 0.000149; false; 0.077201;0.11; 0.053821; 0.023394; 0.017314; 0.004954; 0.005704; false; 0.111874;0.07; 0.064779; 0.00305; 0.006677; 0.001705; 0.001113; false; 0.084168;ERR;1.19; 0.1575; 0.0000; 0.0062; 0.0002; 0.0000; False; 0.0065; 0.1649;1.31; 0.1494; 0.1042; 0.1144; 0.1158; 0.0080; False; 0.1239; 0.3781;1.28; 0.0960; 0.0356; 0.0357; 0.0408; 0.0001; False; 0.0410; 0.1734;2.39; 0.341881047; 0.061674511; 0.002777042; false; 0.070958882; 0.619519939;2.01; 0.154399317; 0.082147981; 3.3051E-5; false; 0.088741199; 0.597089608
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.21; 0.0683990000;0.008316; 0.0710075000; 0.0003354000; False; 0.0822758000; 0.2178495000;0.05; 0.042822; 0.002654; 0.000197; 0.00011; false; 0.051877;0.05; 0.041928; 0.007458; 0.000613; 5.1e-05; 5.4e-05; false; 0.05534;0.04; 0.043773; 0.002544; 0.000155; 0.000103; false; 0.052378;0.07; 0.036066; 0.021809; 0.011908; 0.001771; 0.001817; false; 0.078125;0.05; 0.040817; 0.001684; 0.003632; 0.001928; 0.001447; false; 0.05262;ERR;1.09; 0.0680; 0.0000; 0.0043; 0.0002; 0.0000; False; 0.0045; 0.0732;1.2; 0.0698; 0.0414; 0.0648; 0.0660; 0.0056; False; 0.0717; 0.1834;1.29; 0.0705; 0.0254; 0.0263; 0.0299; 0.0001; False; 0.0301; 0.1267;2.31; 0.330876414; 0.07148949; 0.002190849; false; 0.080903764; 0.648150885;1.78; 0.13365503; 0.027630615; 3.2732E-5; false; 0.035611278; 0.493215635
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.17; 0.0485861000;0.0082191; 0.0468177000; 0.0001802000; False; 0.0574476000; 0.1605913000;0.02; 0.018438; 0.001751; 0.000107; 5.5e-05; false; 0.022951;0.01; 0.019318; 0.002631; 0.00057; 4.6e-05; 3.2e-05; false; 0.02497;0.02; 0.020154; 0.001888; 0.000117; 6.2e-05; false; 0.025281;0.04; 0.020909; 0.009038; 0.007898; 0.002183; 0.001254; false; 0.04386;0.03; 0.020314; 0.001509; 0.004369; 0.001671; 0.001115; false; 0.032304;ERR;1.21; 0.0330; 0.0000; 0.0033; 0.0001; 0.0000; False; 0.0035; 0.0370;1.13; 0.0256; 0.0061; 0.0397; 0.0406; 0.0019; False; 0.0425; 0.0745;1.28; 0.0345; 0.0098; 0.0193; 0.0218; 0.0001; False; 0.0220; 0.0668;1.55; 0.194895794; 0.039447377; 0.002088133; false; 0.046863318; 0.382267907;1.47; 0.048746253; 0.013951886; 2.8828E-5; false; 0.020513431; 0.244010822
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;1.94; 1.1688185000;0.0050884; 0.2442751000; 0.0001222000; False; 0.2508910000; 1.9816656000;7.09; 4.24343; 2.83988; 0.010063; 0.006697; false; 7.48849;2.45; 2.2678; 0.243555; 0.003087; 0.000125; 0.000828; false; 2.7068;7.18; 4.26341; 2.90778; 0.009452; 0.008067; false; 7.5813;16.21; 4.38766; 2.91958; 8.22376; 0.295273; 0.300014; false; 16.5078;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;5.59; 2.9490; 0.0000; 2.2508; 0.0189; 0.0000; False; 2.2699; 5.2400;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;54.81; 3.1386; 1.3115; 52.0334; 52.4210; 0.0001; False; 52.4212; 56.9099;22.98; 16.89148849; 0.097286669; 0.002215226; false; 0.105719895; 18.296690011;8.3; 2.125958233; 0.580310783; 5.3032E-5; false; 0.587347791; 3.973656342
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.44; 0.2057215000;0.0114553; 0.1156682000; 0.0005010000; False; 0.1309809000; 0.4514099000;0.43; 0.350736; 0.069923; 0.001947; 0.000933; false; 0.462909;0.41; 0.369696; 0.042081; 0.002887; 0.000194; 0.000225; false; 0.45271;0.37; 0.334492; 0.052673; 0.00207; 0.000737; false; 0.413112;0.93; 0.351006; 0.213273; 0.278445; 0.038753; 0.037549; false; 0.950345;0.46; 0.346314; 0.050144; 0.042809; 0.011708; 0.011082; false; 0.491484;ERR;1.49; 0.4882; 0.0000; 0.0829; 0.0023; 0.0000; False; 0.0853; 0.5770;3.37; 0.4226; 0.1701; 1.8356; 1.8418; 0.0586; False; 1.9005; 2.4944;2.8; 0.4481; 0.1284; 1.1251; 1.1619; 0.0002; False; 1.1622; 1.7413;4.02; 1.16421852; 0.057500781; 0.002186434; false; 0.066021973; 1.623388802;2.63; 0.450719185; 0.050836106; 3.4451E-5; false; 0.059030334; 1.083378144
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.26; 0.0759338000;0.0090368; 0.1129615000; 0.0002322000; False; 0.1249837000; 0.2679495000;0.08; 0.06624; 0.016055; 0.000477; 0.000181; false; 0.090155;0.06; 0.066988; 0.005216; 0.000466; 4.1e-05; 4.4e-05; false; 0.079144;0.08; 0.0676; 0.016588; 0.00048; 0.000172; false; 0.092217;0.19; 0.069138; 0.034185; 0.066181; 0.012548; 0.012791; false; 0.200761;0.1; 0.068432; 0.005781; 0.015398; 0.004906; 0.004493; false; 0.10576;ERR;1.3; 0.1038; 0.0000; 0.0240; 0.0009; 0.0000; False; 0.0250; 0.1302;1.79; 0.0549; 0.0145; 0.8169; 0.8199; 0.0288; False; 0.8487; 0.9187;1.48; 0.0979; 0.0261; 0.2541; 0.2631; 0.0001; False; 0.2633; 0.3879;3.01; 0.481395084; 0.048307895; 0.001925966; false; 0.058188721; 0.761917815;1.95; 0.126446237; 0.0544041; 3.2183E-5; false; 0.061622502; 0.518922471
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.18; 0.0681890000;0.005778; 0.0566986000; 0.0001838000; False; 0.0644721000; 0.1817782000;0.14; 0.1032; 0.036683; 0.001198; 0.00023; false; 0.159682;0.16; 0.165801; 0.007234; 0.000584; 4.9e-05; 5.8e-05; false; 0.192571;0.19; 0.153748; 0.034707; 0.001057; 0.000486; false; 0.206368;0.43; 0.158756; 0.074273; 0.146837; 0.024342; 0.026284; false; 0.438818;0.24; 0.172359; 0.018237; 0.036354; 0.01086; 0.010345; false; 0.263524;ERR;1.18; 0.1263; 0.0000; 0.0253; 0.0010; 0.0000; False; 0.0264; 0.1540;3.57; 0.2343; 0.0751; 2.1943; 2.2012; 0.0596; False; 2.2608; 2.5712;1.92; 0.2216; 0.0625; 0.6579; 0.6677; 0.0001; False; 0.6678; 0.9529;3.47; 0.797968751; 0.058260932; 0.002023143; false; 0.066281891; 1.246433719;2.49; 0.275540562; 0.07211516; 2.8252E-5; false; 0.079287015; 0.793061361
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.11; 0.0255637000;0.005675; 0.0309930000; 0.0001305000; False; 0.0386974000; 0.1047439000;0.0; 0.002436; 0.000373; 3.4e-05; 1.2e-05; false; 0.003319;0.0; 0.004544; 0.000653; 0.000141; 1.9e-05; 9e-06; false; 0.006043;0.0; 0.004675; 0.000724; 5.4e-05; 2.3e-05; false; 0.006311;0.0; 0.004409; 0.001877; 0.002424; 0.000553; 0.000564; false; 0.010422;0.01; 0.004908; 0.000352; 0.00199; 0.000882; 0.000455; false; 0.009983;ERR;1.01; 0.0084; 0.0000; 0.0008; 0.0000; 0.0000; False; 0.0009; 0.0095;1.22; 0.0124; 0.0016; 0.0123; 0.0128; 0.0007; False; 0.0135; 0.0277;1.21; 0.0123; 0.0026; 0.0064; 0.0075; 0.0001; False; 0.0076; 0.0227;1.31; 0.127319651; 0.035846553; 0.001841258; false; 0.045822546; 0.284582638;1.0; 0.029356679; 0.011194049; 4.013E-5; false; 0.022746059; 0.194025598
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.23; 0.0716406000;0.006313399999999999; 0.0885776000; 0.0002769000; False; 0.0976913000; 0.2317604000;0.08; 0.064787; 0.015304; 0.000465; 0.000164; false; 0.08781;0.06; 0.065855; 0.005092; 0.000445; 4e-05; 4.5e-05; false; 0.078066;0.05; 0.044727; 0.009872; 0.000275; 0.000181; false; 0.061555;0.17; 0.058527; 0.028753; 0.060704; 0.01135; 0.010713; false; 0.176326;0.07; 0.045844; 0.005476; 0.015101; 0.003871; 0.003438; false; 0.081346;ERR;0.97; 0.0546; 0.0000; 0.0116; 0.0004; 0.0000; False; 0.0120; 0.0673;2.02; 0.0939; 0.0274; 0.8574; 0.8591; 0.0134; False; 0.8726; 0.9944;1.56; 0.1012; 0.0259; 0.4485; 0.4567; 0.0001; False; 0.4569; 0.5847;2.77; 0.472622527; 0.039061923; 0.002292838; false; 0.047872624; 0.754773062;2.02; 0.160684153; 0.054583689; 2.8981E-5; false; 0.065199953; 0.459611352
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.32; 0.1184791000;0.0106187; 0.1027043000; 0.0002953000; False; 0.1169476000; 0.3397645000;0.19; 0.160662; 0.030673; 0.000951; 0.00037; false; 0.209536;0.17; 0.160289; 0.015406; 0.001157; 9.3e-05; 0.0001; false; 0.192917;0.15; 0.142917; 0.017825; 0.00063; 0.000229; false; 0.172416;0.34; 0.154002; 0.070049; 0.096759; 0.013373; 0.013605; false; 0.356871;0.23; 0.164641; 0.018781; 0.031078; 0.008605; 0.008337; false; 0.246301;ERR;1.41; 0.2438; 0.0000; 0.0442; 0.0014; 0.0000; False; 0.0456; 0.2916;2.51; 0.1299; 0.0446; 1.3725; 1.3790; 0.0579; False; 1.4370; 1.6124;1.95; 0.1994; 0.0449; 0.5171; 0.5362; 0.0001; False; 0.5364; 0.7821;3.55; 0.764965335; 0.046918043; 0.002168095; false; 0.0556542; 1.190978528;2.79; 0.299499428; 0.084225413; 3.9032E-5; false; 0.100702314; 0.825182512
