                                                                         Average / Median / Average with Timeouts                                                                         
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
op     mata           mata-old       mata-sim       awali          mona            vata           automata       brics          (j)alib        fado           (py)alib       (py)mata
-----  -------------  -------------  -------------  -------------  --------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------
compl  0.0, 0.0, 1.2  0.0, 0.0, 1.2  0.0, 0.0, 1.2  0.0, 0.0, 2.4  0.0, 0.0, 51.4  0.1, 0.0, 1.3  0.1, 0.1, 0.1  0.1, 0.1, 1.3  0.0, 0.0, 1.3  0.5, 0.3, 2.0  0.3, 0.1, 1.6  0.0, 0.0, 1.1
deter  -              -              -              -              -               -              -              -              -              0.5, 0.3, 2.0  0.3, 0.1, 1.6  -
empti  0.0, 0.0, 1.2  0.0, 0.0, 1.2  0.0, 0.0, 1.2  0.0, 0.0, 2.4  0.0, 0.0, 51.4  0.0, 0.0, 1.2  0.0, 0.0, 0.0  0.0, 0.0, 1.2  0.0, 0.0, 1.2  0.0, 0.0, 1.6  0.0, 0.0, 1.4  0.0, 0.0, 1.0
fair-  0.1, 0.0, 1.3  0.1, 0.0, 1.3  0.1, 0.0, 1.0  0.1, 0.0, 1.1  0.2, 0.0, 19.8  0.2, 0.1, 1.4  0.2, 0.2, 0.2  0.4, 0.4, 1.6  0.3, 0.3, 1.5  0.5, 0.3, 2.1  0.3, 0.1, 1.7  0.0, 0.0, 1.1
inter  -              -              -              -              -               -              0.1, 0.1, 0.1  0.1, 0.1, 1.3  0.1, 0.1, 1.3  0.5, 0.3, 2.1  0.3, 0.1, 1.6  0.0, 0.0, 1.1
minte  0.1, 0.1, 2.6  0.1, 0.1, 2.5  0.1, 0.1, 2.5  0.1, 0.1, 2.5  0.1, 0.1, 18.3  0.1, 0.1, 2.5  -              -              -              -              -              -
overa  0.3, 0.1, 1.5  0.3, 0.1, 1.5  0.3, 0.1, 1.5  0.2, 0.1, 2.6  2.0, 0.0, 51.7  0.5, 0.2, 1.7  0.4, 0.3, 0.4  0.6, 0.5, 1.8  0.9, 0.7, 2.1  1.0, 0.6, 2.5  0.7, 0.3, 2.0  0.5, 0.1, 1.6
parsi  0.7, 0.1, 0.7  0.5, 0.1, 0.8  0.5, 0.1, 0.8  0.4, 0.1, 2.0  0.2, 0.2, 18.1  0.5, 0.1, 0.9  0.2, 0.1, 0.2  0.2, 0.1, 1.4  0.6, 0.4, 1.8  0.3, 0.1, 1.8  0.3, 0.1, 1.7  0.5, 0.1, 1.5
reduc  -              -              0.0, 0.0, 1.2  -              -               -              -              -              -              -              -              -
runti  0.3, 0.1, 1.5  0.3, 0.1, 1.5  0.3, 0.1, 1.5  0.2, 0.1, 2.6  2.6, 0.6, 55.9  0.5, 0.2, 1.7  0.4, 0.2, 0.4  2.0, 1.9, 3.2  2.7, 2.6, 3.9  2.0, 1.6, 3.5  1.7, 1.4, 3.1  1.6, 1.3, 2.6
trans  -              -              -              0.0, 0.0, 2.4  -               0.1, 0.0, 1.3  -              -              -              0.1, 0.1, 1.7  0.1, 0.0, 1.4  0.0, 0.0, 1.0
trim   0.0, 0.0, 1.2  0.0, 0.0, 1.2  0.0, 0.0, 1.2  0.0, 0.0, 2.4  -               0.0, 0.0, 1.2  0.0, 0.0, 0.0  -              -              -              -              0.0, 0.0, 1.0
