name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.22; 0.0728236000;0.0109653; 0.0840279000; 0.0001513000; False; 0.1145043000; 0.2956089000;0.06; 0.061841; 0.003071; 0.000199; 0.000119; false; 0.072462;0.04; 0.037946; 0.00781; 0.000421; 4.3e-05; 5.8e-05; false; 0.050525;0.05; 0.049847; 0.003025; 0.000185; 0.000116; false; 0.060737;0.07; 0.043179; 0.020225; 0.009544; 0.001901; 0.002259; false; 0.081002;0.07; 0.063363; 0.004281; 0.00847; 0.001568; 0.001105; false; 0.085867;ERR;1.05; 0.0592; 0.0000; 0.0079; 0.0005; 0.0000; False; 0.0085; 0.0688;1.35; 0.0773; 0.0633; 0.0900; 0.0913; 0.0078; False; 0.0992; 0.2404;1.26; 0.0833; 0.0321; 0.0306; 0.0350; 0.0001; False; 0.0352; 0.1515;2.68; 0.379541832; 0.072009736; 0.00290213; false; 0.081036657; 0.721619532;2.07; 0.226400464; 0.038599539; 3.9496E-5; false; 0.046525898; 0.629429931
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.14; 0.0388637000;0.0058033; 0.0447509000; 0.0001451000; False; 0.0523022000; 0.1302094000;0.02; 0.023946; 0.001275; 9.8e-05; 5.5e-05; false; 0.028662;0.04; 0.03596; 0.008315; 0.000644; 5.2e-05; 5.8e-05; false; 0.050533;0.04; 0.04416; 0.002526; 0.000242; 0.00012; false; 0.053231;0.08; 0.045164; 0.01963; 0.011984; 0.003482; 0.003076; false; 0.08814;0.06; 0.046381; 0.003458; 0.006563; 0.002259; 0.001873; false; 0.066165;ERR;1.23; 0.0695; 0.0000; 0.0045; 0.0002; 0.0000; False; 0.0049; 0.0750;1.25; 0.0683; 0.0444; 0.0667; 0.0679; 0.0056; False; 0.0735; 0.1868;1.34; 0.1428; 0.0255; 0.0126; 0.0142; 0.0001; False; 0.0143; 0.1831;2.17; 0.309343232; 0.040598605; 0.002450532; false; 0.050147295; 0.618414316;1.6; 0.143315019; 0.066973036; 2.8573E-5; false; 0.073897799; 0.548127605
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.19; 0.0515372000;0.009249899999999998; 0.0517844000; 0.0002320000; False; 0.0638102000; 0.1745896000;0.01; 0.017394; 0.00174; 0.000152; 5.5e-05; false; 0.022011;0.02; 0.017885; 0.002589; 0.000507; 4.4e-05; 3.6e-05; false; 0.023659;0.02; 0.018789; 0.001713; 0.000154; 4.8e-05; false; 0.023008;0.03; 0.01667; 0.008563; 0.005055; 0.00276; 0.003115; false; 0.038345;0.03; 0.017328; 0.001247; 0.004666; 0.001664; 0.001176; false; 0.02912;ERR;1.29; 0.0389; 0.0000; 0.0095; 0.0003; 0.0000; False; 0.0099; 0.0495;1.18; 0.0319; 0.0077; 0.0417; 0.0425; 0.0019; False; 0.0445; 0.0844;0.97; 0.0211; 0.0054; 0.0132; 0.0147; 0.0001; False; 0.0149; 0.0417;1.69; 0.164503865; 0.029873376; 0.001976476; false; 0.037401482; 0.368402938;1.2; 0.05307227; 0.026347062; 4.0278E-5; false; 0.033261483; 0.236174384
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;2.71; 1.7355724000;0.0094949; 0.4310680000; 0.0003911000; False; 0.4433770000; 2.7252620000;4.41; 2.37532; 1.90948; 0.00714; 0.004321; false; 4.69414;4.47; 4.15859; 0.385016; 0.006372; 0.000261; 0.001262; false; 4.88536;6.43; 4.03912; 2.55689; 0.012234; 0.007328; false; 6.83383;15.54; 3.61762; 2.96926; 8.24514; 0.30813; 0.309947; false; 15.7616;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;6.41; 3.3280; 0.0000; 2.8476; 0.0176; 0.0000; False; 2.8653; 6.2155;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;51.98; 4.3880; 1.0670; 48.7390; 48.9136; 0.0001; False; 48.9137; 54.3887;23.69; 18.207499998; 0.106965108; 0.002001679; false; 0.114866546; 19.5025298;10.28; 2.587492481; 0.660528476; 3.6695E-5; false; 0.679671487; 5.011698823
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.46; 0.2444458000;0.0109144; 0.1060160000; 0.0003075000; False; 0.1201639000; 0.4719742000;0.42; 0.343813; 0.065835; 0.00177; 0.000809; false; 0.45018;0.37; 0.342247; 0.035531; 0.002435; 0.00016; 0.000219; false; 0.414804;0.41; 0.342558; 0.06716; 0.002009; 0.000851; false; 0.448807;0.9; 0.35155; 0.206404; 0.273067; 0.037762; 0.035734; false; 0.934547;0.54; 0.366582; 0.058043; 0.073424; 0.019966; 0.019524; false; 0.568668;ERR;1.58; 0.4528; 0.0000; 0.0790; 0.0021; 0.0000; False; 0.0812; 0.5366;4.57; 0.4696; 0.1744; 2.9207; 2.9457; 0.2015; False; 3.1473; 3.7931;1.85; 0.2587; 0.0713; 0.5597; 0.5781; 0.0001; False; 0.5782; 0.9099;4.04; 1.112251603; 0.114351347; 0.004315174; false; 0.134013362; 1.704592299;2.8; 0.39862576; 0.062113968; 2.8834E-5; false; 0.0693207; 0.959461863
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.23; 0.0672506000;0.0087267; 0.0981067000; 0.0001821000; False; 0.1095659000; 0.2471767000;0.08; 0.068629; 0.01609; 0.000446; 0.000182; false; 0.092586;0.06; 0.063777; 0.004785; 0.000443; 3.8e-05; 4.1e-05; false; 0.075214;0.04; 0.03585; 0.009393; 0.000281; 9.9e-05; false; 0.049664;0.18; 0.065065; 0.032064; 0.060875; 0.011705; 0.011537; false; 0.187041;0.04; 0.035577; 0.002793; 0.008809; 0.002629; 0.002313; false; 0.055944;ERR;1.05; 0.0569; 0.0000; 0.0124; 0.0006; 0.0000; False; 0.0131; 0.0708;2.14; 0.0948; 0.0277; 0.8190; 0.8222; 0.0236; False; 0.8459; 0.9690;1.48; 0.0919; 0.0169; 0.2451; 0.2541; 0.0001; False; 0.2543; 0.3638;2.73; 0.615021077; 0.043426941; 0.009192412; false; 0.059064488; 0.865333923;1.89; 0.114222929; 0.061007425; 2.8422E-5; false; 0.067458111; 0.372145732
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.29; 0.1184732000;0.0082545; 0.0861517000; 0.0001572000; False; 0.0968093000; 0.3220931000;0.12; 0.10712; 0.02043; 0.000707; 0.000251; false; 0.138477;0.17; 0.16629; 0.013148; 0.001141; 8.1e-05; 0.00012; false; 0.19636;0.12; 0.102194; 0.021181; 0.000973; 0.000268; false; 0.134667;0.35; 0.091192; 0.06088; 0.152353; 0.024952; 0.024782; false; 0.363163;0.22; 0.159522; 0.017882; 0.034278; 0.009925; 0.009511; false; 0.245533;ERR;1.08; 0.1249; 0.0000; 0.0257; 0.0010; 0.0000; False; 0.0267; 0.1529;2.73; 0.1703; 0.0603; 1.3553; 1.3588; 0.0319; False; 1.3908; 1.6221;1.98; 0.2239; 0.0627; 0.6159; 0.6355; 0.0001; False; 0.6357; 0.9236;3.88; 0.983764487; 0.059687964; 0.003482279; false; 0.080297954; 1.390198174;2.34; 0.197840905; 0.063526585; 2.9967E-5; false; 0.071917838; 0.546733694
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.17; 0.0407785000;0.008896; 0.0468990000; 0.0001764000; False; 0.0586114000; 0.1533376000;0.0; 0.004372; 0.000665; 9.1e-05; 2.3e-05; false; 0.005994;0.0; 0.004368; 0.000654; 0.00014; 1.7e-05; 1e-05; false; 0.005869;0.0; 0.00432; 0.000697; 5.1e-05; 2e-05; false; 0.005767;0.01; 0.004428; 0.001905; 0.002621; 0.000552; 0.000589; false; 0.010727;0.01; 0.005075; 0.000339; 0.00215; 0.000968; 0.000457; false; 0.010624;ERR;1.17; 0.0138; 0.0000; 0.0016; 0.0001; 0.0000; False; 0.0018; 0.0159;1.06; 0.0096; 0.0012; 0.0071; 0.0073; 0.0003; False; 0.0077; 0.0187;1.16; 0.0146; 0.0030; 0.0070; 0.0080; 0.0001; False; 0.0081; 0.0259;1.4; 0.158363279; 0.021404387; 0.001880033; false; 0.035439822; 0.33344396;1.26; 0.050919707; 0.017067123; 5.6992E-5; false; 0.040803229; 0.269249207
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.23; 0.0704048000;0.00814; 0.0875073000; 0.0001785000; False; 0.0982780000; 0.2301048000;0.04; 0.035482; 0.008995; 0.000361; 0.00012; false; 0.049135;0.07; 0.067194; 0.005264; 0.000499; 4.2e-05; 4.9e-05; false; 0.079487;0.06; 0.048327; 0.017212; 0.00066; 0.000193; false; 0.073285;0.17; 0.06685; 0.026286; 0.057875; 0.010155; 0.011041; false; 0.177771;0.09; 0.06599; 0.005112; 0.014415; 0.004585; 0.004447; false; 0.101401;ERR;1.12; 0.0541; 0.0000; 0.0119; 0.0003; 0.0000; False; 0.0122; 0.0671;2.1; 0.0912; 0.0277; 0.8258; 0.8290; 0.0248; False; 0.8540; 0.9734;1.44; 0.1035; 0.0269; 0.2580; 0.2664; 0.0001; False; 0.2666; 0.3976;2.88; 0.433576334; 0.059998986; 0.006878976; false; 0.093764081; 0.740000066;2.04; 0.174352611; 0.070715333; 4.9859E-5; false; 0.08126333; 0.598547741
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.33; 0.1391786000;0.0096398; 0.1075204000; 0.0002434000; False; 0.1200953000; 0.3862018000;0.21; 0.175237; 0.034443; 0.000958; 0.000408; false; 0.229085;0.17; 0.160645; 0.017598; 0.001294; 9.1e-05; 0.000108; false; 0.197229;0.19; 0.169847; 0.034555; 0.001083; 0.0004; false; 0.224609;0.47; 0.17745; 0.103326; 0.133891; 0.022372; 0.022644; false; 0.474869;0.24; 0.17281; 0.019187; 0.032219; 0.009273; 0.008676; false; 0.258587;ERR;1.45; 0.2385; 0.0000; 0.0450; 0.0016; 0.0000; False; 0.0467; 0.2867;3.61; 0.2456; 0.0824; 2.1684; 2.1746; 0.0610; False; 2.2357; 2.5647;1.42; 0.1382; 0.0341; 0.2634; 0.2736; 0.0001; False; 0.2737; 0.4469;3.71; 0.905781708; 0.039778286; 0.001999766; false; 0.048549313; 1.21996122;2.87; 0.398995222; 0.09498597; 3.8923E-5; false; 0.10277168; 0.967646604
