                                                                             Average / Median / Average with Timeouts                                                                            
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
op     mata            mata-old       mata-sim        awali          mona            vata           automata       brics           (j)alib         fado            (py)alib        (py)mata
-----  --------------  -------------  --------------  -------------  --------------  -------------  -------------  --------------  --------------  --------------  --------------  --------------
compl  0.0, 0.0, 0.5   0.0, 0.0, 0.6  0.0, 0.0, 0.9   0.1, 0.0, 1.0  0.0, 0.0, 51.4  0.1, 0.0, 0.6  0.1, 0.0, 0.5  0.1, 0.0, 0.9   0.1, 0.0, 0.9   0.4, 0.0, 1.3   0.2, 0.0, 1.0   0.0, 0.0, 0.4
conca  0.1, 0.0, 0.1   0.1, 0.0, 0.1  0.0, 0.0, 0.0   0.3, 0.0, 0.3  -               -              -              0.1, 0.0, 0.1   -               5.0, 1.2, 29.1  -               0.4, 0.0, 0.4
deter  -               -              -               -              -               -              -              -               -               0.4, 0.0, 1.3   0.4, 0.0, 10.7  -
empti  0.0, 0.0, 4.8   0.0, 0.0, 4.8  0.0, 0.0, 9.6   0.0, 0.0, 5.1  0.0, 0.0, 30.4  0.1, 0.0, 6.7  0.0, 0.0, 6.0  0.0, 0.0, 5.0   0.0, 0.0, 12.5  0.9, 0.0, 17.3  0.2, 0.0, 14.4  0.0, 0.0, 4.7
fair-  0.2, 0.0, 1.3   0.2, 0.0, 2.1  1.7, 0.0, 8.7   0.8, 0.0, 4.4  0.2, 0.0, 2.6   1.2, 0.0, 5.6  0.7, 0.1, 5.0  0.7, 0.2, 4.4   0.4, 0.2, 9.5   3.9, 0.2, 21.3  0.4, 0.0, 9.8   0.5, 0.0, 4.1
inclu  0.0, 0.0, 0.2   0.1, 0.0, 0.1  0.0, 0.0, 0.1   0.6, 0.0, 1.2  -               0.1, 0.0, 0.1  0.3, 0.0, 1.2  0.4, 0.0, 0.9   0.1, 0.0, 4.9   9.3, 2.2, 30.6  0.3, 0.0, 1.6   0.1, 0.0, 0.1
inter  -               -              -               -              -               -              0.6, 0.1, 5.2  0.4, 0.0, 4.4   0.2, 0.1, 10.4  3.9, 0.2, 21.4  0.4, 0.0, 10.7  0.5, 0.0, 4.1
inter  2.4, 0.0, 10.5  2.6, 0.0, 8.0  0.2, 0.0, 0.3   3.0, 0.0, 3.1  0.9, 0.0, 20.5  5.9, 0.0, 6.0  5.1, 0.0, 5.1  1.0, 0.0, 13.3  0.3, 0.1, 16.7  1.3, 0.1, 36.4  0.2, 0.0, 15.6  0.7, 0.0, 12.8
minte  0.2, 0.0, 6.9   0.2, 0.0, 3.8  0.2, 0.0, 2.1   0.2, 0.0, 0.3  1.8, 0.2, 42.5  0.2, 0.0, 0.4  -              -               -               -               -               -
overa  0.4, 0.1, 4.1   0.4, 0.1, 4.1  1.9, 0.1, 9.0   1.1, 0.1, 5.0  1.9, 0.7, 31.4  1.5, 0.1, 6.2  0.9, 0.2, 5.4  0.8, 0.3, 4.8   1.2, 0.5, 11.2  4.2, 0.4, 21.5  0.7, 0.1, 11.0  0.8, 0.1, 4.4
parsi  0.2, 0.0, 3.8   0.2, 0.0, 2.2  0.2, 0.0, 1.3   0.2, 0.0, 0.6  0.3, 0.2, 41.7  0.2, 0.1, 0.5  0.2, 0.1, 0.4  0.2, 0.1, 0.6   2.6, 0.3, 7.2   0.1, 0.0, 18.7  0.2, 0.1, 10.6  0.3, 0.1, 3.9
reduc  -               -              5.2, 0.0, 6.4   -              -               -              -              -               -               -               -               -
runti  0.4, 0.0, 5.6   0.4, 0.0, 5.6  1.8, 0.1, 10.4  1.0, 0.1, 6.5  2.6, 1.1, 53.4  1.5, 0.1, 8.0  0.8, 0.2, 7.2  2.5, 1.4, 7.9   2.8, 1.8, 17.4  5.1, 1.5, 23.2  1.8, 1.2, 16.7  1.9, 1.2, 6.9
trans  -               -              -               0.1, 0.0, 0.4  -               0.2, 0.0, 0.5  -              -               -               0.1, 0.0, 18.7  0.0, 0.0, 10.4  0.0, 0.0, 3.6
trim   0.2, 0.0, 2.9   0.2, 0.0, 2.1  0.0, 0.0, 0.4   1.6, 0.0, 2.0  -               1.4, 0.0, 1.7  0.1, 0.0, 0.3  -               -               -               -               0.1, 0.0, 3.9
union  0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.7, 0.0, 0.7  1.6, 0.0, 19.7  3.7, 0.1, 3.7  0.1, 0.0, 0.1  0.2, 0.1, 0.2   2.3, 0.1, 47.4  3.6, 0.6, 28.1  0.2, 0.0, 52.3  1.1, 0.0, 1.1
