                                                                     Finished / Errors / Timeouts                                                                     
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
bench                mata         mata-old    mata-sim    awali       mona         vata        automata    brics       (j)alib     fado         (py)alib    (py)mata
-------------------  -----------  ----------  ----------  ----------  -----------  ----------  ----------  ----------  ----------  -----------  ----------  ----------
aut_inclusion        134, 1, 1    136, 0, 0   135, 0, 1   129, 0, 7   0, 92, 44    136, 0, 0   127, 0, 9   131, 0, 5   126, 1, 9   76, 0, 60    126, 0, 10  136, 0, 0
bc_cox_diff          40, 17, 23   40, 3, 37   40, 15, 25  40, 0, 40   0, 80, 0     40, 0, 40   40, 0, 40   40, 0, 40   0, 0, 80    4, 0, 76     0, 0, 80    40, 0, 40
bc_cox_inter         40, 33, 7    40, 10, 30  40, 28, 12  40, 0, 40   0, 80, 0     40, 0, 40   40, 0, 40   40, 0, 40   0, 0, 80    3, 0, 77     0, 0, 80    40, 0, 40
bc_cox_union         80, 0, 0     80, 0, 0    80, 0, 0    80, 0, 0    0, 80, 0     80, 0, 0    80, 0, 0    80, 0, 0    0, 0, 80    80, 0, 0     0, 0, 80    80, 0, 0
bc_intersect         31, 108, 48  31, 71, 85  24, 1, 162  30, 1, 156  121, 32, 34  29, 2, 156  30, 0, 157  28, 0, 159  39, 1, 147  9, 0, 178    14, 0, 173  30, 0, 157
bc_intersect_union   187, 0, 0    187, 0, 0   86, 0, 101  187, 0, 0   124, 28, 35  173, 0, 14  187, 0, 0   187, 0, 0   41, 1, 145  71, 0, 116   24, 0, 163  187, 0, 0
email_filter         500, 0, 0    500, 0, 0   500, 0, 0   500, 0, 0   0, 456, 44   500, 0, 0   500, 0, 0   499, 1, 0   459, 2, 39  291, 3, 206  496, 0, 4   500, 0, 0
presburger           173, 1, 0    172, 2, 0   172, 2, 0   172, 0, 2   25, 127, 22  172, 0, 2   174, 0, 0   167, 0, 7   167, 0, 7   167, 0, 7    167, 0, 7   167, 0, 7
presburger-explicit  174, 0, 0    174, 0, 0   174, 0, 0   167, 7, 0   0, 174, 0    174, 0, 0   174, 0, 0   174, 0, 0   174, 0, 0   172, 0, 2    173, 0, 1   174, 0, 0
z3_noodler           751, 8, 0    751, 8, 0   744, 8, 7   751, 8, 0   0, 759, 0    751, 8, 0   751, 8, 0   751, 8, 0   751, 8, 0   751, 0, 8    752, 6, 1   759, 0, 0
z3_noodler_concat    438, 0, 0    438, 0, 0   385, 0, 53  438, 0, 0   -            -           -           438, 0, 0   -           246, 0, 192  -           438, 0, 0
