name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.17;0.08696970000000001;0.022883999999999998; 0.0450292000; 0.0003479000; False; 0.0918874000; 0.2434478000;0.04; 0.026126; 0.011765; 0.002774; 0.001681; 1.7e-05; false; 0.045444;0.01; 0.014286; 0.0079; 0.001321; 0.000843; 0.000389; 7e-06; false; 0.026587;0.03; 0.025778; 0.011107; 0.002653; 0.001238; 1.4e-05; false; 0.043172;0.05; 0.026177; 0.010917;0.001474; 0.008932; 0.010024; 0.003461; false; 0.063249;0.04; 0.026701; 0.010961;0.000179; 0.004909; 0.005599; 0.000197; false; 0.051894;ERR;1.17; 0.0423; 0.0000; 0.0070; 0.0013; 0.0000; False; 0.0083; 0.0513;4.2; 0.0403; 0.0029; 2.1749; 0.8790; False; 3.0540; 3.0987;TO;TO;1.37;0.068774908; 0.099715305; 2.7477E-5; false; 0.106941465; 0.331012804
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.28;0.0984904;0.0094242; 0.1440507000; 0.0003725000; False; 0.1566890000; 0.3149827000;0.07; 0.049936; 0.015337; 0.010892; 0.00723; 2.4e-05; false; 0.08567;0.06; 0.047921; 0.016883; 0.006503; 0.005265; 0.002671; 2.1e-05; false; 0.081841;0.08; 0.052004; 0.015928; 0.013721; 0.006963; 2.7e-05; false; 0.091332;0.15; 0.049726; 0.013284;0.001532; 0.036122; 0.053643; 0.000432; false; 0.156111;0.14; 0.050644; 0.014069;0.000507; 0.030971; 0.048747; 0.000817; false; 0.14851;ERR;1.16; 0.0784; 0.0000; 0.0624; 0.0151; 0.0004; False; 0.0780; 0.1569;48.48; 0.0460; 0.0042; 33.9760; 16.5368; False; 50.5131; 50.5707;TO;TO;1.76;0.047312641; 0.200604965; 2.8585E-5; false; 0.213564912; 0.412511368
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;30.62;0.28604430000000003;0.014017499999999999; 31.3256175000; 0.0004030000; False; 31.3444659000; 31.6908687000;1.85; 0.450582; 0.111619; 1.06288; 0.432839; 0.000214; false; 2.08469;1.93; 0.290872; 0.084873; 0.856842; 0.536431; 0.283947; 0.000128; false; 2.06881;2.22; 0.458148; 0.11717; 1.45654; 0.439405; 0.00021; false; 2.50357;21.45; 0.387324; 0.093449;0.021399; 10.9147; 8.80998; 2.30404; false; 22.5427;19.65; 0.456605; 0.122698;0.004828; 7.38533; 11.1791; 0.16507; false; 19.3311;ERR;15.74; 0.4300; 0.0000; 11.7986; 3.9023; 0.0050; False; 15.7060; 16.1440;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;43.03;0.105668734; 20.332011063; 5.58844E-4; false; 20.362149659; 20.712072082
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.48;0.08867599999999999;0.0102374; 0.3179215000; 0.0003351000; False; 0.3511493000; 0.4958628000;0.15; 0.082798; 0.025378; 0.036504; 0.019169; 0.000102; false; 0.1687;0.13; 0.08114; 0.023627; 0.017591; 0.013218; 0.00786; 3.3e-05; false; 0.14734;0.14; 0.078322; 0.026255; 0.036267; 0.016419; 5.2e-05; false; 0.161783;0.44; 0.0774; 0.023193;0.005102000000000001; 0.176054; 0.196078; 0.000946; false; 0.482238;0.36; 0.079697; 0.023172;0.00084; 0.091093; 0.168772; 0.003534; false; 0.371703;ERR;1.68; 0.1522; 0.0000; 0.1846; 0.0470; 0.0007; False; 0.2325; 0.3854;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;2.61;0.10128399299999999; 0.592424539; 4.205E-5; false; 0.60154035; 0.899345707
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.57;0.0848933;0.0062355; 0.4274026000; 0.0002699000; False; 0.4369396000; 0.5932352000;0.2; 0.106368; 0.03172; 0.059176; 0.030734; 7.1e-05; false; 0.233212;0.19; 0.102724; 0.031303; 0.032377; 0.023247; 0.016703; 6.9e-05; false; 0.211536;0.2; 0.10633; 0.029296; 0.054386; 0.028755; 7e-05; false; 0.222431;0.58; 0.059231; 0.020578;0.003764; 0.236586; 0.294438; 0.001136; false; 0.618725;0.6; 0.107688; 0.030783;0.0011220000000000002; 0.171463; 0.300962; 0.004614; false; 0.622512;ERR;1.35; 0.1008; 0.0000; 0.2080; 0.0602; 0.0004; False; 0.2688; 0.3708;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;3.06;0.040134655; 0.809242696; 3.0794E-5; false; 0.830366521; 0.999134587
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;1.08;0.1101266;0.010459900000000001; 0.9184472000; 0.0003807000; False; 0.9322524000; 1.0881180000;0.25; 0.120322; 0.033467; 0.076405; 0.044342; 6.2e-05; false; 0.279601;0.24; 0.119988; 0.034306; 0.04892; 0.033489; 0.020844; 4e-05; false; 0.263295;0.26; 0.121978; 0.03395; 0.079156; 0.044989; 5.7e-05; false; 0.283455;1.15; 0.121321; 0.033396;0.007211; 0.608227; 0.858113; 0.001653; false; 1.63706;0.93; 0.220304; 0.056552;0.001385; 0.41366; 0.537505; 0.007425; false; 1.24755;ERR;2.11; 0.2047; 0.0000; 0.5455; 0.1455; 0.0008; False; 0.6920; 0.8997;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;3.92;0.08025895499999999; 1.106722872; 3.8372E-5; false; 1.131116516; 1.37820213
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;1.51;0.1216417;0.010883; 1.7938755000; 0.0019764000; False; 1.8249040000; 2.0727631000;0.34; 0.294881; 0.064201; 0.251157; 0.123378; 7.4e-05; false; 0.739667;0.3; 0.302694; 0.06478; 0.062994; 0.079045; 0.067897; 4.9e-05; false; 0.583483;0.35; 0.336118; 0.062186; 0.278996; 0.095566; 9.5e-05; false; 0.779584;1.51; 0.261455; 0.058654;0.005073; 1.00832; 0.686787; 0.001243; false; 2.02513;1.72; 0.172476; 0.045085;0.001815; 0.577051; 0.936704; 0.015524; false; 1.75627;ERR;2.57; 0.2638; 0.0000; 0.9103; 0.2486; 0.0016; False; 1.1606; 1.4282;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;5.01;0.056359545; 1.404691569; 3.7661E-5; false; 1.412081358; 1.672948962
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;2.05;0.1059168;0.0099671; 2.0866503000; 0.0003796000; False; 2.1080280000; 2.2532201000;0.43; 0.184162; 0.049535; 0.15168; 0.092499; 0.000142; false; 0.485603;0.42; 0.182008; 0.048315; 0.097332; 0.071884; 0.042679; 4.9e-05; false; 0.449076;0.48; 0.190843; 0.051099; 0.210384; 0.077925; 0.000141; false; 0.539217;2.32; 0.179052; 0.031841;0.006197; 1.14224; 1.12535; 0.002755; false; 2.49126;1.62; 0.106101; 0.035104;0.001199; 0.554874; 0.891711; 0.016804; false; 1.61152;ERR;2.6; 0.3193; 0.0000; 1.2752; 0.2877; 0.0008; False; 1.5638; 1.8861;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;6.1;0.131449337; 2.219324071; 3.0801E-5; false; 2.227008912; 2.558191892
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;3.28;0.1907005;0.0116834; 3.0877650000; 0.0002631000; False; 3.1027351000; 3.3425993000;0.59; 0.202277; 0.053527; 0.510214; 0.221735; 0.000276; false; 0.998647;0.5; 0.253099; 0.052605; 0.123918; 0.09787; 0.05316; 9.4e-05; false; 0.58904;0.6; 0.205586; 0.052342; 0.28721; 0.125689; 0.000135; false; 0.680921;3.15; 0.192245; 0.043707;0.012805; 1.63492; 1.74083; 0.003575; false; 3.63514;2.82; 0.203797; 0.054948;0.002303; 2.17274; 1.67034; 0.021071; false; 4.134;ERR;3.14; 0.2379; 0.0000; 1.6344; 0.5476; 0.0021; False; 2.1843; 2.4244;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;6.87;0.094989152; 2.638939662; 4.0792E-5; false; 2.647066206; 2.916607497
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;4.0;0.1480684;0.0115587; 4.0571633000; 0.0004257000; False; 4.0732205000; 4.2782790000;0.68; 0.32278; 0.082844; 0.771353; 0.25505; 0.000173; false; 1.44396;0.58; 0.332055; 0.060274; 0.17199; 0.17174; 0.100923; 5.9e-05; false; 0.848948;0.68; 0.37698; 0.064551; 0.708385; 0.187341; 0.000132; false; 1.34884;4.12; 0.420407; 0.065999;0.014378; 2.70003; 2.01286; 0.002065; false; 5.225;3.4; 0.213854; 0.044941;0.001563; 1.27197; 1.89268; 0.025303; false; 3.45731;ERR;3.93; 0.3473; 0.0000; 2.1115; 0.8287; 0.0043; False; 2.9454; 3.3200;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;9.34;0.106175192; 5.752829369; 0.001135244; false; 5.824209835; 6.118766973
